id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context,health_behaviour,coping_strategies
11,детство и подростковый возраст,отношение к работе и учебе,"Работать начал рано, но не по собственному желанию, а потому что это было принято. Учеба не вызывала интереса, но техника всегда привлекала.","Не по своему желанию, да? Не, ну а что болтаться по улице целыми днями, когда есть вариант заработать.","прагматизм, спокойствие","практичность, интерес к технике",Формирование трудовой этики через семейные и социальные нормы.,декларация,,,,,,
12,детство и юность,"отсутствие мечты о профессии, интерес к технике","В детстве не было ярко выраженной мечты о профессии, но с шестого класса проявился устойчивый интерес к технике и вождению.",Моя жизнь шестого класса связана с техникой. Мне вот это нравилось.,"уверенность, спокойствие","интерес к технике, практичность","Профессиональная ориентация формируется не через мечты, а через практический опыт.",декларация,,,,,,
13,юность,волонтерский опыт и дальние поездки,"В юности был волонтером, много ездил, познакомился с разными людьми, хорошо узнал Краснодарский край.","Я тогда успел с людьми... В основном приезжали молодежь, которые то с Сибири приедут, а никогда в жизни моря не видят.","энтузиазм, удовлетворение","общительность, мобильность, познание нового",Волонтерство как способ расширения социальных связей и географического кругозора.,эпизод,,,,,,
14,школьные годы,отношения с одноклассниками и учителями,"В школе не было интереса к учебе, но отношения с одноклассниками были хорошие, класс был дружный, поддерживаются связи до сих пор.","У нас был хороший, веселый класс. Вот мы в этом году... У нас до тридцати одного классника было до тридцати лет. То есть мы все встретились.","теплота, ностальгия","дружба, коллективизм",Школьная среда как важный источник социальных связей и поддержки.,декларация,,,,,,
15,училище,влияние преподавателей на мотивацию,"Интерес к учебе в училище возник благодаря преподавателям, которые умели заинтересовать предметом.","с тем, как преподаватели это преподносили. Объяснить точно не могу, я не педагог. Но проснулся интерес.","благодарность, уважение","компетентность, уважение к знаниям",Роль педагогов в формировании учебной мотивации.,декларация,,,,,,
16,"зрелость, профессиональная жизнь","разнообразие трудового опыта, адаптация","Работал на стройке, быстро осваивал новые навыки, проявлял инициативу, переходил на более высокие позиции. Сталкивался с трудностями (кидалово), но находил выходы и быстро адаптировался.","Я научился по стройке что-то делать. Электриком я был в принципе, потому что у меня очень электрик. Потом кто-то из пацанов взял меня к себе на шабашку постелить плитку.","гордость, уверенность","адаптивность, инициативность, самостоятельность",Гибкость и способность к быстрому освоению новых профессий как стратегия выживания на нестабильном рынке труда.,эпизод,,,,,,
17,"зрелость, профессиональная жизнь","переезд, смена среды и адаптация","После работы в Сочи и Волгограде переехал к будущей жене, отмечает разницу в ритме жизни и менталитете города.",Я приехал сюда к ней. И жизнь остановилась. Тут вообще город такой. И люди тормознутые. И город весь какой-то. У меня вообще мозг атрофировался.,"раздражение, недоумение","динамика, активность",Переезд в менее динамичный город воспринимается как культурный шок и требует адаптации.,узел,,,True,,,
1,Период жизни в Сочи,Отношение к деньгам и стилю жизни,"Респондент вспоминает о времени, когда жил в Сочи, позволял себе многое, не копил деньги и сейчас жалеет об этом. Отмечает, что стал осторожнее в обращении с деньгами.","Я жил шикарно, то есть там все себе позволили... Надо было подкопить, чтобы что-то осталось. Но я так не умею. Мне вообще деньги не любят меня.","легкая ирония, сожаление","свобода, удовольствие от жизни, отсутствие накопительства","Респондент демонстрирует типичное для части постсоветского поколения отношение к деньгам: деньги воспринимаются как инструмент для получения удовольствий, а не как ресурс для накопления и инвестиций.",эпизод,,,,,,
2,Настоящее время,Работа и профессиональные отношения,"Работает в фирме, занимается продажей посуды, отмечает хорошие отношения с коллегами и легкость в общении с людьми.",Мне общаться с людьми вообще легко.,"уверенность, удовлетворение","коммуникабельность, хорошие отношения, открытость",Высокая коммуникативная компетентность респондента способствует его профессиональной мобильности и успешной адаптации в новых коллективах.,декларация,,,,,,
3,Переезд и адаптация в новом городе,Коммуникабельность и национальная идентичность,"Респондент подчеркивает свою коммуникабельность, связывает ее с национальной принадлежностью (татарин), отмечает отличие от местных жителей.","Нет, я же татарин, у нас нация такая, мы не можем сидеть ровно.","гордость, легкая ирония","открытость, национальная идентичность, общительность","Респондент использует этническую идентичность как объяснение личностных черт, что типично для самоописания в мультикультурной среде.",декларация,,,,,,
4,Профессиональная деятельность (разные этапы),"Отношение к работе, мотивация и рутина","Респонденту нравится работа, связанная с движением, изменениями, решением задач. Рутина быстро надоедает, предпочитает динамичные и проблемные ситуации.","Мне нравится все, где я двигаюсь куда-то... Если движение есть, то все нормально.","энтузиазм, скука (по отношению к рутине)","разнообразие, развитие, динамика","Ярко выраженная ориентация на динамику и новизну в профессиональной деятельности, что может приводить к частой смене мест работы.",декларация,,,,,,
5,Работа на заводе,Преодоление трудностей и профессиональный рост,"На заводе респондент решал сложные задачи, наладил процессы, после чего потерял интерес из-за рутины. Его инициативы не всегда были приняты коллективом.","Когда у завода проблема какая-то связана с этим, они приходят сюда и спрашивают, что будем делать. Я нашел способы решить все проблемы, и за шесть лет ни одного суда не было.","гордость, разочарование","инициативность, эффективность, профессионализм","Респондент склонен к инновациям и оптимизации, но сталкивается с сопротивлением со стороны коллектива, предпочитающего стабильность.",эпизод,завод,,,,,
6,Профессиональная мобильность,Многообразие профессий и навыков,"Респондент имеет опыт работы в различных сферах, обладает широким набором практических навыков, легко осваивает новые профессии.","Я за всю жизнь что только не делал, где я только не работал, практически умею все.","уверенность, легкая ирония","универсализм, адаптивность, самостоятельность","Многофункциональность и готовность к смене деятельности — черта, характерная для людей с высокой профессиональной мобильностью.",декларация,,,,,,
7,Профессиональное самоопределение,Горизонтальный рост и отсутствие карьерных амбиций,"Респондент предпочитает горизонтальное расширение компетенций вертикальному карьерному росту, не стремится к управленческим позициям.","Ну вот смотрите, если ты работаешь водителем, там в принципе... То есть там дальше некуда подниматься.","спокойствие, принятие","практичность, свобода выбора, отсутствие иерархических амбиций",Отсутствие стремления к вертикальной карьере может быть связано с ценностью самостоятельности и нежеланием брать на себя административную ответственность.,декларация,,,,,,
8,Образование и профессиональный выбор,Отказ от высшего образования,"Респондент бросил учебу, не видя смысла в профессии агронома без возможности путешествовать и заниматься динамичной деятельностью.","А смысл агрономом где-то в другом месте быть не хочу. А там была должность регионального агронома, которая подразумевала под собой частые поездки.","рациональность, спокойствие","динамика, мобильность, практичность","Выбор профессии и образования определяется не столько престижем, сколько соответствием личным ценностям и стилю жизни.",перелом,вуз,,,,,
9,Профессиональные интересы и хобби,Фотография как потенциальная профессия,"Респондент рассматривает возможность стать предметным фотографом, прошел обучение, но пока не хватает средств для старта.","Я прошел курс обучения... Я набрал аппаратуру, но не хватает денег на это.","надежда, энтузиазм","саморазвитие, творчество, независимость",Стремление к освоению новых профессий и хобби свидетельствует о внутренней потребности к развитию и поиску новых смыслов.,узел,,,,,,
10,Период после развода (21-33 года),Свободная личная жизнь,"После развода респондент вел насыщенную личную жизнь, не связывал себя серьезными отношениями.","То одна, то вторая, то третья, то четвертая, все такие. То есть, в общем, свободная жизнь у вас была? Абсолютно вообще.","беззаботность, легкость","свобода, независимость, удовольствие","Период свободной жизни после развода воспринимается как позитивный опыт, насыщенный событиями.",эпизод,,,,,,
11,Второй брак,Семейная жизнь и личные предпочтения,"В браке 13 лет, но отмечает дистанцию и разногласия с супругой, предпочитает проводить время на даче, а не в городе.",Вот пока терплю 13 лет уже.,"ирония, усталость","самостоятельность, личное пространство, прагматизм","Семейная жизнь воспринимается как компромисс, респондент ищет баланс между личными интересами и семейными обязанностями.",узел,,,дача,,,
12,Миграция и переезды,Адаптация к новым условиям,"Частые переезды не вызывают у респондента стресса, он легко адаптируется к новым условиям.","Я так не умею. Хорошо, вот в стрессе в целом, в вашей жизни стрессовая ситуация, серьезно, не знаю, с чем связана, предположите. ситуации, которые бы меня могли сбить с толку. Я выкручусь из всего.","уверенность, спокойствие","адаптивность, стрессоустойчивость",Высокая мобильность и стрессоустойчивость позволяют респонденту успешно интегрироваться в новые социальные и профессиональные среды.,декларация,,,,,,
13,Жизненные принципы,Отношение к проблемам и стрессу,"Респондент делит проблемы на решаемые и нерешаемые, предпочитает жить одним днем, но умеет планировать важные события.","В жизни есть два варианта проблемы. Первая, которую решить можно. А если проблему можно решить, это уже не проблема, это вопрос. Есть проблемы, которые решить нельзя. А если ты ее не можешь решить, то поставить ее на самотек, а дальше как получится.",философское спокойствие,"прагматизм, гибкость, умение отпускать",Философское отношение к трудностям и умение планировать важные события сочетаются с ориентацией на текущий момент.,декларация,,,,,,
14,Экстремальные ситуации,Преодоление жизненных трудностей,"Респондент сталкивался с экстремальными ситуациями (например, переезд из Сибири в Сочи с минимальными средствами, бегство из города после армии), но всегда находил выход.",А что вот переехать из Сибири в Сочи со 150 рублями в кармане не экстремал? Вопрос решен.,"самоуверенность, легкая бравада","решительность, самостоятельность",Способность к быстрому принятию решений и самостоятельному выходу из сложных ситуаций — важная черта жизненной стратегии респондента.,эпизод,,,,,,
15,Жизненные ценности и принципы,Главное в жизни и отношениях,"Для респондента важно, чтобы рядом был понимающий и поддерживающий человек, а также взаимное понимание и поддержка в отношениях.","Чтобы рядом с тобой был человек, который тебя понимает. И, наверное, чтобы он тебя поддерживал и понимал то, когда ты его стараешься поддержать в меру своих способностей.","искренность, теплота","взаимопонимание, поддержка, честность","Взаимная поддержка и понимание в отношениях — ключевая ценность, определяющая жизненные приоритеты респондента.",декларация,,,,,,
1,"зрелость, последние 7 лет",Состояние счастья и внутреннего баланса,"Респондент описывает свое счастье как состояние, когда дома спокойно, все улыбаются, есть деньги и нет проблем. Он отмечает, что умеет абстрагироваться от проблем и ценит внутренний покой.","Когда у меня все хорошо. Когда у меня дома спокойно, все улыбаются, когда у меня деньги есть. Когда у меня нет проблем, что последние лет семь уже, наверное. Но при этом я умею от проблем как бы абстрагироваться.","спокойствие, удовлетворение","семья, финансовая стабильность, внутренний покой",Для респондента счастье связано с гармонией в семье и отсутствием внешних стрессов. Он демонстрирует зрелую стратегию совладания с трудностями — дистанцирование и рационализация.,декларация,,,,,,
2,зрелость,Столкновение с неуверенностью и смена интересов,"Респондент признает, что при первых неудачах теряет интерес к делу и быстро переключается на другое. Пример — увлечение фотографией, которое было оставлено из-за нехватки денег на оборудование.","Бывает такое, что у тебя раз что-то не получается, и в этот момент тебе становится это неинтересно. И для меня это очень сложно себя обратно перенастроить на то, что в теории должно получиться.","разочарование, неуверенность","самореализация, поиск новизны, независимость","Респондент демонстрирует типичную для современных взрослых стратегию проб и ошибок, а также низкую толерантность к фрустрации. Неуверенность в себе и отсутствие поддержки со стороны близких усиливают склонность к смене деятельности.",эпизод,,,,,,
3,"зрелость, семейная жизнь",Влияние семейного окружения на инициативность,"Респондент сталкивается с непониманием и осторожностью со стороны жены, которая предпочитает стабильность и не поддерживает рискованные начинания.","Я живу с человеком, который привык всю жизнь сходить на работу, получать там свои до 30 тысяч. И вот тихая, спокойная речка, по которой она там всю жизнь плывет, плывет, плывет.","раздражение, фрустрация","самостоятельность, личная ответственность, стремление к переменам",В семье респондента наблюдается конфликт ценностей: его стремление к переменам и инициативе сталкивается с консерватизмом и ориентацией на стабильность у супруги.,узел,,,False,,,
4,зрелость,Отношение к ответственности и конфликтам в семье,"Респондент считает, что каждый ответственен за свое настроение, и использует этот принцип в семейных спорах, что приводит к конфликтам.","Я говорю, твое настроение – это зона действия твоей ответственности. И ее это начинает еще больше писить, в итоге мы ругаемся.","раздражение, ирония","личная ответственность, независимость","Респондент демонстрирует индивидуалистский подход к эмоциям и ответственности, что не всегда находит понимание в семейных отношениях.",эпизод,,,,,,
5,рефлексия зрелости,Переосмысление жизненного пути и образования,"Респондент сожалеет, что не получил высшее образование в молодости из-за отсутствия денег, и считает, что учеба в молодости — важнейший ресурс.","Я бы 100% поступил куда-нибудь в бычку. Потому что после училища у меня мозги были на месте, я мог это сделать. Но на тот момент, чтобы поступить в наше время, нужны были бабки по-любому. А денег у родителей не было.","сожаление, рационализация","образование, саморазвитие, прагматизм",Респондент иллюстрирует типичную для постсоветского поколения ситуацию: ограниченность образовательных возможностей из-за финансовых барьеров. Позднее поступление в вуз — попытка компенсировать упущенное.,перелом,вуз (поступление в 40+ лет),,,,,
6,молодость,Студенческая жизнь и предпринимательство,"В период жизни в общежитии респондент занимался мелким бизнесом среди студентов, используя особенности их поведения и расписания.","Пока в Казани работал, я жил в общежитии со студентами с матфаком. У меня там был шикарный бизнес.","ностальгия, гордость","предприимчивость, адаптивность",Респондент проявляет предпринимательские качества и способность использовать социальную среду для заработка.,эпизод,,,,,,
7,зрелость,Самооценка и жизненная позиция,"Респондент характеризует себя как человека, уверенного в своих силах, с процветающим эгоизмом, способного выкрутиться из любой ситуации.","Я считаю, что у меня все отлично. Я все умею, я все могу и выкручу из всего, что только можно сделать. Во мне живёт, как я это называю, процветающий эгоизм.","уверенность, самоирония","самодостаточность, оптимизм","Респондент демонстрирует высокую самооценку и индивидуализм, что может быть как ресурсом, так и источником конфликтов в коллективе или семье.",декларация,,,,,,
8,зрелость,Режим дня и влияние военного опыта,"Респондент отмечает, что привычка к дневному сну осталась с флота, где был адмиральский час. Это влияет на его биоритмы и предпочтения в распорядке дня.","Мне организм, наверное, с флота привык. Там есть адмиральский час, когда ты всегда спишь. И с тех пор он меня не отпускает в этот часик.","ирония, принятие","дисциплина, адаптация","Военный опыт продолжает оказывать влияние на повседневную жизнь респондента, формируя устойчивые привычки.",эпизод,флот,,,,,
9,зрелость,Потеря водительских прав и поддержка семьи,"Респондент рассказывает о случае, когда лишился водительских прав из-за многочисленных штрафов, и сестра переехала к нему, чтобы помогать с передвижением.","В итоге меня лишили прав за двойную сплошную из-за того, что у меня было больше 10 штрафов в год. Я 4 месяца ходил пешком, из-за чего сестренка переехала сюда ко мне, чтобы меня возить в это время.","ирония, благодарность","семейная поддержка, независимость","Семейные связи выступают ресурсом в трудных ситуациях, несмотря на общий индивидуализм респондента.",эпизод,,,,,,
10,зрелость,"Работа, гибкий график и отношение к труду","Респондент работает с плавающим графиком, меняет работы, предпочитает независимость и возможность самому распоряжаться временем. В такси работает на своей машине, чтобы не платить аренду.","Я работаю 3-4 дня в неделю. Сегодня выходной, потому что нет работы. Соответственно, оплатят меня за деньги. То есть чем меньше работ, тем меньше зарплаты. Я поэтому меняю работу.","прагматизм, независимость","свобода, самостоятельность, экономическая выгода","Респондент предпочитает гибкие формы занятости и минимизацию обязательств, что типично для современной неформальной экономики.",декларация,,"самозанятость, такси",,,,
11,зрелость,"Отдых, отпуск и семейные поездки","Респондент совмещает работу и отдых, используя поездки к морю для заработка и семейного времяпрепровождения. Предпочитает активный отдых, но отмечает, что с возрастом отношение к отдыху меняется.","В обед я их привез, покушал еще раз, также рейс сделал. И вечером либо уже опять так же один рейсик туда-сюда, либо поехали куда-нибудь погулять. И в среднем 7-8 рублей у меня есть. То есть я отдохнул и покупался, дети мои целый месяц были на море. А мы и отдохнули, и поработали, и денег заработали.","удовлетворение, гордость","семья, рациональность, активность","Респондент рационализирует отдых, совмещая его с заработком, что отражает экономическую прагматику и ориентацию на семейные интересы.",эпизод,,,,,,
12,зрелость,Отношение к отдыху и отпуску,"Респондент отмечает, что не имел хорошего отпуска после Сочи, а в периоды жизни у моря редко пользовался возможностью купаться из-за занятости. Предпочитает активные поездки с семьей зимой.","В Сочи у меня был отпуск прям круглогодичный. Но при этом я за два года купался два раза. Потому что оно там некогда было. Ну, как сапожники.","ирония, легкая грусть","работоспособность, семейные традиции","Даже при наличии ресурсов (жизнь у моря) респондент не всегда может позволить себе полноценный отдых, что типично для трудоголиков и людей с высокой занятостью.",эпизод,,,,,,
13,зрелость,Различие семейных сценариев отдыха,"Респондент и его жена по-разному представляют идеальный отдых: жена предпочитает пассивный пляжный отдых, а он — активные поездки и экскурсии.","У меня жена хочет приехать на море, снять жилье где-нибудь возле моря, чтобы она вышла на пляж, покупалась, пришла, отдохнула, вышла на пляж, покупалась. А у меня жила в заднице, мне надо съездить, допустим, сегодня в Россию, завтра в Абрау-Дюрсо.","ирония, легкое раздражение","разнообразие, активность, самостоятельность",В семье респондента проявляется типичный для современных пар конфликт сценариев досуга: пассивный отдых против активного исследования новых мест.,узел,,,,,,
1,"Взрослая жизнь, семейный этап",Путешествия и впечатления от городов,"Респондент рассказывает о своих поездках по югу России, посещении аквапарков, музеев, в частности Эрмитажа, и впечатлениях от Санкт-Петербурга. Отмечает разницу между регионами, культурой вождения, чистотой и порядком в городе.","Вообще мне нравится это в Питере, что у них все 60. То есть там нет 40, в одном месте есть 40. И ты спокойно катаешься, и пробки какие-то, как родные становятся, что ли. И все как-то вот до такой степени культурно, ровно, чистенько, пряменько, везде все обрано. Отличный город.","восторг, спокойствие, удовлетворение","культура, порядок, чистота, новые впечатления","Респондент ценит культурные различия между регионами, отмечает важность городской среды и инфраструктуры для качества жизни и отдыха.",эпизод,"музеи, аквапарки, городской транспорт",False,,,,
