id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,digital_literacy
3,Настоящее,Работа и отношение к труду,"Респондентка подрабатывает, работа неофициальная, без прямого контакта с заказчиками. Работа воспринимается как способ обеспечить себя, а не как источник интереса или самореализации.","Я не могу сказать, что интересно, но я не скучно, не против, народно.","Равнодушие, спокойствие, легкая усталость","Самостоятельность, материальная обеспеченность, отсутствие стресса","Для людей пенсионного возраста подработка часто становится способом поддерживать финансовую независимость, но не является источником профессиональной идентичности.",декларация,,,неофициальная занятость,,
4,Настоящее,Отношение к хобби и увлечениям,"Респондентка не считает себя увлечённым человеком, хотя много читает и раньше вязала. Сейчас не может заставить себя заниматься рукоделием.","У меня нет хобби, у меня нет увлечений. Я много читаю. Я люблю читать, не считаю это увлечением.","Спокойствие, легкая апатия","Интеллектуальное развитие, самостоятельность","С возрастом интерес к новым увлечениям может снижаться, а привычные занятия теряют эмоциональную окраску.",декларация,,,,,
5,Настоящее,Экологические привычки и отношение к природе,"Респондентка придерживается некоторых экологических привычек, не мусорит, аккуратно относится к природе, но не считает себя активисткой.","Я стараюсь не нарушать препятствия. Поехать в лес и накрасить какой-то цветок. Понятно, да Но деревья набираются.","Спокойствие, умеренная ответственность","Ответственность, уважение к природе","Экологические практики у пожилых людей часто связаны с личной ответственностью и привычками, а не с идеологией.",декларация,,,,,
6,Настоящее,Праздники и семейные традиции,"Праздники отмечаются по привычке, традиции остались с советских времен. Формат праздников изменился: меньше гостей, больше уединения, акцент на уборке и приготовлении еды.","Праздники, традиции праздничные, все оставшиеся с советских времен. 8 марта, 23 февраля, нерождение.","Ностальгия, легкая грусть","Семейные традиции, память о прошлом","С возрастом праздники теряют прежний размах, становятся более камерными, что связано с изменением круга общения и уходом близких.",эпизод,,,,,
7,Настоящее,Отдых и отпуск,"Отдых воспринимается как возможность избавиться от обязательств. Отпуск организует муж, поездки совершаются раз в год, иногда два. Важна свобода от рутины.","Для меня, знаете, отсутствие обязательств. Я делала, что я хочу, не делала, чего не хочу, когда хочется.","Желание свободы, легкая усталость","Свобода, отдых, отсутствие рутины","В зрелом возрасте отдых приобретает значение освобождения от повседневных обязанностей, а не только смены обстановки.",эпизод,семья,,,,
8,Настоящее,Самооценка и отношение к распорядку дня,"Респондентка недовольна своей неспособностью к равномерному распределению дел, но ценит свободу и вариативность. Испытывает внутренний конфликт между желанием порядка и нежеланием рамок.","Мне бы очень хотелось бы представить себя как-то, может, не заставить, может, как-то убедить. То есть равномерно поработал, сделал что-то, поработал, сделал что-то. У меня так не получается, поэтому я недовольна собой.","Недовольство собой, внутренний конфликт","Свобода, саморефлексия, независимость","Внутренний конфликт между желанием порядка и стремлением к свободе характерен для людей, переживающих смену жизненного уклада.",узел,,,,,
9,Настоящее,Дружба и социальные связи,"Старые друзья ушли, остались приятельские отношения. Появились новые знакомства, но дружба теперь определяется комфортом и надежностью.","К сожалению от старых друзей уже ничего не осталось, они ушли. то есть я Приятельства те остались, мы периодически нечистые. Мы встречаемся, общаемся с большими людьми.","Грусть, принятие","Надежность, комфорт, общение","С возрастом круг общения сужается, дружба становится более избирательной и ценится за надежность и эмоциональный комфорт.",декларация,,,,,
1,зрелый возраст,отношения с близкими и окружением,"Респондент ощущает недостаток внимания и поддержки со стороны близких, считает, что отношения сложились не так, как хотелось бы. В случае трудностей обращается к мужу, но в целом чувствует недооцененность.","Все недооценивают, все недооценивают. Я, наверное, неправильно сложила отношения, сформировала отношения со своими близкими. Вот это да! А это что такое? Мне бы хотелось других отношений, но понятно, что я не стилист. Мне бы хотелось больше внимания, проявления внимания.","разочарование, сожаление","внимание, поддержка, признание","Респондент демонстрирует типичную для зрелого возраста рефлексию по поводу семейных и социальных связей, отмечает неудовлетворенность качеством отношений и ролью в семье.",декларация,,,,,
2,зрелый возраст,отношение к здоровью и забота о себе,"Здоровье не занимает центрального места в жизни респондента, есть сожаление об упущенных возможностях. Соблюдает назначения врача, иногда делает гимнастику, но не придает этому большого значения.","Для меня это скорее сожаление, а в упущенных возможностях и не сделанном. И не более того... То, что доктор назначает, пьет. То, что не хочется. Дорогие любимые, периодически пытаюсь делать гимнастику... Не занимает это какое-то большое место в моей жизни. Есть и всё.","апатия, легкая грусть","рациональность, принятие ограничений возраста","Отношение к здоровью носит пассивный характер, характерно для людей, которые не видят в изменении образа жизни значимого ресурса для улучшения самочувствия.",декларация,,,,,
3,зрелый возраст,питание и бытовые привычки,"Респондент безразличен к еде, но придает значение эстетике подачи. Признает наличие вредных привычек, например, переедание на ночь.","Мне нужно, чтобы были салфетки, мне нужно, чтобы картошка была красивым веером, мне нужно, чтобы салатик был разложен, как должно. Вот этому я... Чтобы колбаска ливерная была порезана ровным колечком.","спокойствие, легкая ирония","эстетика, порядок, комфорт",Важность эстетики и порядка в быту может быть компенсаторным механизмом при отсутствии других источников удовлетворения.,декларация,,,,,
4,зрелый возраст,образ жизни и желания изменений,"Респондент хотела бы изменить многие аспекты образа жизни: больше физической активности, структурировать день, не работать после шести, но отмечает трудности в реализации этих изменений.","Мне бы очень хотелось бы вставать рано. Я периодически это делаю, но не переживайте. Мне бы хотелось выгнать график работы и денег. Мне бы хотелось непременно выходить, прогуляться вечером перед сном. Мне бы хотелось структурировать работу так, чтобы хотя бы после шести не работать.","мечтательность, неудовлетворенность","самоорганизация, здоровье, дисциплина","Желание перемен в образе жизни часто встречается у людей зрелого возраста, но реализуется редко из-за устоявшихся привычек и сниженной мотивации.",декларация,,,,,
5,зрелый возраст,эмоциональное состояние и саморефлексия,"Респондент склонна к самокопанию, отмечает паническое настроение, склонность к жалости к себе, недовольство собой и периодическую тревожность.","Паническое настроение. Я очень люблю себе копаться, себя жалеть. В итоге я делаю много для себя. Ничем это выражается.","тревожность, самокритика","саморефлексия, эмоциональная честность",Высокий уровень саморефлексии и эмоциональной нестабильности может быть связан с недостатком внешней поддержки и социальной изоляцией.,декларация,,,,,
6,зрелый возраст,отношение к медицине и медицинским учреждениям,"Респондент принимает назначенные препараты от хронических заболеваний, доверяет официальной медицине, но критикует современную систему за формализм и недостаток индивидуального подхода. Выбирает врача, а не учреждение.","Я не против официальной медицины, я обеим руками сам, потому что травмами буквально не все вылечишь. А вот медицина, которая есть в деятельности сейчас, нет. Мне не нравится это... Для вас вы выбираете не учреждение государственное, частное, а что, человека? Человек.","критичность, прагматизм","компетентность, индивидуальный подход",Критика системы здравоохранения и ориентация на личность врача типична для людей с опытом хронических заболеваний и разочарованием в институциональных практиках.,декларация,государственные и частные клиники,,,,
7,зрелый возраст,опыт обращения за медицинской помощью,"Респондент сталкивалась с некачественной медицинской помощью, отмечает, что доступ к качественной медицине зависит от случая и настойчивости. Иногда лечение оказывается не по карману.","Мне кажется, здесь большую роль играет Его Величество Случай. Или это нужно быть немножко бронетранспортером. И в конце концов добиться.","разочарование, усталость","справедливость, настойчивость",Опыт обращения за медицинской помощью формирует критическое отношение к системе и снижает доверие к институтам.,эпизод,,,ограничено из-за финансовых возможностей,,
8,зрелый возраст,отношение к вакцинации и профилактике,"Респондент положительно относится к вакцинации, готова прививаться при необходимости, но не проявляет избыточной инициативы.","Ну, сейчас у меня нет необходимости, но я бы и так помогла Маку от ковида. То есть я бы сделала клипы перед этим.","спокойствие, рациональность","ответственность, профилактика",Прагматичный подход к вакцинации характерен для людей с опытом хронических заболеваний и доверием к официальной медицине.,декларация,,,,,
9,зрелый возраст,отношение к психологической помощи,"Респондент положительно относится к психологической помощи, хотя сама не обращалась, но видит пользу по отзывам знакомых.","положительно у меня есть знакомая Я просто вижу отзывы, которые пишут ей люди. Нет, ну а и что? Конечно, важно.","одобрение, интерес","открытость новому, забота о психическом здоровье",Положительное отношение к психологической помощи свидетельствует о смещении установок в сторону принятия психотерапии в старших возрастных группах.,декларация,,,,,
10,зрелый возраст,забота о здоровье близких,"Респондент переживает за здоровье близких, пытается мотивировать их на обследования, но сталкивается с их пассивностью и невозможностью повлиять.","Ну, если вот как бы так прямолинейно, то, зная, на что он усваивается, да, на его полу, понимаешь, что нужно пройти обследование... И я ему предлагаю, что мы не пойдем, да?... И что я могу сделать? Я желаю, что Роману было 1 минуту до суток.","беспокойство, бессилие","забота, ответственность","Забота о здоровье близких и невозможность повлиять на их поведение — частая проблема для пожилых людей, особенно женщин.",узел,,,,,
11,зрелый возраст,опыт ухода за близкими,"Респондент имела опыт ухода за тяжелобольным человеком, мобилизовала все возможные ресурсы, чтобы справиться с ситуацией.","Поэтому я на всякий случай подстраховалась и активировала всех знакомых, кого знаю. Но вытащили. Я не знаю. Может и так. У меня как-то было спокойно.","усталость, облегчение","ответственность, солидарность","Опыт ухода за близкими формирует чувство ответственности и солидарности, но также может приводить к эмоциональному выгоранию.",эпизод,,,,,
12,зрелый возраст,размышления о будущем и заботе о себе,"Респондент задумывается о будущем, тревожится о возможной зависимости от других, надеется на помощь детей, но не уверена в их готовности заботиться.","Ну, дети, может быть, сидят, по-моему, на цветах, не дают ждать.","тревога, неуверенность","самостоятельность, надежда на семью",Страх утраты самостоятельности и неопределенность в отношении будущей поддержки характерны для пожилых людей.,декларация,,False,,,
1,"Зрелый возраст, пенсионный период",Забота о близких и чувство беспомощности,"Респондентка испытывает сильное чувство вины и беспомощности из-за невозможности помочь близким, несмотря на готовность следовать медицинским рекомендациям и организовать уход.","Для меня в этом теме важно только одно, что я ничего не могу сделать для своих близких.","Грусть, усталость, фрустрация","Забота о семье, ответственность, самопожертвование","Типичная для пожилых женщин установка на заботу о других, сопровождающаяся чувством вины за невозможность реализовать эту заботу в полной мере из-за ограниченных ресурсов и усталости.",узел,,,,True,
2,Пенсионный возраст,Финансовое положение и расходы,"Респондентка отмечает нехватку пенсии и зарплаты, вынуждена экономить, основные траты — медицина, жильё, подарки близким. Нет привычки тратить много, крупные покупки вызывают стресс.",Мне не всегда хватает моей пенсии и моих зарплат.,"Огорчение, тревога, сдержанность","Бережливость, ответственность, умеренность",Финансовая неустойчивость и ориентация на минимизацию расходов характерны для пожилых людей с невысоким доходом. Приоритет — базовые нужды и поддержка семьи.,эпизод,,False,низкая,,
3,Пенсионный возраст,Покупки и отношение к вещам,"Респондентка не делает спонтанных покупок, не пользуется маркетплейсами из-за технических сложностей, предпочитает покупать недорогие и новые вещи, избегает кредитов.","Нет привычки, широко тратить деньги.","Сдержанность, осторожность","Рациональность, экономность, самостоятельность","Низкая цифровая грамотность и осторожность в финансовых вопросах типичны для старшего поколения. Покупки совершаются обдуманно, с прицелом на долговечность и минимальные траты.",декларация,,,очень низкая,,
4,Пенсионный возраст,Собственность и имущественные вопросы,"У респондентки нет собственности на жильё или автомобиль, это её осознанное решение.",У меня в собственности нет ничего. Это моё решение.,"Спокойствие, принятие","Независимость, скромность",Отсутствие собственности может быть связано с семейными договорённостями или стратегиями минимизации ответственности и рисков.,декларация,семья,,,,
5,Пенсионный возраст,Доходы и расходы,"Основной доход — пенсия (14-15 тыс. руб. в месяц), расходы нестабильны, иногда возникают трудности с долгами.","Если постоянная одна пенсия, то получается порядка 15 тысяч.","Обыденность, некоторая тревога","Стабильность, честность","Низкий доход и нестабильность расходов — типичная ситуация для пенсионеров, особенно женщин.",эпизод,,,,,
6,"Взрослая жизнь, зрелость",Образование и отношение к платному обучению,"Респондентка училась в институте бесплатно, считает, что образование должно быть бесплатным, платное образование не даёт преимуществ.","Отряд начинался, конечно, бесплатно.","Уверенность, убеждённость","Равенство, доступность образования","Сильная ориентация на советские ценности бесплатного образования, недоверие к платным услугам.",декларация,институт,,,,
7,Пенсионный возраст,Семейный бюджет и финансовые отношения в семье,"В семье нет общего бюджета, расходы и доходы разделены, крупные траты обсуждаются и делятся пополам, нет строгого планирования.","У нас нет такого школы, как у меня было. Если бы мы пока не знали, как платье можно произвести, то мы бы, как ты сказал, совместно почерпнули.","Сдержанность, некоторая неудовлетворённость","Справедливость, самостоятельность","Раздельный бюджет и отсутствие строгого планирования характерны для семей с равноправными отношениями, но могут вызывать трудности в случае непредвиденных расходов.",эпизод,,,,,
8,Пенсионный возраст,Гендерные роли и труд,"Респондентка придерживается патриархальных взглядов: мужчина должен зарабатывать, женщина — вести хозяйство, но признаёт, что в современной жизни эти роли размываются.","У меня в этом плане патриархальный господь, конечно, должен зарабатывать мучком.","Ностальгия, некоторая растерянность","Традиционализм, семейные роли",Сочетание традиционных и современных взглядов на гендерные роли отражает переходный характер ценностей у старшего поколения.,декларация,,,,,
9,Пенсионный возраст,Отношение к государственным структурам,"Респондентка негативно относится к государственным органам, избегает взаимодействия из-за унизительного отношения и бюрократии, даже если это связано с финансовыми потерями.","Я не могу, я не хочу, меня не лезет. Мне больше вот это унижение, я не знаю, смогу ли я его перенести.","Раздражение, усталость, отчуждённость","Достоинство, независимость",Недоверие и отчуждённость по отношению к государству характерны для людей с негативным опытом взаимодействия с бюрократией.,декларация,государственные органы,,,,
1,зрелый возраст,Взаимодействие с государственными сервисами и бюрократией,"Респондент описывает опыт использования мобильного приложения 'Мой Новый' и взаимодействия с государственными структурами по вопросам пенсии, паспорта, налогов. Отмечает неудобства, бюрократические сложности, очереди, потерю документов и необходимость предоставления дополнительных справок.","Мобильное приложение Мой Новый прекрасно установлено. Ну, опять же, оно настолько полукосое, что там ничего, кроме какого-то графика, я не посмотрю, не попросить, не узнаю.","раздражение, усталость, ирония","самостоятельность, справедливость, информированность","Опыт респондента типичен для пожилых людей, сталкивающихся с цифровизацией и бюрократией. Недоверие к эффективности госуслуг, ощущение отчуждения от новых технологий.",эпизод,"госуслуги, пенсионный фонд, паспортный стол, налоговая",,,,
2,зрелый возраст,Опыт взаимодействия с полицией и правовой системой,"Респондент сталкивалась с кражей сумки и потерей пенсии, описывает формальный подход полиции, нежелание обращаться в органы по мелким вопросам, недоверие к эффективности расследований.","Причем ко мне пришел товарищ из милиции, говорит, вы знаете, а вы напишите, что вы депутаты, а можно сказать, что вы не отчитываете, что у вас сумочку выдернули, а то это самое. У нас будет дело не раскрытое, а как же это будет?","разочарование, ирония","честность, самостоятельность, недоверие к формальным институтам","Демонстрирует типичное для старшего поколения недоверие к правоохранительным органам, низкие ожидания от их работы, привычку решать проблемы самостоятельно.",эпизод,полиция,,,,
