id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context
5,"Зрелость, социальные связи",Круг общения и одиночество,"Круг общения сложился по интересам, чувства одиночества нет. Респондент не анализирует причины формирования круга общения, считает это естественным процессом.","Но я не знаю даже, как получилось, так получилось. По интересам, наверное.","нейтральность, принятие","естественность, спонтанность","Формирование круга общения респондент воспринимает как органичный процесс, не придавая ему особого значения.",декларация,,,,
6,"Зрелость, здоровье",Текущее состояние здоровья и образ жизни,"Респондента беспокоят профессиональные заболевания, связанные с сидячим образом жизни. Признает недостаток физической активности, наличие вредных привычек (курение, алкоголь), но не видит в этом серьезной угрозы.","Вот сейчас сижу, вот с утра не успел таблетку выпить. С вами разговариваю. Шею прохватило в командировке.","легкая тревога, самоирония","осознанность, реализм","Респондент осознает влияние профессиональных факторов на здоровье, но не предпринимает активных шагов к изменению образа жизни.",декларация,,False,,
7,"Зрелость, здоровье",Отношение к вредным привычкам и изменениям образа жизни,"Респондент курит и употребляет алкоголь, задумывался о том, чтобы бросить, но не считает это необходимым. Возможные изменения связывает с наличием свободного времени.","Да, думали.","апатия, легкая ирония","комфорт, привычка",Отсутствие мотивации к изменению привычек связано с устоявшимся образом жизни и нехваткой времени.,декларация,,,,
8,"Зрелость, здоровье",Влияние факторов на здоровье,Основными негативными факторами для здоровья респондент считает курение и стресс по работе.,"Да, и стресс. Вот прям стресс по работе и вот именно сигареты.","реализм, тревога",осознанность,"Респондент осознает риски, связанные с образом жизни, но не предпринимает активных действий по их снижению.",декларация,,,,
9,"Зрелость, здоровье",Отношение к медицине и медицинским услугам,"Респондент доверяет официальной медицине, обращается к знакомым врачам за советом, иногда посещает частные клиники по косметическим вопросам. В компании нет ДМС, что создает неудобства.","Слушайте, а к кому еще идти? ... у меня тут друг, доктор, одноклассник, он полостной хирург, и мне в случае чего есть хотя бы кому позвонить.","прагматизм, спокойствие","доверие к экспертам, прагматизм","Респондент сочетает доверие к системе с использованием личных связей, что типично для российских реалий.",декларация,здравоохранение,True,False,
10,"Зрелость, здоровье",Роль государства в здравоохранении,"Респондент считает, что государство должно полностью финансировать здравоохранение, отмечает разницу в качестве между бесплатной и платной медициной, критикует бюрократию.","Государство, оно влияет. Оно должно спонсировать полностью все это, потому что мы к этому привыкли уже.","критика, реализм","социальная справедливость, привычка",Ожидание бесплатной медицины и критика бюрократии отражают массовые установки российского общества.,декларация,государство,,,
11,"Зрелость, здоровье",Отношение к вакцинации,"Респондент положительно относится к прививкам, считает их необходимыми для общества, но отмечает, что вакцинация должна быть бесплатной. К ковид-вакцинам относится с осторожностью из-за недостаточной изученности.",Положительно отношусь к прививкам.,"рациональность, осторожность","рациональность, забота о здоровье",Позиция респондента отражает баланс между доверием к науке и осторожностью к новым медицинским технологиям.,декларация,,,,
12,"Зрелость, здоровье",Опыт обращения за медицинской помощью,"Респондент не сталкивался с отказом или плохим качеством медицинской помощи, крупные расходы на лечение не требовались. Отмечает проблемы с получением квот и подтверждением инвалидности у знакомых.","Все операции, на которые я попадал, были с небольшими суммами денег. И то эти деньги с меня никто не просил. Это как бы моя благодарность лично врачам.","благодарность, критика","благодарность, справедливость","Личный опыт респондента относительно благополучен, но он осведомлен о системных проблемах через опыт знакомых.",эпизод,,,,
13,"Зрелость, эмоциональное состояние",Эмоциональное состояние и способы справляться с трудностями,"Респондент предпочитает справляться с тревогой и подавленностью самостоятельно, переключаясь на другие дела и убеждая себя в незначительности проблем.","Надо к нему как бы переключаться, отвлекаться постараюсь. Убеждать себя, что это там как бы в жизни не главное и есть более важные вещи.","самообладание, спокойствие","самостоятельность, рациональность",Респондент склонен к саморегуляции и не обращается за профессиональной психологической помощью.,декларация,,,,
14,"Зрелость, эмоциональное состояние",Отношение к психологической помощи и альтернативным практикам,"Респондент скептически относится к психологической помощи и энергетическим практикам, считает, что человек должен сам разбираться со своими проблемами.","Я вообще считаю, что человек как-то должен все-таки сам с этим справиться. Разобраться со своими тараканами сам должен в своей голове.","скепсис, уверенность","самостоятельность, рациональность","Скепсис к психологической помощи и альтернативным практикам типичен для части российского населения, ориентированной на самостоятельное преодоление трудностей.",декларация,,,,
1,"зрелость, семейная жизнь","Опыт сопровождения близких к врачу, переживания за здоровье","Респондент пережил тяжелую ситуацию, когда у его отца случился инфаркт, и он сопровождал его до приезда скорой и во время госпитализации. Это был эмоционально трудный опыт.","Я как бы присутствовал, когда у отца протекал инфаркт. И ждал скорую вместе с ним. Тяжело.","тревога, стресс, беспомощность","семья, забота о близких, эмоциональная поддержка","Опыт тяжелых ситуаций с близкими формирует у респондента настороженное отношение к вопросам здоровья, но не приводит к выраженной тревоге о собственном будущем.",эпизод,,,,
2,"зрелость, семейная жизнь",Страх потери работоспособности и заботы в случае болезни,"Респондент испытывает страх потерять работоспособность, так как не уверен, что сможет рассчитывать на чью-то помощь, кроме жены.","Потерять работоспособность. Потому что как бы особо-то рассчитывать не на кого. Ну, кроме жены.","тревога, неуверенность","самостоятельность, ответственность, семейная поддержка","Видна типичная для зрелого возраста тревога о будущем и ограниченность круга поддержки, что характерно для современных малых семей.",декларация,,,,
3,"зрелость, семейная жизнь","Финансовое положение, структура доходов","Основной доход семьи — зарплата жены, у респондента официальная работа, ранее был опыт работы с серой зарплатой.","Да, зарплата моей жены.","спокойствие, принятие","стабильность, честность, адаптация","Семейный бюджет строится на совместных доходах, опыт работы с серыми зарплатами воспринимается как норма для определенного периода жизни.",узел,,официальная и неофициальная занятость,,
4,"зрелость, семейная жизнь",Отношение к дополнительным заработкам и сезонности дохода,"Работа респондента связана с сезонностью, иногда были мысли о подработке, но не реализованы из-за особенностей графика.","Были мысли, но потом я понял, что нет. Как уже говорил, у меня работа связана с сезонностью.","рассудительность, спокойствие","рациональность, баланс между работой и личной жизнью","Респондент предпочитает не распыляться, ценит стабильность и не стремится к множественным источникам дохода.",декларация,,,,
5,"зрелость, семейная жизнь",Финансовое благополучие и расходы,"Семья чувствует себя финансово комфортно, может позволить себе откладывать деньги, не экономит на повседневных расходах.","Да и нам вообще нормально хватает, еще и откладываем.","удовлетворение, спокойствие","достаток, финансовая грамотность","Семья достигла уровня финансовой стабильности, позволяющего не задумываться о жесткой экономии.",декларация,,,,
6,"зрелость, семейная жизнь",Покупательское поведение: спонтанные и обдуманные покупки,"Спонтанные покупки ограничиваются мелочами, крупные покупки всегда обдумываются. Иногда жалеют о ненужных покупках.","Если называть спонтанные покупки, пойдемте погуляем, и потом раз, ой, а давайте купим телевизор или холодильник. Нет, такого нет.","ирония, легкая самокритика","рациональность, умеренность","Преобладает рациональный подход к тратам, импульсивные покупки не приветствуются.",декларация,,,,
