id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,collapse_context,housing_promised,ownership
1,детство и школьные годы,школьные трудности и семейная поддержка,"В школьные годы респондент столкнулась с проблемами в классе, что привело к смене школы. Родители заметили изменения в поведении и приняли меры, чтобы помочь дочери.","То есть это было связано, что родители увидели, что такая ситуация в школе, такое отношение, и поэтому у вас увидели, что дома начали деньги пропадать, то, что у меня выбора не было.","напряжение, тревога, облегчение после признания","честность, поддержка семьи, безопасность","Смена школы и вмешательство родителей иллюстрируют важность семейной поддержки в кризисных ситуациях у подростков. Проблемы в школе могут приводить к девиантному поведению, но своевременное вмешательство семьи помогает минимизировать последствия.",эпизод,школа,,1.0,,
2,"молодость, ранняя взрослость",образование и профессиональное самоопределение,"Респондент получила высшее образование, затем прошла дополнительные курсы по коучингу, английскому языку и тренерству. Эти шаги были связаны с поиском себя и желанием разобраться в личных проблемах.","Я пошла учиться на коуча... даже если не получится работать, мне полезно будет себя исследовать.","любопытство, надежда, саморазвитие","самопознание, образование, профессиональный рост","Дополнительное образование становится инструментом не только профессионального, но и личностного развития. Женщины всё чаще используют образовательные траектории для решения личных и психологических проблем.",узел,"вуз, курсы коучинга, онлайн-образование, компания Учиру","частичная занятость, тренерство",1.0,,
3,ранняя взрослость,выбор профессии и разочарование в карьерных ожиданиях,"Респондент мечтала работать дипломатом, но столкнулась с барьерами при трудоустройстве. В итоге осталась в сфере образования, хотя сохраняет мечту о дипломатии.","Хотелось очень в Москву поехать, попробовать МИД. Я тоже поняла, что малого шансов там прорваться. По сути, не попробовала и очень жалею.","разочарование, сожаление, принятие","амбиции, независимость, самореализация","Карьерные барьеры, связанные с отсутствием связей и финансовых ресурсов, типичны для провинциальных выпускников. Сфера образования становится альтернативой для женщин с гуманитарным образованием.",перелом,"МИД, ООН, образовательные учреждения",,1.0,не реализовано (не хватило денег на жильё в Москве),
4,"эмиграция, зрелость",работа в международной компании и опыт интеграции,Работа в израильской международной компании дала респонденту опыт межкультурного общения и чувство профессионального удовлетворения. После прекращения деятельности компании в России пришлось искать новые пути.,"В Израиле, где я работала, потому что это была иностранная компания, там было много культур разных. Мне нравился там БОС, мне нравилось, что я с разными странами работала.","удовлетворение, ностальгия, сожаление","открытость, профессионализм, разнообразие",Опыт работы в мультикультурной среде способствует развитию толерантности и профессиональной мобильности. Прекращение деятельности компании иллюстрирует нестабильность рынка труда для мигрантов.,эпизод,международная компания (Пионерна),"дистанционная работа, международный рынок",1.0,,
5,"зрелость, эмиграция","личные отношения, первый брак и развод","Первый брак с представителем кавказской диаспоры сопровождался конфликтом ценностей и ограничением свободы. Попытка ЭКО не увенчалась успехом, что стало одним из факторов развода.","Я не могла сидеть дома, я не могу без работы. Я тупить начинаю и деградирую, если я дома сижу. Я должна быть постоянно в движении. Я деньги лучше люблю. Я не могу без денег, когда у меня свои собственные деньги.","раздражение, протест, освобождение","свобода, независимость, самореализация","Брак с представителем другой культуры часто сопровождается конфликтом традиционных и современных ценностей. Женщины, ориентированные на самостоятельность, испытывают давление со стороны семьи супруга и общества.",перелом,"семья супруга, традиционные институты",,1.0,жизнь с родителями супруга,
6,"зрелость, эмиграция",развод и новые отношения,"После развода респондент начала отношения с одноклассником, что помогло ей пережить разрыв. Однако новые отношения оказались проблемными из-за криминального прошлого партнёра.","Я просто с ним сбежала. Муж был в шоке. Я сказала ему, что я ухожу. Я не сказала, что я с кем-то ухожу. Иначе бы он его убил просто.","решимость, облегчение, разочарование","самостоятельность, эмоциональная честность, поиск счастья",Переход от одного значимого отношения к другому часто служит способом психологической адаптации после развода. Женщины могут выбирать рискованные отношения в поисках эмоциональной поддержки.,узел,,,1.0,"жильё у партнёра, затем самостоятельная аренда",
7,"зрелость, эмиграция",семейные отношения и поддержка,"Родители и сестра респондента принимали участие в её жизни, но не всегда поддерживали её решения. Особую роль сыграла двоюродная сестра, которая стала близким человеком и оказывала поддержку в трудные периоды.","И мне кажется, она мне была ближе, чем родная сестра. Я тогда у неё жила тоже, когда мне было негде жить.","благодарность, тепло, доверие","семейная поддержка, близость, доверие","В миграционных и кризисных ситуациях расширенная семья (двоюродные братья/сёстры) может играть более значимую роль, чем родные родители или сиблинги.",эпизод,"семья, расширенная семья",,1.0,жильё у двоюродной сестры,
8,"зрелость, эмиграция",экстремальные ситуации и личная устойчивость,"В эмиграции респондент столкнулась с бездомностью, несколько дней провела на улице, но смогла справиться с ситуацией и выйти из кризиса.","Были, когда мне было негде жить в Израиле. И было такое, что я на улице несколько дней спала.","уязвимость, стресс, гордость за преодоление","стойкость, самостоятельность, смелость","Опыт бездомности среди мигрантов — маргинальный, но не редкий случай. Женщины чаще полагаются на неформальные сети поддержки, чтобы выйти из кризиса.",эпизод,,,1.0,"отсутствие жилья, временное проживание у знакомых/родственников",
1,Период после развода и переезда,"Развод, побег с одноклассником, финансовые трудности","После развода с мужем респондентка уехала с одноклассником, несколько дней жила в отеле, столкнулась с финансовыми трудностями из-за потери денег, была вынуждена искать жильё и работу.","Это было, когда я с мужем развелась и с этим парнем одноклассником сбежала. Мы там три дня в отеле, получается, пожили. Потом... Работа-то у меня в центре страны была, а он жил на севере. Ездить далеко было очень. Еще так получилось, что у меня деньги украли все.","стресс, растерянность, решимость","самостоятельность, честность, справедливость","Ситуация иллюстрирует уязвимость женщин после развода, необходимость самостоятельного решения бытовых и финансовых вопросов, а также отсутствие поддержки со стороны нового партнёра.",перелом,,"активный поиск работы, аренда жилья",,False,
2,"Преодоление кризиса, поиск ресурсов","Самостоятельность, поиск работы, опора на знания","В условиях отсутствия денег и жилья респондентка использует свои знания английского языка, чтобы найти работу переводчиком, что позволяет ей снять квартиру.","И мне помог мои знания английского. Я нашла работу переводчиком. И, получается, там заплатили вперед. Как раз эти деньги я использовала, чтобы снять квартиру, где я хотела.","надежда, облегчение","образование, самостоятельность, инициативность","Демонстрируется важность человеческого капитала (знания, навыки) для преодоления жизненных трудностей, а также способность к быстрой адаптации.",эпизод,,"трудовой рынок, аренда жилья",,,
3,"Преодоление стресса, личностный рост","Реакция на стресс, психологические изменения","Респондентка рассказывает о своей реакции на стрессовые ситуации: раньше были истерики и депрессии, теперь она действует рационально, благодаря психологическим практикам.","Сейчас у меня включается мозг, быстро прокручивает в голове, что как сделать, а если вот это, какие варианты есть. Это, кстати, помогла психологии научиться.","уверенность, спокойствие","рациональность, саморазвитие, психологическая устойчивость","Отражает тенденцию к психологической грамотности и самостоятельному поиску решений, а также влияние современных психологических практик.",декларация,,,,,
4,Период бездомности и опоры на веру,"Вера, выживание, отсутствие поддержки","Несколько дней респондентка была вынуждена ночевать в парке, молилась, не просила помощи у близких, опиралась на веру и внутренние ресурсы.","Ну, я молилась, и, мне кажется, может быть, молитвы мне помогали чем-то.","смирение, надежда, одиночество","вера, самостоятельность, стойкость","Показывает роль религии как ресурса преодоления кризиса и нежелание обращаться за помощью, что может быть связано с воспитанием и культурными установками.",эпизод,,,,False,
5,Детство и семейные установки,"Воспитание, самостоятельность, вера","С детства респондентка была воспитана в духе самостоятельности и веры в Бога, что стало основой её поведения во взрослой жизни.",Я привыкла просто на себя рассчитывать. Меня так в детстве научили. Рассчитывай только на себя.,"уверенность, благодарность","самостоятельность, вера, ответственность","Семейные установки формируют паттерны поведения, в том числе отказ от обращения за помощью и опору на внутренние ресурсы.",декларация,,,,,
6,"Молодость, первый брак",Знакомство и отношения с первым мужем,"Знакомство с первым мужем произошло на еврейском семинаре, отношения развивались сложно, с элементами соперничества и предчувствия будущих событий.",На одном из таких семинаров мы случайно познакомились с первым мужем. Он тогда встречался с моей лучшей подругой.,"ностальгия, лёгкая ирония","любопытство, открытость, судьба",Молодёжные сообщества и этнические институты (еврейские семинары) играют роль в формировании брачных стратегий.,эпизод,еврейская община,,,,
7,"Переезд в Израиль, попытка построить новую жизнь","Переезд, отношения с одноклассником, разочарование","После расставания с первым мужем респондентка переехала в Израиль, пыталась построить отношения с одноклассником, но столкнулась с предательством и депрессией.","Я узнаю это на помолвке вообще на нашей. Что он живет с другой девушкой. Конечно, я тогда была злая, хотела там убить всех.","гнев, разочарование, депрессия","верность, честность, независимость",Миграция и попытка интеграции в новую страну сопровождаются эмоциональными потрясениями и сложностями в личной жизни.,перелом,"миграционные службы, еврейская община",,,,
8,"Жизнь в Израиле, сожительство с новым партнёром","Сожительство, финансовые и эмоциональные трудности","Респондентка жила с новым партнёром, отношения начинались хорошо, но затем возникли финансовые проблемы и зависимость партнёра от компьютерных игр.","Сначала он работал, у него было много денег, он приносил кучу денег. Мы жили нормально, он по ремонту помогал мне... Потом он делал панкротство себе, и все, начались проблемы с деньгами, начались игры компьютерные у него.","разочарование, усталость","стабильность, самостоятельность",Экономическая нестабильность и зависимость партнёра приводят к разрыву отношений и вынужденному возвращению на родину.,узел,,"совместное ведение хозяйства, финансовая поддержка",,,
9,"Возвращение в Россию, второй брак","Рациональный выбор, новый брак","После возвращения в Россию респондентка вступила во второй брак с одноклассником, отношения строились скорее на рациональном выборе и комфорте, чем на любви.","Я просто решила выйти замуж без привязанности. Без того, что я привязываюсь к какому-то мужчине. Просто потому что вроде как лучше, чем одной.","спокойствие, прагматизм","комфорт, стабильность, семейственность","Второй брак воспринимается как рациональный шаг, а не романтический выбор, что отражает изменение жизненных приоритетов после травматичного опыта.",узел,,,,True,
10,Семейная жизнь во втором браке,"Семейные традиции, отношения с семьёй мужа","Респондентка ценит семейные традиции, хорошие отношения с семьёй мужа, любит проводить время на даче, отмечает искренность и заботу со стороны мужа и его родителей.","Я очень люблю нашу дачу. Один раз, я помню, ещё до брака он меня давно туда привозил. Мы уже давно знакомы. И там что-то мы в домике тогда сидели, он мне говорил, этот дом будет только наш.","тепло, благодарность, умиротворение","семья, искренность, природа, традиции","Семейные традиции и поддержка со стороны семьи мужа становятся важным ресурсом для респондентки, компенсируя прошлые утраты.",эпизод,,,,True,
11,"Настоящее, профессиональная деятельность","Работа с детьми, педагогические установки","Респондентка работает с детьми, придерживается принципа ответственности учеников за свои успехи, не берет на себя чужие проблемы.","Я просто не пропускаю это через себя. И я всегда говорю ученикам, что это их ответственность. Делать задание, не делать.","спокойствие, профессионализм","ответственность, самостоятельность, профессионализм","Педагогическая деятельность строится на принципах личной ответственности и эмоциональной дистанции, что позволяет избегать профессионального выгорания.",декларация,образовательная система,,,,
12,"Настоящее, духовная жизнь","Вера, посещение церкви","Вера остаётся важной частью жизни респондентки, но посещение церкви стало нерегулярным, молитва и духовные практики используются в трудные моменты.","Просто, знаете, иногда, когда она нахлынет, я иду. Там послушаю, посижу, свечку поставлю, сама помолюсь и всё.","спокойствие, умиротворение","вера, духовность, личное пространство","Духовные практики становятся индивидуализированными, отход от регулярного участия в институциональной религиозной жизни.",декларация,церковь,,,,
1,"Взрослая жизнь, эмиграция и частые переезды","Страсть к путешествиям и переездам, опыт жизни в Израиле","Респондентка рассказывает о своей любви к путешествиям и частым переездам, особенно в Израиле. Она привыкла к переменам, но в то же время отмечает, что за два года на одном месте привыкает к стабильности. Сейчас сталкивается с необходимостью сменить офис и обсуждает с мужем возможный переезд в Москву.","Наверное, может, мое страсть к путешествиям. То, что я люблю место на место переезжать. Я в Израиль очень много переезжала.","Легкая грусть, принятие, внутренняя динамика","Открытость к переменам, самостоятельность, адаптивность","Респондентка демонстрирует типичный для мобильных профессионалов паттерн: высокая готовность к перемещениям, но с возрастом появляется потребность в стабильности. Переезды становятся не только способом поиска лучшей жизни, но и частью идентичности.",декларация,"рынок аренды жилья, неформальные связи (офис через знакомых)",True,,False,
2,"Настоящее, профессиональная деятельность","Работа, офис, планы на переезд, семейные решения","Респондентка сталкивается с необходимостью сменить офис из-за решения арендодателя. Обсуждает с мужем возможный переезд в Москву, но не готова к этому из-за текущих рабочих обязательств и привязанности к месту. Отмечает разницу в подходах к жизни между собой и супругом.","Я вчера расстроилась, я привыкла уже здесь, я почти два года здесь. Ну как, не расстроилась, я понимаю, что это движение дальше, что нужно двигаться.","Сдержанная тревога, рациональность","Ответственность, профессионализм, уважение к договоренностям",Видна типичная для современных женщин дилемма: баланс между профессиональной самореализацией и семейными решениями. Респондентка демонстрирует самостоятельность в принятии решений о работе и месте жительства.,узел,"рынок труда, рынок аренды, семейные отношения",True,,False,
3,Период жизни за границей,"Опыт жизни в Израиле, ограничения и социальные обязательства","Респондентка скучает по морю и атмосфере в Израиле, но не может туда вернуться из-за финансовых и бюрократических ограничений, связанных с социальным страхованием.","Там определённые проблемы есть, я сейчас туда не могу въехать. Точнее, если я въеду, я потом не выйду оттуда.","Сожаление, ностальгия","Справедливость, честность, финансовая независимость","Проблема двойной принадлежности: респондентка сталкивается с бюрократическими барьерами, типичными для мигрантов с двойным гражданством. Социальные обязательства становятся препятствием для мобильности.",перелом,социальное страхование Израиля,False,,False,
4,Путешествия и культурный опыт,"Любимые страны, впечатления от путешествий","Респондентка рассказывает о своих путешествиях по Европе и Кавказу, выделяя Армению и Грузию как самые запомнившиеся страны из-за природы, атмосферы и гостеприимства местных жителей.","Армения, Грузия – мои любимые страны. Но я все еще мечтаю в Индонезию на Бали попасть.","Вдохновение, воодушевление","Открытость миру, любознательность, эстетика природы","Путешествия становятся не только способом отдыха, но и важной частью самоидентификации. Выделение Кавказа как любимого направления говорит о ценности аутентичности и человеческого тепла.",эпизод,туризм,True,,,
5,"Настоящее, повседневная жизнь","Распорядок дня, работа, отношение к дому","Респондентка описывает свой плотный рабочий график, ранние подъемы, занятия спортом и минимальное участие в домашних делах. Дома живет с мужем, его бабушкой и двумя кошками, к которым испытывает раздражение.","Я встаю рано. Где-то до 6.30 я встаю. По его расписанию я еду или в онлайн-офис работать, или провожу уроки. Дома я обычно не кушаю, потому что у меня дома две кошки живут.","Усталость, раздражение, прагматизм","Трудолюбие, личное пространство, независимость","Повседневная рутина респондентки типична для занятых профессионалов: дом становится местом для сна, а не центром жизни. Отношения с животными и родственниками формируют особую домашнюю атмосферу.",эпизод,"семья, рынок труда",True,,True,
6,"Настоящее, досуг и саморазвитие","Хобби, спорт, чтение, медиа","В свободное время респондентка смотрит видео, читает журналы, иногда танцует и занимается спортом. Чтение книг ушло на второй план, но она хочет к этому вернуться. Любит снимать свои танцы на видео.","Я люблю журналы читать про магию, всякие истории женские. Книги, к сожалению, перестала читать. Хочу попробовать вернуться к чтению книг.","Легкая грусть, стремление к развитию","Саморазвитие, творчество, самонаблюдение","Досуг респондентки сочетает элементы цифровой культуры (YouTube, Instagram) и традиционных практик (чтение, спорт). Самонаблюдение через видео — проявление современной рефлексивности.",декларация,"медиа, фитнес-индустрия",True,,,
7,"Настоящее, семейная жизнь","Отношения с мужем, совместное время, быт","Муж работает в такси по ночам, поэтому супруги мало времени проводят вместе. Респондентка спокойно относится к одиночеству, муж предпочитает отдыхать за компьютером.","Он работает, у него ночной график. Очень часто у него ночные смены, потому что он в такси работает, а в такси больше наездишь ночью.","Спокойствие, принятие","Личное пространство, независимость, уважение к занятости партнера","Современная городская семья: раздельные графики, индивидуализация досуга, отсутствие конфликта по поводу времени наедине. Взаимная автономия воспринимается как норма.",эпизод,"семья, рынок труда (такси)",True,,,
8,"Настоящее, профессиональная идентичность","Контроль над рабочим графиком, удовлетворение от работы","Респондентка самостоятельно выстраивает рабочий график, ценит уважение со стороны учеников и родителей, получает удовольствие от преподавания.","Я примерно планирую… Примерно знаю, в какие дни может кто добавится. Меня обычно за день все предупреждают. У меня такое правило.","Удовлетворение, уверенность","Самостоятельность, профессионализм, признание",Профессиональная автономия и гибкость — важные черты современной занятости. Признание со стороны учеников и родителей становится значимым нематериальным ресурсом.,декларация,"образование, рынок труда",True,,,
9,"Настоящее, досуг и самоощущение","Спорт, йога, отношение к телу, ожидания от фитнеса","Респондентка занимается аэробными тренировками для удовольствия и поддержания формы, но также хочет улучшить фигуру. Огорчена дороговизной абонемента, ждет открытия нового фитнес-клуба.","Меня наполняет. Жалко, что у меня скоро абонемент закончится в спортзале, что он дороговат. Я не уверена, что я смогу позволить себе еще туда ходить.","Воодушевление, легкая тревога","Здоровье, самосовершенствование, экономность","Фитнес становится не только способом поддержания здоровья, но и частью идентичности. Экономические ограничения влияют на доступность досуговых практик.",эпизод,фитнес-индустрия,True,,,
10,"Настоящее, культурные предпочтения","Музыка, кино, сериалы","Респондентка предпочитает слушать рэп и R&B, любит фильмы со смыслом, иногда смотрит детективы и сериалы, но не увлекается телевизором.","Музыка Iron рэп. B, Вот Рианну, Йонс, фильмы. Мне нравился фильм детектива, детектив Насонов.","Нейтральность, легкая ностальгия","Эстетика, осознанность, индивидуальность","Культурные предпочтения респондентки отражают глобализированные вкусы и ориентацию на индивидуальный выбор, а не на массовую культуру.",декларация,медиа,True,,,
1,"Взрослая жизнь, после переезда в Россию",Культурный досуг и интересы,"Респондентка раньше посещала концерты и театры, но сейчас из-за плотного графика и отсутствия желания делает это редко. Предпочитает отдых на природе, велосипедные прогулки, иногда рыбалку за компанию.","Раньше, когда я ходила на концерта сейчас уже давно не было, не знаю. Даже. И в театре-то давно не было.","Ностальгия, легкая усталость","Разнообразие досуга, связь с природой, спонтанность",Изменение ритма жизни после переезда и взросления приводит к снижению культурной активности и смещению интересов в сторону природы и уединения.,эпизод,"культурные учреждения (театры, концерты)",пассивное участие (редкое посещение платных мероприятий),,,
2,"Взрослая жизнь, опыт жизни в Израиле",Экологические практики и отношение к экологии,"В Израиле респондентка отмечала развитую систему переработки мусора и контейнеры для одежды и бутылок, в России такого не видит. К экологическим инициативам относится спокойно, не участвует.","Там, мне кажется, больше мусор как-то перерабатывают, контейнеры стоят, куда одежду кидать, бутылки, а здесь я такое не вижу.","Спокойствие, легкая отстранённость","Практичность, наблюдательность",Сравнение разных стран по уровню экологической инфраструктуры; личная вовлечённость в экологические практики низкая.,эпизод,"городские сервисы, инфраструктура",,1.0,,
3,"Взрослая жизнь, семейная рутина",Семейные и праздничные традиции,"Семейные праздники проходят в кругу семьи и друзей, часто на даче. Любит, когда собираются гости, накрывает стол.","Люблю, когда ко мне в гости кто-то приходит. Я люблю стол накрыть, если время позволяет.","Тепло, радость","Семейственность, гостеприимство, общение","Семейные и дружеские сборы — важная часть социальной жизни, компенсируют отсутствие формализованных традиций.",эпизод,,,1.0,"дача, квартира",
4,"Взрослая жизнь, последние 5 лет",Личные ритуалы и забота о себе,"Утренние занятия йогой и массажем лица стали важной частью жизни, начались под влиянием блогера в Инстаграме. Йога — ежедневная дисциплина, поддерживающая физическое и эмоциональное состояние.",У меня просто каждое утро традиция йога заниматься. Делать йогу. И массаж лица обязательно. Я не могу без этого.,"Удовлетворение, спокойствие","Здоровье, самодисциплина, саморазвитие",Влияние цифровых медиа и онлайн-сообществ на формирование новых привычек и ритуалов ухода за собой.,узел,,"онлайн-клуб йоги, фитнес-услуги",,,
5,"Взрослая жизнь, после возвращения из Израиля",Отношение к отдыху и отпуску,"Респондентка ценит смену обстановки, новые впечатления и отдых на природе. Идеальный отдых — на Бали или у моря, но довольна и дачей. В этом году планирует отпуск одна, чтобы 'проветриться' и подумать о будущем.","Я так хотела, если честно. В этом году провести одна. Мне кажется, мы должны друг от друга отдохнуть сейчас. Я должна проветриться и понять, так дальше жить.","Желание перемен, лёгкая тревога, самостоятельность","Свобода, личное пространство, впечатления","Отпуск становится не только временем восстановления, но и способом рефлексии и поиска себя вне семейных ролей.",перелом,,,1.0,,
6,"Взрослая жизнь, настоящее время",Отношения с родственниками,"Связи с родственниками ослабли после переезда, общение происходит в основном через родителей. В детстве общались больше.","Мы практически уже больше не созваниваемся, когда я уехала. Я только через родителей о них спрашивала.","Спокойствие, лёгкая грусть","Семейные корни, независимость","Миграция и взросление приводят к ослаблению горизонтальных семейных связей, остаётся опора на ближайших родственников.",эпизод,,,,,
7,Подростковый возраст,Семейный конфликт и уроки взросления,"В 14 лет произошёл конфликт с матерью из-за курения и алкоголя. Мать применила физическое наказание, что оставило след в памяти.","Да, да. И по губе мне тогда так дала, что у меня кровь пошла, и больше мне не хотелось курить.","Боль, обида, понимание","Свобода, уважение, безопасность","Опыт физического наказания в семье воспринимается критически, осмысливается как негативный паттерн, который не должен повторяться.",перелом,,,1.0,,
8,"Взрослая жизнь, настоящее время",Партнёрские отношения и ожидания,"Важна забота, принятие, обсуждение проблем, а также материальное участие мужчины. Чувство замужества связано с тем, что мужчина вкладывается в женщину.","Мне важно, чтобы мужчина на меня тратил. Потому что так я себя с женщиной чувствую больше.","Уверенность, потребность в признании","Забота, признание, материальная поддержка",Традиционные гендерные ожидания сочетаются с самостоятельностью и критическим взглядом на роль женщины в браке.,декларация,,,,,
9,"Взрослая жизнь, настоящее время",Планы на будущее и дилеммы выбора,"У супруга есть планы переезда в Москву, у респондентки — желание путешествовать и работать за границей. Совместных долгосрочных планов нет, есть неопределённость.","Я пока не знаю, что я готова или нет приехать в Москву. И вот сейчас я задумалась, что дальше-то будет.","Неуверенность, поиск себя","Свобода, самореализация, открытость переменам","Различие жизненных стратегий супругов, отсутствие общей траектории, индивидуализация жизненного пути.",узел,,,,"потенциальный переезд, аренда жилья",
10,"Взрослая жизнь, настоящее время",Финансовые отношения в семье,"Супруги ведут раздельные счета, крупные траты обсуждают вместе, в оплате жилья участвует также бабушка.","У нас разные счета с мужем, и у нас нет общего банковского счета. Ни с каким мужем у меня не было.","Рациональность, независимость","Финансовая самостоятельность, справедливость","Современная модель семейных финансов, где сохраняется индивидуальная экономическая автономия.",декларация,,"аренда жилья, совместные покупки",,,
