id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,children,marital_status,migration_attempt,health_crisis,collapse_context,digital_participation
9,молодость-зрелость,Отказ от переезда и привязанность к родным местам,"Несмотря на предложения и гипотетические возможности, респондентка не решилась на переезд в другой город или регион, предпочтя остаться ближе к родителям и родным.","Все-таки оно как-то к родителям, к родным ближе, которые, если что, могут тебя защитить.","спокойствие, привязанность","семья, стабильность, корни","Привязанность к родным местам и семье часто становится фактором, ограничивающим мобильность, особенно для женщин.",декларация,,,,,,False,,,
10,зрелость,Экстремальная ситуация — травма и восстановление,"Респондентка попала в аварию, была сбита машиной на пешеходном переходе, проходила длительное восстановление после травмы.","Экстремальная ситуация. На переходе пешеходном меня сбила машина. Вот экстремальная ситуация. Я какое-то время лежала в неврологии. Нет, в нейрохирургии даже.","стресс, уязвимость, стойкость","здоровье, выживание, адаптация","Травмы и болезни становятся испытанием для пожилых людей, но также могут стать стимулом к поиску новых форм активности и заботы о себе.",эпизод,,,,,,,True,,
11,"поздняя зрелость, 50+",Поиск новых смыслов и форм занятости на пенсии,"После выхода на пенсию респондентка ищет новые формы занятости: интересуется массажем, посещает досуговые организации, планирует вести блог о питании, занимается садоводством.","Потому что, выйдя на пенсию, все закрываются. Не все, но возможностей развития не так много. ... Я хочу блогом заниматься, здоровым питанием.","энтузиазм, любопытство, оптимизм","саморазвитие, польза для других, активность","Современные пенсионеры стремятся к активному долголетию, ищут новые формы самореализации и социального участия.",декларация,досуг для пенсионеров,,1.0,,,,,,
12,все этапы жизни,Отношение к стрессу и трудным решениям,"Респондентка предпочитает избегать конфликтных и сложных ситуаций, не склонна к обману, в стрессовых ситуациях замирает.","Как реагируют? Ну как жопу, замираю. ... Да нет, я стараюсь избегать таких ситуаций.","самоирония, осторожность","честность, избегание конфликтов, самосохранение","Стратегии избегания и осторожности могут быть адаптивными для женщин, выросших в условиях нестабильности и перемен.",декларация,,,,,,,,,
13,"рефлексия, зрелость",Осмысление жизненного пути,"Респондентка отмечает, что несмотря на насыщенную жизнь, её можно описать кратко. Возникает ощущение быстротечности и лаконичности жизненного пути.","А ведь, собственно, жизнь прожита. А можно уложить в двух словах? И всё.","удивление, философское принятие","рефлексия, скромность, принятие","Рефлексия над прожитой жизнью характерна для зрелого возраста, когда человек подводит итоги и оценивает свой путь.",декларация,,,,,,,,,
1,"настоящее время, зрелый возраст",Повседневная рутина и забота о себе,"Респондентка описывает свой типичный день: утренняя зарядка, массаж, уход за кошками, приготовление еды, просмотр мессенджеров и поиск работы. Домашние дела чередуются с уходом за животными и саморазвитием.","Стою, делаю зарядку, делаю массаж. Сначала я выпиваю воду. Стакан воды. Потом вот это всё. Потом параллельно уход за кошками.","спокойствие, размеренность, легкая усталость","здоровье, забота, порядок, саморазвитие","Повседневная рутина респондентки насыщена заботой о себе и домашних животных, что отражает ценность стабильности и ухода. Присутствует элемент поиска работы, что указывает на экономическую неустойчивость.",эпизод,"домашнее хозяйство, неформальный рынок труда",,"частичная, нерегулярная занятость",,,,,,
2,"настоящее время, зрелый возраст",Социальные связи и онлайн-общение,"Респондентка активно использует мессенджеры для обмена рецептами, советами по упражнениям и общения с единомышленниками. Это поддерживает ощущение вовлеченности в сообщество.","Параллельно с готовкой смотрю какие-то мессенджеры, что там предлагается в чате, где высылают всякие рецептики, какие упражнения рекомендуют делать.","интерес, вовлеченность","общение, обмен опытом, поддержка","Онлайн-общение становится важной частью социальной жизни, компенсируя возможный дефицит офлайн-контактов и расширяя круг общения за пределы семьи.",эпизод,онлайн-сообщества,,,,,,,,
3,"настоящее время, зрелый возраст",Работа и экономическая нестабильность,"Респондентка отмечает сокращение числа работ и пребывание в поиске новых возможностей. Работа нерегулярная, что влияет на структуру дня и планы.","Ну, было несколько работ. Они как-то вот подсократились. Ну, поэтому пока в поиске еще.","неуверенность, адаптация","самостоятельность, выживание, гибкость","Экономическая нестабильность характерна для зрелого возраста, особенно при отсутствии стабильной занятости. Это влияет на самоощущение и планы на будущее.",узел,,,"нестабильная, фрагментарная",,,,,,
4,"настоящее время, зрелый возраст",Самообразование и новые интересы,"Планируется изучение новых предметов, учебники уже получены. Это связано с профессиональным и личностным развитием.","Скорее всего, в ближайшее время добавится изучение предмета, а может и двух-трех. Учебники мне уже скинули, какие надо.","ожидание, мотивация","образование, развитие, любознательность",Стремление к самообразованию даже в зрелом возрасте говорит о высокой адаптивности и внутренней мотивации к развитию.,декларация,,,,,,,,,
5,"настоящее время, зрелый возраст",Культурные предпочтения и досуг,"Вечером респондентка предпочитает смотреть фильмы, слушать музыку дома, посещение концертов и театров не привлекает. Выставки вызывают больший интерес.","На выставке еще как-то могу выбраться на интересные выставки. На концерты... Наверное, внутренней потребности нет.","спокойствие, легкая отстраненность","комфорт, индивидуальность, эстетика","Выбор форм досуга смещается в сторону индивидуальных и домашних практик, что может быть связано с возрастом, усталостью или изменением жизненных приоритетов.",эпизод,,,,,,,,,
6,"настоящее время, зрелый возраст",Экологическая ответственность,"Респондентка проявляет заботу об окружающей среде на локальном уровне: убирает мусор в лесу, негативно относится к поджогам травы.","То есть, если я иду по лесной дорожке и вижу мусор, я его собираю. Всё.","боль, тревога, ответственность","экологичность, ответственность, эмпатия","Экологическая ответственность проявляется в повседневных практиках, а не в участии в крупных инициативах. Это типично для людей, ориентированных на локальное действие.",декларация,,,,,,,,,
7,"настоящее время, зрелый возраст",Выходные и свободное время,"Выходные посвящены дому, саду, уходу за собой. Чтение стало менее частым, несмотря на наличие большой библиотеки.","Больше я посвящаю себя дому, саду. Если есть какие-то вылазки на какие-то уходовые процедуры, то, конечно, тоже. Да, меньше стала читать вообще.","спокойствие, легкая грусть","дом, уход, саморазвитие","Сдвиг интересов в сторону ухода за домом и собой может быть связан с возрастными изменениями, усталостью или изменением жизненных приоритетов.",эпизод,,,,,,,,,
8,"раньше — зрелый возраст, родительство",Путешествия и ограничения,"Ранее с сыном часто ездили по санаториям, сейчас поездки ограничены из-за финансов и заботы о кошках.","Когда-то мы с сыном очень часто ездили по всяким санаториям и там старались тоже разведывать всю округу. А – финансы, Б – кошки.","ностальгия, сожаление","семья, забота, открытость миру",Переход от активного образа жизни к более оседлому связан с изменением семейной структуры и экономическими обстоятельствами.,перелом,,0.0,,,,,,,
9,"настоящее время, зрелый возраст",Семейные праздники,Праздники отмечаются в узком семейном кругу за вкусной едой и общением.,"Более-менее семейным, узким достаточно кругом, какая-то вкусная еда, посиделки, рассказывать что-то, друг с другом общаться вот таким образом.","тепло, уют","семья, традиции, общение",Семейные праздники становятся важным ритуалом поддержания близости и традиций.,эпизод,,,,,,,,,
10,"настоящее время, зрелый возраст",Ограничения и неудовлетворенность,"Респондентка хотела бы больше путешествовать, но ограничена заботой о кошках и работой. Отмечает, что не всегда приглашают в поездки.","Если была бы возможность чисто физическая или, скажем, экономически-физическая, то есть можно было бы оставить кисок на кого-то, то можно было бы и куда-то попутешествовать, потому что я давно-давно уже не была.","легкая неудовлетворенность, смирение","свобода, забота, самостоятельность",Забота о домашних животных и экономические обстоятельства ограничивают мобильность и досуговые практики.,узел,,0.0,,,,,,,
11,"настоящее время, зрелый возраст",Семейные и дружеские отношения,"Ближайший круг — семья: брат, его семья, сын, муж, сестра, мать. Общение с друзьями и коллегами также важно, но интересы могут расходиться.","Ну вот самый ближайший круг это брат, его семья, его внук, дочка, зять с этой стороны. Он уже немножко расширяется, да, раз появляются новые родственники. Близок сын, безусловно. А С мужем, да.","привязанность, теплота","семья, поддержка, общение","Семейные связи остаются ядром социальной жизни, но респондентка открыта и к более широкому кругу общения.",эпизод,,,,,,,,,
12,"настоящее время, зрелый возраст",Дружба и конфликты,"Дружеские отношения могут прерываться и возобновляться. Конфликты чаще избегаются, важнее находить точки соприкосновения.","Иногда они не прерывались, просто какая-то пауза была. У каждого своя жизнь, свои проблемы. ... Надо просто находить точки соприкосновения, а не конфликтоваться.","мудрость, принятие","терпимость, уважение, самостоятельность","С возрастом возрастает ценность компромисса и уважения к различиям, что снижает уровень конфликтности в отношениях.",декларация,,,,,,,,,
13,"настоящее время, зрелый возраст",Отношения с мужем,"Важны постоянство, надежность, возможность опереться на мужа в сложных вопросах.","Наверное, это какое-то постоянство в отношениях. Это все-таки надежность. На человека можно положиться.","благодарность, спокойствие","надежность, доверие, партнерство","Долгосрочные отношения строятся на доверии и взаимной поддержке, что становится особенно значимым в зрелом возрасте.",декларация,,,,,,,,,
14,"настоящее время, зрелый возраст",Отношения с детьми,"Дети целеустремленные, самостоятельные, респондентка не давит на них, поддерживает их стремление к самостоятельности.","Я смею все-таки утверждать, что они люди целеустремленные, они работоспособные, они развивающиеся, не стоят на месте, не всегда хотят им что-то другое, что-то новое.","гордость, принятие","самостоятельность, поддержка, развитие","Родительская позиция смещается от контроля к поддержке самостоятельности детей, что характерно для зрелого возраста.",декларация,,,,,,,,,
15,разные периоды жизни,Кошки как часть семьи,"Кошки всегда были в жизни респондентки, уход за ними стал важной частью повседневности. Кошки воспринимаются как члены семьи.","Ну, конечно. Просто так получается, что рождаются котята, мы их пытаемся раздавать. А иногда бывает, что возвращают. ... Но тем не менее любят их все, ласкают их все.","любовь, забота","забота, эмпатия, ответственность","Домашние животные становятся полноценными членами семьи, что отражает тенденцию к расширению понятия семьи за пределы кровного родства.",эпизод,,,,,,,,,
16,"настоящее время, зрелый возраст",Взаимная поддержка в семье,В экстремальных ситуациях проявляется настоящая ценность семьи. Респондентка старается заботиться о близких и получать обратную связь.,"Когда в экстремальных ситуациях попадаешь в экстремальную ситуацию, сразу все точки над «и» расставляются.","благодарность, тревога, сплоченность","поддержка, забота, взаимность","Семья выступает главным источником поддержки и эмоциональной безопасности, особенно в кризисные моменты.",узел,,,,,,,,,
1,"Зрелый возраст, пенсионный период",Отношение к одиночеству и поддержке,"Респондентка рассуждает о невозможности поговорить с хорошим человеком только с собой, отмечает важность общения и поиска поддержки не только среди людей, но и в природе. Упоминает возрастные моменты и влияние гормонального баланса на психоэмоциональное состояние.","Во-первых, бывают такие возрастные моменты. Я слышала, что люди в депрессионике... Извини, к эндокринологу пойди. Это все гормональные дела.","Сдержанная, рациональная, с оттенком иронии","Общение, поддержка, здоровье, гармония с собой и миром","Респондентка демонстрирует критическое отношение к распространённым нарративам о депрессии, связывая их с физиологией и возрастом, а также подчеркивает ценность социальной и природной поддержки.",декларация,,,,,,,,True,
2,"Настоящее время, зрелый возраст",Забота о здоровье и активное долголетие,"Главная цель — оставаться здоровой до самой смерти, чтобы не быть обузой. Для этого респондентка приводит примеры долгожителей, подчеркивает важность физической и умственной активности, правильного питания и минимизации пассивного образа жизни.","Оставаться здоровой до самой смерти. Это самое главное. Чтобы не быть обузой, естественно. Но для этого надо стараться.","Мотивирующая, целеустремленная","Самостоятельность, активность, гармония, трудолюбие","Видна установка на активное старение, самостоятельность и неприятие пассивности, что характерно для современных нарративов успешного старения.",декларация,,,,,,,,True,
3,"Настоящее время, зрелый возраст",Отношение к хроническим заболеваниям и медицинской системе,"Респондентка сталкивается с хроническими заболеваниями, но верит, что работа над собой может их преодолеть. Критически относится к медикаментозному лечению, предпочитая движение, правильное питание и йогу. Делится примером девушки, достигшей высокого уровня здоровья благодаря йоге.","Ну, конечно, они есть. Но в силу того, что надо над собой работать, они исчезнут. Вот я вот свято в это верю.","Оптимистичная, уверенная","Вера в личную ответственность, самосовершенствование, скепсис к фармацевтике","Респондентка воспроизводит популярные идеи о самоконтроле и самосовершенствовании, противопоставляя их медицинской зависимости.",декларация,,,,,,,,True,
4,"Настоящее время, зрелый возраст",Взаимодействие с медициной и отношение к лечению,"Респондентка обращается к врачам только при необходимости, предпочитает комплексный подход и осторожно относится к БАДам и косметологическим процедурам. Отдает предпочтение проверенным медицинским препаратам, прошедшим сертификацию.","Ну, вот если о похудении, да? Толстенькие они страдают суставными заболеваниями, давлением и сахарным диабетом. Все это ведет туда и потом в могилу, в той или иной степени с опустением.","Рациональная, осторожная","Разумность, критичность, безопасность","Респондентка демонстрирует осведомленность о рисках самолечения и выражает недоверие к непроверенным методам, что характерно для информированных потребителей медицинских услуг.",декларация,Государственная поликлиника,,,,,,,True,
5,"Настоящее время, зрелый возраст",Финансовая уязвимость и ресурсы,"Респондентка отмечает отсутствие финансового запаса прочности, несмотря на попытки укрепить физическое и ментальное здоровье. Финансовая нестабильность воспринимается как данность пенсионного возраста.",А финансовый нет. Я вообще как бы запахлась.,"Огорчение, смирение","Реализм, самостоятельность","Финансовая неуверенность типична для пенсионеров, особенно женщин, и влияет на самоощущение и стратегии выживания.",декларация,,,,,,,,True,
6,"Настоящее время, зрелый возраст",Опыт моржевания и отношение к закаливанию,"Респондентка ранее практиковала моржевание, воспринимает это как интересный и полезный опыт, который вызывает удивление у окружающих.",ранее практиковала на морозе. Местные жители на меня смотрели глазами. Так было интересно.,"Воодушевление, гордость","Экспериментаторство, здоровье, независимость",Моржевание выступает как маркер индивидуализма и стремления к необычным практикам поддержания здоровья.,эпизод,,,,,,,,True,
7,"Настоящее время, зрелый возраст",Финансовое положение и источники дохода,"Основной доход — пенсия, дополнительная работа невозможна из-за состояния здоровья. Доходы низкие, не удается откладывать средства, приходится экономить и искать бесплатные возможности для досуга.","Ой, нет, они такие смешные. Вот у меня даже не получается, вот понимаете, не получается даже отложить.","Смущение, ирония","Экономность, адаптивность","Ситуация типична для российских пенсионеров, вынужденных искать бесплатные формы досуга и сталкивающихся с ограничениями на рынке труда.",декларация,,,низкая,,,,,True,
8,"Настоящее время, зрелый возраст",Стратегии потребления и отношение к покупкам,"Респондентка тратит большую часть доходов на питание и лекарства, иногда совершает спонтанные покупки, о которых жалеет. К скидкам относится критически, умеет отличать маркетинговые ходы от реальных выгод.","Потому что работая с продуктами питания, я знаю, когда это просто маркетинговые ходы, а когда это действительно скидки и распродажа.","Практичность, осторожность","Рациональность, опытность","Потребительская стратегия строится на опыте и необходимости экономии, что характерно для людей с ограниченными доходами.",декларация,,,,,,,,True,
9,"Настоящее время, зрелый возраст",Опыт покупок на маркетплейсах и отношение к кредитам,"Респондентка покупает на маркетплейсах только мелкие товары, избегает кредитов и предпочитает ремонтировать вещи, а не покупать новые. Крупные покупки делает редко, к подержанным вещам относится спокойно.","Нет, я против противницы кредита. семья. Поэтому. Подержанная? Да, иногда поддержанная. Иногда это ремонт.","Осторожность, прагматизм","Финансовая дисциплина, самостоятельность",Отказ от кредитов и ориентация на ремонт — распространённая стратегия среди людей с низким доходом и негативным опытом крупных трат.,декларация,,,низкая,,,,,True,
10,"Настоящее время, зрелый возраст",Покупки продуктов и выбор торговых точек,"Респондентка предпочитает гипермаркеты из-за баланса цены и качества, мониторит цены в разных местах, иногда покупает у частников или через Авито, но основное доверие — к проверенным сетям.","Я в курсе где, что, почем. И стараюсь этот баланс цена-качество смотреть. Чаще всего это все-таки гипермаркет.","Уверенность, рациональность","Информированность, экономность",Потребительская компетентность и гибкость в выборе каналов приобретения продуктов характерны для экономически активных пенсионеров.,декларация,,,средняя,,,,,True,
11,"Настоящее время, зрелый возраст","Отношение к долгам, сбережениям и имуществу","Респондентка не имеет долгов, не берет кредиты, живет по средствам. Имущество ограничено недвижимостью, движимого имущества нет.","Слава Богу, нет. ... Мы не занимаем деньги. Мы живем по средству.","Удовлетворение, спокойствие","Финансовая дисциплина, независимость","Отказ от долгов и кредитов — стратегия финансовой безопасности, распространённая среди старшего поколения.",декларация,,0.0,,,,,,True,
12,"Настоящее время, зрелый возраст",Финансовое взаимодействие в семье,"Доходы и расходы обсуждаются с мужем, но каждый ведет свой учет. Деньги воспринимаются как возможности, а не как источник счастья.","Обсуждать, конечно, обсуждаем. Ведем ли ухо это самоучет. Каждый свой, да.","Спокойствие, прагматизм","Открытость, самостоятельность, партнерство",Раздельный учет финансов в семье — признак самостоятельности и равноправия партнеров.,декларация,,,,,,,,True,
13,"Настоящее время, зрелый возраст",Отношение к деньгам и финансовым целям,"Респондентка считает, что деньги не делают человека счастливым, не имеет конкретных материальных целей, воспринимает деньги как инструмент возможностей.",Счастливым деньги не могут сделать.,Философская отстраненность,"Самодостаточность, нематериальные ценности","Отказ связывать счастье с материальным достатком характерен для людей, прошедших через финансовые трудности и выработавших альтернативные жизненные ориентиры.",декларация,,,,,,,,True,
1,"Настоящее время, зрелый возраст",Финансовое планирование и отношение к доходам,"Респондент рассуждает о своих доходах и расходах, отмечая, что готов искать новые источники дохода для достижения желаемого уровня жизни. Финансовые решения принимаются исходя из возможностей, с акцентом на развитие.","Если не будет, значит, буду искать другие источники дохода, чтобы выйти на этот уровень.","Рациональность, легкая тревожность","Развитие, самостоятельность, адаптивность","Респондент демонстрирует стратегию адаптации к экономической неопределенности, характерную для людей с опытом самостоятельного выживания в условиях нестабильности.",декларация,,,активный поиск новых источников дохода,,,,,,
2,Взрослая жизнь,Взаимодействие с государственными органами,"Респондент имеет неоднозначный опыт взаимодействия с государственными структурами, отмечая как положительные, так и отрицательные стороны. Особое внимание уделяет расследованию ДТП и работе МФЦ.",Очень много вопросов.,"Скепсис, усталость","Справедливость, прагматизм","Опыт взаимодействия с государственными институтами воспринимается как сложный и неоднозначный, что типично для граждан, сталкивающихся с бюрократией и недостатком прозрачности.",эпизод,"государственные органы (полиция, МФЦ, пенсионный фонд)",,,,,,,,
3,Взрослая жизнь,Получение социальной помощи и пенсии,"Респондент получает пенсию и небольшую прибавку для сына-студента, но отмечает несоответствие между размером выплат и реальными потребностями.","Она настолько небольшая, это просто несоответствие между тем, что платится, и возможностями на эту пенсию сделать.",Разочарование,"Справедливость, забота о семье",Недовольство уровнем социальной поддержки отражает типичную для пенсионеров позицию по отношению к государству.,эпизод,"пенсионный фонд, социальная помощь",,,,,,,,
4,Взрослая жизнь,Оформление документов и наследства,Респондент не сталкивался с серьезными трудностями при оформлении документов или получении наследства.,"Ну, по-моему, тоже не было никаких...",Спокойствие,"Порядок, законопослушность",Отсутствие жалоб на бюрократию может свидетельствовать о низкой конфликтности или удачном опыте.,эпизод,"госорганы (паспорт, наследство)",,,,,,,,
5,Настоящее время,Отношение к власти и политике,"Респондент занимает нейтральную позицию по отношению к политике, не верит в возможность повлиять на происходящее и не вовлечен в обсуждение политических вопросов.","Мне кажется, что я ничего не смогу все равно изменить со своей колокольни.","Безразличие, легкая апатия","Реализм, самосохранение",Демонстрируется типичная для части населения политическая апатия и дистанцирование от власти.,декларация,,,,,,,,,
6,Настоящее время,Восприятие текущей ситуации в стране и СВО,"Респондент испытывает тревогу и обеспокоенность из-за событий, связанных со специальной военной операцией, но старается сохранять позитивный настрой.",Ну мы победим. Как все говорят. Победа будет за нами. Ну а что делать? На позитиве-то оно как-то легче живется.,"Тревога, надежда","Оптимизм, адаптация",Видна попытка психологической защиты через позитивное мышление и коллективные нарративы.,узел,,,,,,,,,
