id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,market_participation,housing_promised,ritual_participation,housing_status,housing_actual
4,Ранняя зрелость – зрелость,Трудовая биография и профессиональная идентичность,"После освобождения респондент устраивается на завод 'Красный выборжец', где работает с 1984 по 2010 год с перерывами, пробует себя в кооперативе, возвращается на завод, затем работает охранником.","Я к нему пришел после отсидки... меня на Красную выборщицу привел. И вот я там, скажем, Красную выборщицу, у меня вся жизнь там на этом Красной выборщице.","Гордость, стабильность, легкая усталость","Труд, профессионализм, самостоятельность, адаптация","Долгая трудовая биография на крупном советском предприятии, попытки предпринимательства в 90-е, возвращение к стабильной работе. Отражает типичный путь советского/постсоветского рабочего класса.",узел,"завод 'Красный выборжец', кооператив, охранные предприятия",,True,False,,,
5,"Настоящее время, пенсионный возраст",Повседневная жизнь и распорядок дня,"Респондент описывает свой обычный день: готовит, помогает детям, ходит в баню, гуляет, занимается бытовыми делами, ждет дачного сезона, не проявляет интереса к театрам и концертам.","Вот сегодня сходил... Купил корюшку. Она ждет меня, когда я чистить буду ее. И дети ждут, когда я ее почищу и пожарю. В основном кухня.","Спокойствие, удовлетворенность, легкая скука","Семья, забота, простые радости, здоровье","Повседневность пенсионера, акцент на семейных обязанностях, поддержке детей, сохранении привычек (баня), низкая вовлеченность в культурную жизнь вне дома. Отражает типичный образ жизни пожилых людей в российских городах.",эпизод,"семья, баня, дача",,False,False,,,
6,Настоящее время,"Здоровье, альтернативные практики и семейные испытания","Респондент рассказывает о своем увлечении содой как средством для здоровья, ссылается на профессора Неумывакина, делится историей болезни дочери и ее выздоровления, связывает это с применением соды.","Соду пью по утрам... Когда дочка заболела раком, туда-сюда, и тоже начала пить соду, она говорит, ну, дурочка я такая. И сейчас она вылечилась, уже 5 лет прошло...","Надежда, гордость, благодарность","Здоровье, забота о близких, самостоятельность, недоверие к официальной медицине","Популярность альтернативных медицинских практик среди пожилых, недоверие к официальной медицине, вера в личный опыт и интернет-источники. Семейная сплоченность проявляется в совместном преодолении болезни.",декларация,"семья, интернет, медицина (альтернативная и официальная)",,False,False,,,
1,"Настоящее время, зрелый возраст",Семья и отношения с близкими,"Респондент рассказывает о теплых отношениях с дочерьми, внуками и другими родственниками. Подчеркивает взаимную любовь и частое общение, а также заботу о внуках, в том числе финансовую поддержку.","У меня дочки, внуки. Я их люблю, они меня любят. Что еще могу сказать? Все чудесно, все хорошо. Я даже не знаю, как... Блажен я отец.","Удовлетворение, теплота, благодарность","Семейные связи, забота о близких, поддержка",Семья выступает главным источником эмоциональной поддержки и смысла жизни для респондента. Взаимопомощь и регулярное общение с детьми и внуками подчеркивают традиционные семейные ценности.,эпизод,,1.0,,,,,
2,"Настоящее время, зрелый возраст",Образование и профессиональное становление внуков,"Респондент рассказывает о внуке, который учится в училище, отмечает сложности с выбором профессии и исчезновение рабочих мест на заводах.","Сейчас училищ мало, да и профессий очень мало. Практически завод, да практически даже, ну теоретически, даже можно сказать и так, просто водок нету.","Озабоченность, тревога за будущее молодого поколения","Образование, труд, профессиональная реализация","Респондент фиксирует структурные изменения в экономике и рынке труда, отмечая сокращение рабочих мест и профессий, что влияет на перспективы молодежи.",декларация,,1.0,ослабление рынка труда для молодежи,,,,
3,Детство и юность (60-80-е годы),Воспоминания о детстве и молодости,"Респондент с ностальгией вспоминает советское прошлое: изобилие в магазинах, доступность жилья, семейное тепло, мамины заботы и перемены после 1984 года.","70-е годы это просто вообще были замечательно. Хоть там мне говорят, джинсы туда-сюда. Единственное, что машины не могли купить, а так все было замечательно. Квартиры давали.","Ностальгия, радость, легкая грусть","Стабильность, семейное благополучие, доступность благ","Воспоминания респондента иллюстрируют типичную для старшего поколения идеализацию советского прошлого, где государство обеспечивало базовые потребности.",эпизод,"государственное распределение жилья, советская система снабжения",1.0,,True,,,
4,"Зрелость, становление семьи",Роль родителей и семейная поддержка,"Респондент рассказывает о помощи родителей в воспитании детей, материальной поддержке, совместных поездках и семейных традициях.","Машка практически у неё, потом Оксанка у неё, потом Машка у тёщи в Другах Красных жила, потом Оксанка помогала очень здорово. Естественно, но она не таскала, ей давали. Просто давали, ее уважали.","Благодарность, теплота, признательность","Семейная взаимопомощь, уважение к старшим, традиции","Семейная поддержка и межпоколенческие связи играют ключевую роль в жизни респондента, что характерно для российского общества.",эпизод,,1.0,,,,,
5,"Настоящее время, зрелый возраст",Здоровье и отношение к медицине,"Респондент не уделяет особого внимания здоровью, предпочитает простые средства (сода), не любит обращаться к врачам, отмечает проблемы в системе здравоохранения.","Да ничего я не делаю, Господи. Соду пью, я же говорю, соду.","Безразличие, легкая ирония, недоверие","Самостоятельность, скепсис к официальной медицине","Недоверие к медицинским учреждениям и привычка к самолечению типичны для части старшего поколения, особенно на фоне негативного опыта взаимодействия с системой здравоохранения.",декларация,государственная медицина,1.0,,,,,
6,"Настоящее время, зрелый возраст",Физическая активность и самочувствие,"Респондент отмечает, что не следит специально за здоровьем, но старается быть активным, гуляет, выполняет простые упражнения, редко болеет серьезно.","Сидеть не люблю, а походить, да, на улицу выйти, так это единственное.","Спокойствие, принятие","Умеренность, самостоятельность","Физическая активность воспринимается как естественная часть жизни, а не как целенаправленная забота о здоровье.",эпизод,,1.0,,,,,
7,"Настоящее время, зрелый возраст",Отношение к вредным привычкам,"Респондент рассказывает о своем опыте курения, попытках бросить, связывает возвращение к курению с влиянием женщин, не считает это серьезной проблемой, пока здоровье позволяет.","Пока не настроится мне серьезно. Вот именно не настроится серьезно. Вот если, может быть, прихватило меня чего-нибудь, тогда, может быть, я и бросил. А пока что-то, вроде, пока здоровьицы есть, так и не хромаю, скажем так.","Ирония, легкая беззаботность","Легкость, отсутствие излишней тревожности","Отношение к вредным привычкам демонстрирует типичную для части мужчин старшего возраста установку: пока здоровье позволяет, нет мотивации к переменам.",эпизод,,1.0,,,,,
8,"Настоящее время, зрелый возраст",Забота о здоровье близких и тревога за будущее поколения,"Респондент больше переживает за здоровье и будущее своих детей и внуков, чем за собственное, выражает пессимизм относительно перспектив молодого поколения.","Потому что ничего будущего в этом поколении у них нету. Честно говоря, нету. Просто нету. При нашем государстве я имею в виду.","Тревога, пессимизм, забота","Альтруизм, ответственность за семью","Пессимизм относительно будущего детей и внуков отражает кризис доверия к государству и социальным институтам, характерный для старшего поколения.",декларация,,1.0,,,,,
9,"Настоящее время, зрелый возраст",Финансовое положение и стратегия выживания,"Респондент живет на пенсию, которую считает недостаточной, подрабатывает, чтобы поддерживать привычный уровень жизни, помогает детям, отмечает отсутствие накоплений.","20 с чем-то пенсии. О чем можно? О чем финансово говорю? Единственное, что если бы я не подрабатывал, тогда бы вообще тосково было.","Реализм, легкая усталость","Трудолюбие, самостоятельность, поддержка семьи","Финансовая стратегия респондента типична для пенсионеров, вынужденных подрабатывать из-за низких пенсий и отсутствия сбережений.",декларация,,1.0,пенсионер с подработкой,,,,
10,"Настоящее время, зрелый возраст",Материальные ресурсы и имущество,"Респондент владеет автомобилем, который достался от дочери, и гаражом, оставшимся от отца, но не считает это значимым капиталом. Машиной в основном пользуются дети.","Маша средняя у меня дочка. Тебе другую купила? А мне отдала вот эту «Хонду». Ну, она как бы женская машинка. А 2007 года, да.","Спокойствие, практичность","Семейная преемственность, рациональность","Передача имущества между поколениями — важный элемент семейной экономики, но респондент не придает этому большого значения.",эпизод,семейная передача имущества,1.0,,,,,
11,"Настоящее время, зрелый возраст",Семейный бюджет и расходы,"Респондент описывает совместное ведение бюджета, оплату коммунальных услуг, покупки в складчину, не знает точно доходы детей, но поддерживает их при необходимости.","Коммунальные я плачу 10 тысяч. Помочь-то надо. Складывались, покупали кухню, покупали флиту. Складчина была.","Ответственность, спокойствие","Взаимопомощь, коллективизм",Совместное ведение бюджета и поддержка друг друга — характерная черта семейных стратегий выживания в условиях ограниченных ресурсов.,эпизод,,1.0,,,,,
12,"Настоящее время, зрелый возраст",Структура доходов и занятость,"Респондент работает по графику два через четыре, что позволяет совмещать подработку с отдыхом, подчеркивает важность дополнительного заработка.","Два через четыре. Двое суток работаю, как бы подрабатываю и четыре отдыхаю.","Усталость, прагматизм","Трудолюбие, адаптивность",Гибкая занятость и подработки становятся необходимостью для пенсионеров в условиях низких пенсий.,эпизод,,1.0,гибкая занятость пенсионера,,,,
1,Пенсионный возраст,Финансовое положение и кредиты,"Респондент рассказывает о своем опыте с кредитами, отсутствии накоплений и финансовых трудностях после выхода на пенсию. Он сравнивает свою жизнь с жизнью других пожилых людей, находящихся на социальном обслуживании.","Долгами у меня кредитов было очень много, и всегда я их выплачивал. Всегда я их выплачивал. ... Сейчас брать это бесполезно. Так таковых накоплений нет.","усталость, смирение","ответственность, самостоятельность, честность","Респондент демонстрирует типичную для старшего поколения стратегию финансового выживания: кредиты брались в трудоспособном возрасте, но после выхода на пенсию финансовые возможности резко сузились. Сравнение с другими пожилыми людьми подчеркивает распространенность подобной ситуации.",эпизод,,1.0,"кредиты, потребительский рынок",,,,
2,Пенсионный возраст,Социальная изоляция и старость,"Респондент размышляет о жизни пожилых людей, приводя в пример бабушку Нину и других пенсионеров, которые проводят время в одиночестве, ограничены квартирой и редкими походами в магазин.","Что у неё? Ну, на кухоньку сходила себе, изготовила и телевизор. ... И все время в квартире вся жизнь у нее исходит. И таких много, честно говоря.","печаль, сочувствие","забота о близких, эмпатия","Описывается типичная картина старости в российском обществе: одиночество, ограниченность досуга, зависимость от помощи детей и социальных служб.",узел,,1.0,,False,,,
3,Пенсионный возраст,Финансовые ожидания и мечты,"Респондент рассуждает о том, какая сумма денег позволила бы ему жить комфортно, и как бы он ее потратил. Он отмечает, что даже при наличии денег не стал бы кардинально менять образ жизни.","Сто тысяч, если можно, было бы действительно комфортно. Я считаю такую сумму.","реализм, легкая ирония","скромность, практичность",Запрос на относительно небольшую сумму для комфортной жизни отражает скромные потребности и адаптацию к ограниченным возможностям. Отсутствие планов на крупные траты говорит о низком уровне потребительских амбиций.,декларация,,1.0,"потребительский рынок, бытовая техника",,,,
4,Пенсионный возраст,Восприятие социальной несправедливости,"Респондент выражает недовольство разницей между доходами простых людей и чиновников, отмечает оторванность власти от народа.","Ну, я по интернету читал, что у них Сколько у них зданий пенсионного фонда? ... Их даже кто обслуживает, это уборщица 70 тысяч получает. Какие они там зарабатывают деньги, всякие. И все это за счет кого? Народа.","раздражение, возмущение","справедливость, честность","Критика социальной несправедливости и недоверие к государственным институтам характерны для людей, столкнувшихся с ухудшением материального положения на пенсии.",декларация,"пенсионный фонд, государственные органы",1.0,,,,,
5,Пенсионный возраст,Роль семьи в жизни,"Респондент подчеркивает, что живет за счет поддержки дочерей и внучек, и именно семья придает смысл его жизни.","Я за счет этого и живу. Что дочки есть, что внучки есть. За счет этого.","благодарность, теплота","семья, поддержка, любовь","Семья выступает главным источником поддержки и смысла для пожилого человека, компенсируя недостатки социальной системы.",узел,,1.0,,,,,
6,Пенсионный возраст,Отношение к деньгам,"Респондент рассматривает деньги как средство выживания, а не как источник свободы или безопасности. Он отмечает, что раньше духовность была важнее, а сейчас деньги нужны только для базовых нужд.","Деньги, чтобы поесть. Я не знаю, что еще можно на них. Куда-то сходить. Я не знаю.","равнодушие, ностальгия","духовность, простота","Снижение роли денег как источника счастья и свободы характерно для пожилых людей, особенно на фоне ухудшения материального положения и ностальгии по прошлому.",декларация,,1.0,,,,,
7,Пенсионный возраст,Изменения в экономике и обществе,"Респондент сравнивает советское прошлое и современность, отмечая исчезновение стабильности, духовности и социальных гарантий. Он критикует современную экономику и отсутствие перспектив для молодежи.","Если мы работали, мы работали на государство. Государство продавало, все прочее. А что сейчас экономика? Что мы сейчас выпускаем, кроме нефти и газа?","разочарование, ностальгия","стабильность, труд, социальная справедливость","Ностальгия по советскому прошлому и критика современной экономики типичны для старшего поколения, ощущающего потерю социальной защищенности.",декларация,"государство, рынок труда",1.0,,,,,
8,Детство и юность,Воспоминания о детстве и социализации,"Респондент вспоминает свое детство, насыщенное коллективными играми, спортивными и культурными мероприятиями, и сравнивает его с нынешней жизнью детей.","В школу, когда мы ходили, мы каждый месяц в кинотеатр ходили, в театр ходили, в театральную площадь, на балет, на оперетт и все это. Это в школе классами ходили.","ностальгия, грусть","коллективизм, культурное развитие, активность",Воспоминания о насыщенной социальной жизни в детстве подчеркивают разницу между поколениями и критикуют современную изоляцию молодежи.,эпизод,"школа, культурные учреждения",1.0,,,,,
9,Юность и ранняя зрелость,Профессиональное образование и трудоустройство,"Респондент рассказывает о доступности профессионального образования и гарантированном трудоустройстве в советское время, противопоставляя это нынешней ситуации.","Я отучился в неделю 8 классов, училище было просто, заводы стояли, куда ты хотел, туда ты и пошел.","гордость, сожаление","доступность образования, труд, стабильность",Советская система образования и распределения рабочих мест воспринимается как образец социальной справедливости и поддержки молодежи.,эпизод,"ПТУ, завод",1.0,,,,,
10,Пенсионный возраст,Беспокойство за будущее детей и внуков,"Респондент выражает тревогу по поводу будущего своих внуков, сложности с получением образования и трудоустройством, высокую стоимость обучения.","Внучке, например, она хотела стоматологию. 400 тысяч в год ее платили. 400 тысяч. Это чтобы она пошла учиться.","тревога, беспокойство","образование, забота о семье",Высокая стоимость образования и отсутствие гарантий трудоустройства усиливают тревожность родителей и дедушек/бабушек за будущее молодежи.,узел,образовательные учреждения,1.0,,,,,
11,Пенсионный возраст,Пути и стратегии молодежи,"Респондент рассказывает о профессиональных траекториях дочери и внучки, подчеркивая важность высшего образования для карьерного роста и стабильности.","Если ты хочешь продвижения, ну, по-любому, хоть она тебе там... Чтобы ты в офисе сидела, ну, я, к примеру, говорю, в офисе сидела, нужно высшее образование, там как бы повезет.","забота, прагматизм","образование, трудолюбие, карьерный рост","Респондент транслирует молодежи ценности образования и профессионального роста, отмечая, что без высшего образования перспективы крайне ограничены.",декларация,"образовательные учреждения, рынок труда",1.0,,,,,
1,"Зрелость, советский период",Трудовая жизнь и социальные гарантии в СССР,"Респондент рассказывает о трудовой жизни в советское время, о различиях в пенсиях по профессиям, о доступности жилья для рабочих и о ценах на продукты. Он отмечает, что рабочие получали больше инженеров, и что за 10 лет работы можно было получить квартиру или комнату.","10 лет ты отработал, тебе квартиру давали. Или комнату. А сейчас такого нету. Просто нету.","ностальгия, разочарование","справедливость, труд, социальная защищенность","Респондент противопоставляет советскую систему современной, подчеркивая утрату социальных гарантий и снижение статуса рабочего класса. Важным элементом выступает доступность жилья и уважение к труду.",эпизод,"советское предприятие, государство",,False,True,,,
2,"Юность, взросление","Досуг, культура и отношения в молодости","Вспоминает о посещениях кино, концертов, цирка, зоопарка, а также о семейных и соседских праздниках. Описывает атмосферу доверия и сплоченности в советском дворе и деревне.","Раньше весело было, ты каждого соседа знал. Соседа знал, действительно, как правильно говорят, ключ под коврик.","тепло, радость, легкая грусть","дружба, семейственность, коллективизм","Воспоминания о досуге и соседских отношениях иллюстрируют высокий уровень социальной связанности и доверия в советском обществе, а также важность коллективных форм досуга.",эпизод,,1.0,,,,,
3,"Зрелость, постсоветский период",Жилищный вопрос и стремление к самостоятельности,"Респондент говорит о своем желании жить отдельно, отмечает неудобства совместного проживания с родственниками и соседями, вспоминает опыт получения жилья женой и тещей.","Хотел бы отдельно жить и в отдельной квартире. Пускай небольшая, но отдельно. От соседей.","легкая неудовлетворенность, стремление к свободе","самостоятельность, личное пространство","Жилищный вопрос остается болезненным и в постсоветское время, самостоятельное проживание воспринимается как символ взрослости и свободы. Отмечается утрата прежних социальных гарантий.",декларация,,1.0,,False,,,совместное проживание с семьей
4,"Настоящее, зрелость",Отношение к государству и политике,"Респондент выражает резкое недовольство современным государством, считает, что власть коррумпирована и не заботится о народе. Сравнивает с советским временем, когда социальная поддержка была ощутимее.","Я не хочу на эту тему, но я немного намягивал, что я против. которые сейчас творятся, что они творят.","раздражение, разочарование, злость","справедливость, честность","Критика современной власти и ностальгия по советским порядкам типичны для старшего поколения, ощущающего утрату социальной справедливости и доверия к институтам.",декларация,"государство, Государственная Дума, правительство",1.0,,,,,
5,"Настоящее, зрелость",Политические взгляды и источники информации,"Респондент негативно оценивает работу государственных институтов, считает, что в стране процветает воровство и бандитизм. Источники информации — не только телевидение, но и личное общение, однако отмечает разницу восприятия у разных людей.","Это воровство. Как эти банки, если 28-30% кредит уходят, о чем мы можем говорить?","разочарование, возмущение","справедливость, независимость мнения","Недоверие к официальным источникам информации и государственным институтам, поиск альтернативных точек зрения характерны для части старшего поколения.",декларация,,1.0,True,,,,
6,"Настоящее, зрелость",Война и утрата связи с Украиной,"Респондент рассказывает о потере связи с родственниками на Украине из-за политических событий, выражает сожаление по поводу невозможности восстановить эти связи.","Я Украину потерял. У меня в Украине три сестры двоюродные. Многие у меня там родственники. Потерял Украину, что я могу сказать.","грусть, утрата","семья, родственные связи","Война и политические конфликты приводят к разрыву семейных и культурных связей, что воспринимается как личная трагедия.",перелом,,1.0,,,,,
7,"Зрелость, переходный период 90-х",Опыт жизни в 90-е годы,"Респондент вспоминает о трудностях 90-х: задержки зарплат, выдача продукции вместо денег, сокращения на заводах. Отмечает, что советские предприятия еще работали по инерции, но постепенно все исчезло.","В 90-х годах еще как-то работало все это. Как бы от советского осталось еще годы, предприятия, все прочее. Все это по старинке от советского работало. А сейчас этого просто нет.","разочарование, ностальгия","стабильность, труд","Переходный период 90-х воспринимается как время потерь и нестабильности, когда исчезли прежние гарантии и началась деградация промышленности.",эпизод,,1.0,True,,,,
8,"Настоящее, зрелость",Использование цифровых технологий,"Респондент пользуется интернетом и гаджетами с помощью детей и внуков, самостоятельно осваивает только базовые функции, в основном для просмотра фильмов.","У меня есть внучки, у меня есть дети. Ну-ка, мне вот это, они мне разбаз сделали.","благодарность, легкая неуверенность","семья, обучение, адаптация","Пожилые люди часто осваивают цифровые технологии с помощью младших членов семьи, что подчеркивает важность межпоколенческих связей.",эпизод,,1.0,,,,,
1,"Пенсионный возраст, современность",Использование цифровых технологий и отношение к информации,"Респондент предпочитает получать информацию через интернет, считает телевидение бесполезным источником новостей, использует ноутбук для развлечений и получения новостей, отмечает ограниченность и цензуру информации на ТВ.","Да, потому что по телевизору это бесполезно смотреть. Такого не покажут... Вот эту информацию, там есть еще примеры, где протекает так же, как вы вопрос задали, насчет того, что сейчас творится война и все прочее. Там много чего просасывается. которое не выгодно государству.","Скепсис, разочарование","Доступ к правдивой информации, самостоятельность в выборе источников","Респондент демонстрирует критическое отношение к государственным СМИ, предпочитает альтернативные источники информации, что характерно для части пожилого населения, освоившего цифровые технологии.",декларация,"Медиа, интернет",,Потребитель цифровых сервисов,,,,
2,"Пенсионный возраст, семейная жизнь","Досуг, развлечения и отношение к телевидению","Респондент использует интернет-приложения для развлечения (YouTube, TikTok, фильмы, кроссворды, карты), телевизор смотрит только ради футбола, критикует современное телевидение за однообразие и отсутствие интересного контента.","Телевизор я только смотрю, когда футбол идет... Первый канал я вообще не смотрел. Один я тоже не смотрел. Это бесполезные каналы. Только вот Матч. Есть канал. Когда играет футбол. Единственное.","Разочарование, ностальгия","Развлечения, спорт, индивидуальный выбор","Показательна смена медийных привычек у пожилых: уход от традиционного ТВ к интернету, сохранение интереса к спорту как к социальному и эмоциональному якорю.",декларация,"Медиа, спорт",,Потребитель цифровых и спортивных сервисов,,,,
3,"Пенсионный возраст, отношения с детьми и внуками",Воспитание и жизненные советы молодому поколению,"Респондент обсуждает увлечения внука (автомобили, ралли), советует получать профессиональные водительские категории для расширения возможностей трудоустройства, делится опытом работы в охране и наблюдениями за экономикой.","Я ему предлагаю ты лучше всех категории потом. Ну, чтобы а вдруг ты самосвалишь. профессиональные. Профессиональные, я имею в виду. Не только вот эти, чтобы были лековые. А профессиональные, чтобы... Там еще можно найти работу как бы денежную.","Забота, прагматизм","Забота о будущем детей, практичность, трудолюбие","Передача жизненного опыта и советов по трудоустройству — типичная стратегия старшего поколения, отражающая ценность стабильной работы и профессионализма.",эпизод,"Семья, рынок труда",,"Советчик, наставник",,,,
4,"Пенсионный возраст, современность",Оценка экономической и политической ситуации,"Респондент выражает пессимизм относительно будущего страны, критикует экономическую политику, рост налогов и сокращение производства, отмечает ухудшение условий для обычных людей.","Если что-то изменить, нужно все это правительству брать. Тогда что-то изменится. А так ничего. Только в худшую сторону. Сейчас все идет в худшую сторону.","Пессимизм, тревога","Справедливость, социальная защищенность","Позиция респондента отражает распространенное среди пожилых недоверие к власти и ощущение социальной несправедливости, характерное для постсоветского пространства.",декларация,"Государство, экономика",,Пассивный наблюдатель,,,,
5,"Пенсионный возраст, семейная жизнь",Семейные радости и повседневность,"Респондент рассказывает о семейных событиях: отдых детей в Крыму, собственный отдых на даче, празднование дня рождения дочери в ресторане, ностальгирует по живой музыке и прошлым временам.","Дети у меня последний раз на Крыму отдыхали, я на даче отдыхал. Как бы все нормально. Ничего такого.","Спокойствие, удовлетворение, ностальгия","Семья, традиции, простые радости","Семейные события и дача остаются важнейшими источниками радости и смысла для пожилых людей, а ностальгия по прошлому — типичный мотив в их рассказах.",эпизод,"Семья, досуг",1.0,,Дача,,,
