id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,family_structure,institution,region,market_participation,marital_status,event,family_support,housing_promised,children,spouse_employed,work_mode,work_partner,housing_type,pets,social_guarantees,family_involvement,media_consumption,collapse_context
1,"Молодость, окончание школы и начало высшего образования","Поступление в вуз, академический отпуск и служба в армии","Респондент окончил школу, поступил в высшее учебное заведение, затем взял академический отпуск и ушёл служить в морскую пехоту.","вы учились, соответственно, закончили школу, пошли в высшее учебное заведение, отучились, Несколько лет взяли академический отпуск, ушли в армию, в морскую пехоту, непростой, как на мой взгляд, вид войск.","спокойствие, некоторая гордость","ответственность, долг, самостоятельность","Типичная для российских регионов траектория: после школы — вуз, затем армия, что может быть связано с поиском себя или необходимостью выполнить гражданский долг.",эпизод,,"школа, вуз, армия","Республика Коми, Сыктывкар",,,,,,,,,,,,,,,
2,Служба в армии,Опыт службы и участие в параде,"Служба в морской пехоте запомнилась участием в параде, что стало значимым событием.","единственное, что запомнилось, это участие в парадеях.","нейтральное, с оттенком значимости","чувство причастности, коллективизм","Парад как символический опыт, формирующий чувство сопричастности к истории и коллективу.",эпизод,,"армия (ВМФ, морская пехота)",,,,парад,,,,,,,,,,,,
3,"Постармейский период, начало трудовой деятельности",Возвращение к обучению и начало работы в МВД,"После армии респондент не сразу вернулся к учёбе, начал работать в МВД, а затем поступил на юридический факультет другого университета.","Ну, в другом университете уже, и не сразу после армии, а там уже будучи работая в МВД.","уверенность, прагматизм","прагматизм, профессиональное развитие",Переход к работе в государственных структурах и получение профильного образования — характерная стратегия для стабильности и карьерного роста.,узел,,"МВД, юридический факультет",,государственная служба,,,,,,,,,,,,,,
4,"Взрослая жизнь, семейный этап",Семейная поддержка и выбор профессии,Родители всегда поддерживали респондента и его брата в выборе профессии.,"всегда советовали, поддерживали.","благодарность, спокойствие","семья, поддержка, взаимопомощь",Семейная поддержка играет важную роль в профессиональной и личной траектории.,декларация,,,,,,,True,,,,,,,,,,,
5,"Настоящее, зрелый возраст",Повседневная жизнь и семейный быт,"Респондент описывает типичный распорядок дня: совместные семейные обязанности, работа, время с ребёнком, бытовые дела.","Ничего, проснулись. Приготовили завтрак, разбудили ребенка... поработали, забрали ребенка в садик, пришли домой, поужинали, позанимались какими-то бытовыми делами, и уехали спать.","спокойствие, рутина","семья, стабильность, забота о детях","Повседневная рутина типична для семей с маленькими детьми, где оба родителя работают.",эпизод,,,,,,,,False,1.0,True,,,,,,,,
6,"Настоящее, зрелый возраст",Работа и профессиональная идентичность,"Работа связана с разъездами, нет фиксированного офиса, есть напарник, с которым формируется стабильный экипаж.","вы все время в автомобиле, это, ну, может быть дождь, снег, вы все время там, да? На улице.","усталость, принятие","профессионализм, надёжность","Работа в МВД предполагает мобильность, отсутствие офисной рутины, что влияет на образ жизни и усталость.",эпизод,,МВД,,,,,,,,,разъездной,стабильный напарник,,,,,,
7,"Настоящее, зрелый возраст",Отношение к домашним животным и условия жилья,Респондент принципиально не заводит домашних животных из-за ограниченного пространства в квартире.,"Домашним животным надо пространство. Квартира – это не то место, где мы можем предоставить пространство для домашнего животного.",рациональность,"ответственность, забота о животных","Вопрос жилья напрямую влияет на возможность завести домашних животных, что типично для городских семей.",декларация,,,,,,,,,,,,,квартира,False,,,,
8,"Настоящее, зрелый возраст",Время с семьёй и ребёнком,"Респондент считает, что проводит достаточно времени с ребёнком после работы и в выходные.","Время после работы и выходные. Я считаю, что достаточно, если учитывать то, что условно ребенок в садике, забираю его из садика, как бы после садика провожу с ним время, все.",удовлетворённость,"семья, забота о детях, баланс работа-семья",Стремление к балансу между работой и семьёй — важная ценность для современных родителей.,декларация,,,,,,,,,1.0,,,,,,,,,
9,"Настоящее, зрелый возраст",Рабочие условия и социальные гарантии,"Работа официальная, подработки запрещены, график гибкий, есть возможность договориться об отгуле. Социальных гарантий, кроме зарплаты, респондент не ощущает.","Не знаю, никаких гарантий, кроме какой-то зарплаты.","прагматизм, некоторая неудовлетворённость","стабильность, формальная защищённость","Государственная служба обеспечивает стабильность, но не всегда — ощущение социальной защищённости.",декларация,,МВД,,только основная работа,,,,,,,,,,,минимальные,,,
10,"Настоящее, зрелый возраст",Психологическое отношение к работе и конфликтам,"Конфликты с гражданами случаются, но респондент не зацикливается на них, делится с супругой, но не переживает.","Ну, прошел момент, как бы, и все, забыл его.","спокойствие, устойчивость","эмоциональная устойчивость, профессионализм",Психологическая дистанция — способ справляться со стрессом на государственной службе.,эпизод,,МВД,,,,,,,,,,,,,,,,
11,"Настоящее, зрелый возраст",Отношение к работе и её значимость,"Работа в МВД воспринимается как подходящая, удовлетворяющая и одновременно как способ заработка.","Это как то, что сейчас удовлетворяет, и способ заработка, так скажем.","спокойствие, прагматизм","самореализация, материальное обеспечение",Работа в государственных структурах часто воспринимается как компромисс между интересом и стабильностью.,декларация,,МВД,,,,,,,,,,,,,,,,
12,"Настоящее, зрелый возраст","Досуг, спорт и хобби","Респондент занимается спортом (футбол с коллегами из МВД, плавание с ребёнком), считает это эмоциональной разгрузкой и радостью.","И как эмоциональная разгрузка, и как радость.","радость, удовлетворение","здоровье, активность, семейные ценности",Коллективные спортивные активности укрепляют связи внутри профессионального сообщества и семьи.,эпизод,,МВД (спортивная секция),,,,,,,,,,,,,,True,,
13,"Настоящее, зрелый возраст",Личное время и индивидуальные интересы,"В редкие моменты одиночества респондент читает новости, иногда участвует в обсуждениях, предпочитает меланхоличную музыку и интересные фильмы.","новости читаю, что в мире происходит.","спокойствие, интроверсия","информированность, личное пространство",Даже при насыщенной семейной и профессиональной жизни сохраняется потребность в личном времени и информационном поле.,эпизод,,,,,,,,,,,,,,,,,"новости, фильмы, музыка",
14,"Настоящее, зрелый возраст",Отношение к природе и месту жительства,"Респондент не испытывает потребности выезжать на природу, так как живёт в зелёном районе за городом.","Нет. Мы так как бы, можно сказать, живем за городом.",удовлетворённость,"близость к природе, комфорт",Жизнь в пригороде или зелёной зоне снижает потребность в специальных выездах на природу.,декларация,,,,,,,,,,,,,загородное или пригородное жильё,,,,,
1,"Настоящее, семейная жизнь с ребенком",Традиции выходных и отпусков,"В семье нет устоявшихся традиций выходного дня, все происходит спонтанно. Отпуск согласовывается с супругой, чтобы отдыхать вместе. Предпочтения в отдыхе — тепло, море, комфорт для ребенка. Идеальный отпуск — когда не нужно думать о быте.","Нет, такого ничего нет. Традиционно всегда что-то спонтанное.","Спокойствие, легкая отстраненность","Гибкость, совместное время с семьей, комфорт",Отсутствие ритуалов выходного дня может говорить о гибкости семейного уклада и отсутствии давления со стороны старших поколений. Согласование отпуска с супругой указывает на партнерские отношения.,эпизод,,"семья, работа",,"пассивное (нет дачи, нет крупных покупок)",,,,False,,,,,,,,,,False
2,"Настоящее, будни и распорядок дня",Распорядок дня и семейные обязанности,"Встают рано, в 6 утра, поочередно готовят завтрак, собирают ребенка, отвозят его в садик, затем супругу на работу. Рабочий день вне помещения, обед — где придется. Вечером возвращаются домой, иногда забирают супругу и ребенка.",В 6 утра.,"Усталость, принятие рутины","Ответственность, семейная поддержка, привычка","Четкое распределение ролей и обязанностей, совместное участие в быте. Ранний подъем и усталость — типичны для семей с маленькими детьми и работающими родителями.",эпизод,,"семья, детский сад, работа",,,,,,,,,,,,,,,,False
3,"Настоящее, свободное время",Досуг и спорт,"Свободное время проводят в городе или окрестностях, иногда занимаются спортом (плавание, футбол с коллегами).",Плавание и футбольная секция с коллегами.,Нейтрально-позитивный,"Здоровье, общение, разнообразие досуга","Досуг не связан с семейными традициями, скорее индивидуализирован и ситуативен. Спорт — способ поддерживать социальные связи вне семьи.",эпизод,,"спортивные секции, коллеги",,,,,,,,,,,,,,,,False
4,"Настоящее, семейные отношения",Отношения с родственниками,"В круг близких входят родители, бабушки, дедушки, брат, тетя, няня. Отношения теплые, с детства не менялись. Общение по телефону ежедневно, личные встречи — раз в неделю.",Встречи по телефону. По телефону-то каждый день. Личные встречи на неделе.,"Теплота, стабильность","Семейственность, поддержка, традиции",Семья — важнейший ресурс поддержки. Высокая частота контактов говорит о сплоченности и ценности родственных связей.,узел,,семья,,,,,,,,,,,,,,,,False
5,"Настоящее, семейные отношения",Взаимоотношения с семьей супруги,"С родителями супруги хорошие отношения, общаются. Братьев и сестер у супруги нет. Супруга также хорошо общается с родителями респондента.","С родителями хорошо, хорошие отношения. Тоже как бы общаемся.","Дружелюбие, спокойствие","Гармония, уважение, семейная интеграция",Отсутствие конфликтов между поколениями и семьями супругов — показатель успешной интеграции и взаимного уважения.,эпизод,,семья супруги,,,,,,,,,,,,,,,,False
6,"Настоящее, семейные отношения",Конфликты и способы их разрешения,"Серьезных конфликтов в семье не было, все возникающие вопросы решаются без эскалации.","Такие прям серьёзные, мне кажется, по словам «серьёзные» подразумевается расход сразу, а так всё, что происходит, это не назвать серьёзными.","Уверенность, спокойствие","Стабильность, умение договариваться","Семейная культура избегания острых конфликтов, ориентация на сохранение целостности семьи.",декларация,,,,,,,,,,,,,,,,,,False
7,Детство и взросление,Влияние воспитания и родительских взглядов,"Взгляды на отношения в семье формировались под влиянием родителей, но со временем корректировались самостоятельно.","Если считать, что в детстве родителями, если в данное время, то уже с собой.","Рефлексия, принятие","Самостоятельность, уважение к опыту старших","Передача семейных ценностей через поколения, но с возможностью их переосмысления.",узел,,"семья, родительское воспитание",,,,,,,,,,,,,,,,False
8,Детство и семья происхождения,Социальный статус родителей,"Мама — учительница, отец — пожарный. Жили в одном городе/регионе всю жизнь.","Это мама учительница, а отец пожарный.","Гордость, уважение","Трудолюбие, стабильность","Родители представляют традиционные профессии, что может влиять на ценности респондента (уважение к труду, стабильность).",декларация,,"школа, пожарная служба",,,,,,,,,,,,,,,,False
9,"Настоящее, супружеские отношения",Качества супруги и ценности в отношениях,"Респондент ценит в супруге хорошие человеческие качества, такие как вежливость, лояльность, доверие. Не выделяет конкретные черты, подчеркивает важность общего позитивного отношения.","Вежливость, лояльность в каких-то моментах, доверие.","Благодарность, уважение","Доверие, уважение, доброта","Ориентация на универсальные ценности в браке, отсутствие акцента на уникальности партнера.",декларация,,,,,,,,,,,,,,,,,,False
10,"Настоящее, семейные перспективы",Взгляд на будущее семьи,"Респондент не строит долгосрочных планов, живет настоящим. Возможность появления еще одного ребенка воспринимает как дело случая.","Просто живем. Может, ребенок еще будет. Вот тут как Бог даст уже.","Спокойствие, принятие неопределенности","Гибкость, принятие судьбы",Отсутствие стратегического планирования типично для семей с устойчивым настоящим и низкой тревожностью относительно будущего.,декларация,,,,,,,,,,,,,,,,,,False
11,"Настоящее, семейная экономика",Финансовые решения в семье,"Крупные покупки не совершаются, если не хватает денег. Нет практики деления расходов по зарплатам.","Не делаем таких покупок, на которых не хватает денег.","Рациональность, спокойствие","Осторожность, финансовая стабильность","Семья избегает долгов и кредитов, ориентирована на жизнь по средствам.",декларация,,,,низкая,,,,,,,,,,,,,,False
12,"Настоящее, родительство",Влияние рождения ребенка на отношения,"Появление ребенка сблизило супругов, стало объединяющим фактором. Родители активно участвуют в воспитании внука.",Оно стали еще ближе.,"Теплота, удовлетворение","Семейная сплоченность, поддержка","Рождение ребенка воспринимается как позитивный переломный момент, усиливающий семейные связи.",перелом,,,,,,,,,,,,,,,,,,False
13,"Настоящее, родительство",Родительская роль и передача ценностей,"Респондент хочет передать сыну все, что получил от своих родителей, включая ответственность и отношение к важным событиям.","Наверное, все, что они мне дали, все то, что я буду постараться заложить у него.","Ответственность, рефлексия","Передача опыта, воспитание","Сильная межпоколенческая преемственность, ориентация на семейные традиции и ценности.",декларация,,,,,,,,,,,,,,,,,,False
1,"Взрослая жизнь, родительство",Передача семейных ценностей и воспитание,"Респондент говорит о важности передачи семейных ценностей и воспитания из поколения в поколение, отмечая, что сам был так воспитан и намерен воспитывать своего ребенка аналогично.","Историю забывать нельзя. И меня так воспитывали, как я и сказал, что буду стараться сделать так же по отношению к своему ребенку, воспитывать его так же, как воспитывали меня.","Уверенность, спокойствие","Семейные традиции, преемственность, уважение к прошлому","Респондент демонстрирует ориентацию на традиционные семейные ценности и межпоколенческую преемственность, что характерно для семей с устойчивыми культурными установками.",декларация,,семья,,,,,,,,,,,,,,,,
2,"Взрослая жизнь, родительство",Влияние ребенка на личность родителя,"Рождение ребенка изменило взгляд респондента на жизнь, он стал учитывать интересы ребенка и проявлять больше мягкости.","Когда рождается ребёнок, что-то меняется. На какие-то моменты смотришь, уже с другой точки зрения стараешься. Учитывать интерес ребёнка, проявлять мягкость.","Рефлексия, принятие","Забота, гибкость, эмпатия","Респондент отмечает трансформацию личностных качеств под влиянием родительства, что типично для современных родителей, стремящихся к осознанному воспитанию.",эпизод,,,,,,,,,,,,,,,,,,
3,"Взрослая жизнь, родительство",Дисциплина и конфликты с ребенком,"Респондент допускает телесное наказание в профилактических целях, но серьезных конфликтов с ребенком не отмечает.","Ну, так в виде профилактики, мне кажется, можно дать это ПОПе.","Спокойствие, прагматизм","Дисциплина, умеренность","Сочетание традиционных и современных подходов к воспитанию: допускается телесное наказание, но без жесткости и в исключительных случаях.",эпизод,,,,,,,,,,,,,,,,,,
4,Взрослая жизнь,Дружба и социальные связи,"Респондент поддерживает отношения с друзьями, которых считает близкими, выделяя их из широкого круга знакомых. Дружба основана на общих интересах и схожем взгляде на жизнь.","Друг — это первостепенное ему лицо, а Закум — это такие уже второстепенные люди, которые неважны.","Уверенность, спокойствие","Доверие, близость, общность интересов","Четкое разделение между друзьями и знакомыми, ценность доверительных отношений, поддержка социальных связей, характерная для зрелого возраста.",декларация,,,,,,,,,,,,,,,,,,
5,Взрослая жизнь,Происхождение дружеских связей,"Друзья появились в разные периоды жизни: в школе, университете, на работе. Дружба сохраняется благодаря общим интересам и схожему взгляду на жизнь.","С кем-то в универе, в школе, с кем-то уже на работе.","Ностальгия, спокойствие","Постоянство, общность, лояльность",Дружеские связи формируются на разных этапах жизни и сохраняются благодаря общим ценностям и интересам.,эпизод,,"школа, университет, работа",,,,,,,,,,,,,,,,
6,Взрослая жизнь,Взаимодействие с друзьями,"Встречи с друзьями происходят спонтанно, без строгой регулярности. Контакт поддерживается, но нет фиксированных традиций.","Встречаемся постоянно, но не сказать, что раз в месяц, раз в неделю. Бывает, всю неделю встречаемся, бывает потом месяц не видимся.","Легкость, непринужденность","Гибкость, спонтанность, поддержка","Современный стиль поддержания дружбы — отсутствие формальных ритуалов, гибкость в общении.",эпизод,,,,,,,,,,,,,,,,,,
7,Взрослая жизнь,Конфликты и способы их разрешения в дружбе,"Конфликты с друзьями случаются, но всегда разрешаются через диалог, даже если сначала происходит пауза в общении.","Не разговаривали, а потом все равно разговаривали. В любом случае, все в Киевской елке.","Примирение, спокойствие","Открытость, коммуникация, прощение","Высокая ценность диалога и восстановления отношений, что свидетельствует о зрелости и устойчивости социальных связей.",эпизод,,,,,,,,,,,,,,,,,,
8,Взрослая жизнь,Ощущение поддержки и доверия,"Респондент ощущает поддержку и любовь со стороны близких, считает, что у него есть крепкий тыл.",Да? Да. Можна не сказать.,"Уверенность, благодарность","Поддержка, доверие, семейственность",Чувство защищенности и уверенности в социальной поддержке — важный ресурс для психологического благополучия.,декларация,,,,,,,,,,,,,,,,,,
9,Взрослая жизнь,Кому обратиться за помощью,"В случае трудностей респондент обращается к разным людям в зависимости от ситуации, иногда предпочитает не беспокоить супругу.","Все равно понимаешь, кто в какой сфере, кто что может решить.","Рациональность, забота","Разумность, забота о близких","Гибкая стратегия поиска поддержки, учет эмоционального состояния других членов семьи.",эпизод,,,,,,,,,,,,,,,,,,
10,Взрослая жизнь,Взаимная поддержка с друзьями,"Респондент готов помогать друзьям в сложных ситуациях, отмечает взаимность поддержки.","чем можем, помогаем.","Доброжелательность, готовность","Взаимопомощь, солидарность",Взаимная поддержка как основа дружеских отношений.,декларация,,,,,,,,,,,,,,,,,,
11,Взрослая жизнь,Самооценка личных качеств,"Респондент затрудняется назвать качества, которые делают его хорошим другом и родственником, но отмечает наличие понимания.",Понимание у меня. Почему так?,"Скромность, неуверенность","Понимание, скромность","Склонность к рефлексии, отсутствие нарциссизма, возможно, заниженная самооценка.",декларация,,,,,,,,,,,,,,,,,,
12,Взрослая жизнь,Отношение к здоровью и образу жизни,"Респондент считает себя достаточно здоровым человеком, не жалуется на здоровье, ведет относительно здоровый образ жизни, но не отказывает себе в удовольствиях.","В здоровом образе жизни хочется, но можем себе бургером пробовать.","Умеренность, удовлетворенность","Баланс, умеренность, здоровье","Рациональный подход к здоровью, без фанатизма, характерен для людей среднего возраста.",декларация,,,,,,,,,,,,,,,,,,
13,Взрослая жизнь,Питание и вредные привычки,"Рацион респондента сбалансирован, вредные привычки (алкоголь) присутствуют эпизодически, но не воспринимаются как необходимость.","То есть употребление алкоголя это не привычка, так, кто хотел, выпил, кто не хотел, не выпил.","Спокойствие, рациональность","Умеренность, свобода выбора","Отсутствие зависимости, самостоятельность в принятии решений о вредных привычках.",эпизод,,,,,,,,,,,,,,,,,,
14,Взрослая жизнь,Физическая активность и забота о теле,"Спорт и прогулки присутствуют в жизни респондента регулярно, дополнительные процедуры (массаж, баня) используются редко и скорее как исключение.","Больше не как правило, а как исключение. Подарок, что-то подарить.","Умеренность, спокойствие","Здоровье, баланс","Физическая активность воспринимается как часть нормы, дополнительные практики — как приятное дополнение.",эпизод,,,,,,,,,,,,,,,,,,
15,Взрослая жизнь,Отношение к болезням и медицинской помощи,"Респондент редко обращается к врачам, предпочитает справляться с легкими заболеваниями самостоятельно, к медикам идет только при серьезных симптомах.","Если понимаешь, что это будет прям как все уже, это хорошо, работа 39-40, то это больничный, если понимаешь, что это просто простыл, то можно дальше идти работать.","Рациональность, самостоятельность","Самостоятельность, ответственность",Склонность к самодиагностике и самостоятельному принятию решений о здоровье.,эпизод,,,,,,,,,,,,,,,,,,
16,Взрослая жизнь,Отношение к официальной и народной медицине,"Респондент преимущественно обращается к официальной медицине, но допускает использование простых народных средств (например, малина).","Если, так скажем, условно, там, часть малины, если это бежало от тебя к народной медицине, то тоже как бы прибегаем к нему.",Прагматизм,"Рациональность, открытость","Комбинированный подход к здоровью, характерный для прагматичных людей.",эпизод,,,,,,,,,,,,,,,,,,
17,Взрослая жизнь,Оценка системы здравоохранения,"Респондент не выделяет явных преимуществ между государственной и частной медициной, отмечает проблемы с доступностью и качеством медицины для детей, а также дефицит квалифицированных специалистов в регионе.","В данном случае, если относительно ребенка, то тяжелее, потому что налог нет. Есть упадок медицинского персонала.","Озабоченность, критичность","Забота о семье, критичность, справедливость","Критика системы здравоохранения, обеспокоенность региональными проблемами, типична для родителей.",декларация,,здравоохранение,,,,,,,,,,,,,,,,
18,Взрослая жизнь,Ожидания от государства в сфере здравоохранения,"Респондент считает, что государство должно оказывать материальную поддержку медицинским работникам и финансировать обучение для повышения качества медицины.","Чем больше меры поддержки, тем больше людей захотят, чтобы их поддержали.","Рациональность, надежда","Социальная справедливость, поддержка",Ожидание активной роли государства в решении социальных проблем.,декларация,,государство,,,,,,,,,,,,,,,,
19,Взрослая жизнь,Отношение к вакцинации,"Респондент лично старается не вакцинироваться, но ребенку делает все обязательные прививки. Отмечает, что вакцинация на работе носит рекомендательно-принудительный характер.","Все прививки, которые полагаются, деланы так, чтобы самому нечем делать, потому что уже на своем опыте привился, заболел.","Скепсис, осторожность","Здравый смысл, осторожность, забота о ребенке","Скептическое отношение к вакцинации у взрослых, но следование обязательным медицинским процедурам для детей.",декларация,,"работа, система здравоохранения",,,,,,,,,,,,,,,,
20,Взрослая жизнь,Профилактика и диспансеризация,"Респондент обращается к врачам только при необходимости, профилактические осмотры проходят только по служебной необходимости.","Так, чтобы, ну, обращения такие, только когда заболеют, да.",Прагматизм,"Рациональность, самостоятельность","Профилактика воспринимается как формальность, а не как часть заботы о здоровье.",эпизод,,работа,,,,,,,,,,,,,,,,
1,"Взрослая жизнь, зрелость",Отношение к стрессу и прошлым ситуациям,"Респондент рассказывает о своем подходе к стрессовым ситуациям: не зацикливаться, абстрагироваться, не возвращаться мыслями к прошлому, не испытывать чувства вины.","Смысла нет, шо произошло, то произошло.","Спокойствие, рациональность","Самоконтроль, рациональность, умение отпускать прошлое","Респондент демонстрирует стратегию эмоционального дистанцирования, характерную для людей, предпочитающих не углубляться в переживания и не обращаться за психологической помощью без крайней необходимости.",декларация,,,,,,,,,,,,,,,,,,
2,"Взрослая жизнь, зрелость",Отношение к психологической помощи,"Респондент считает, что психологическая помощь нужна только в критических случаях, а в обычной жизни не видит в ней смысла.","Если это какие-то критичные моменты, а так, что это, ну, не нужно.","Сдержанность, прагматизм","Самостоятельность, прагматизм","Скепсис по отношению к психологической помощи отражает традиционные установки, где обращение к специалистам по душевным вопросам считается крайней мерой.",декларация,,,,,,,,,,,,,,,,,,
3,"Взрослая жизнь, зрелость",Забота о близких и отношении к здоровью родителей,"Респондент спокойно относится к необходимости помогать родителям, не испытывает тревоги, делает то, что возможно.","Что получается сделать, то делаем. Не получается ничего не поделать с этим.","Спокойствие, принятие","Ответственность, принятие ограничений","Демонстрируется зрелое отношение к заботе о близких: готовность помогать, но без излишней тревожности и драматизации.",эпизод,,,,,,,,,,,,,,,,,,
4,"Взрослая жизнь, зрелость",Отношение к здоровью и заботе о себе,"Респондент считает здоровье важным ресурсом, который нужно беречь с молодости, осознает его конечность.","Словом говоря, не стоит разбазаривать здоровье. В каком-то случае, не все вечно.","Осознанность, умеренная тревога","Забота о себе, рациональность","Видна установка на ответственное отношение к здоровью, что характерно для людей, осознающих ценность ресурсов.",декларация,,,,,,,,,,,,,,,,,,
5,"Взрослая жизнь, зрелость","Ощущение запаса ресурсов (здоровье, финансы, время)","Респондент считает, что запаса никогда не бывает достаточно, всегда есть риск его потери, поэтому не испытывает полной уверенности в будущем.","Никогда нельзя будет сказать, что есть какой-то запас. Он всегда будет не хватать.","Реализм, умеренная тревога","Осторожность, реализм","Отражает опыт людей, сталкивающихся с нестабильностью и неопределенностью, что формирует осторожное отношение к будущему.",декларация,,,,,,,,,,,,,,,,,,
6,"Взрослая жизнь, зрелость",Отношение к деньгам и финансовому положению,"Деньги воспринимаются как инструмент обеспечения себя, респондент не стремится к резкому увеличению дохода, но открыт к возможностям. Доходом доволен, но отмечает, что потребности всегда растут.","Если надо будет миллион доходов, потребности будут до миллиона. Так что живем от зарплаты до зарплаты.","Спокойствие, умеренный фатализм","Рациональность, адаптивность","Демонстрируется типичная для среднего класса стратегия: жить по средствам, не брать кредиты, быть открытым к возможностям, но не гнаться за избыточным потреблением.",декларация,,,,"Открыт к предложениям, не ищет активно",,,,,,,,,,,,,,
7,"Взрослая жизнь, зрелость",Покупки и потребительское поведение,"Респондент выбирает товары по отзывам и рейтингу, не придает большого значения брендам, готов покупать БУ вещи, если они качественные.","Товары, которые надо, просто смотришь и на рейтинг, и на отзывы, если он тебе устраивает, заказываешь.","Практичность, спокойствие","Рациональность, практичность","Потребительское поведение рациональное, ориентировано на функциональность и экономию, а не на статус.",декларация,,,,"Использует маркетплейсы, не лоялен брендам",,,,,,,,,,,,,,
8,"Детство, юность",Опыт нехватки денег в родительской семье,"В детстве респондент сталкивался с нехваткой денег, но семья справлялась без продажи имущества, иногда с помощью подработок.","Ну, были такие ситуации, но поведение никто не продал.","Спокойствие, принятие","Семейная поддержка, трудолюбие",Опыт финансовых трудностей в детстве формирует у респондента осторожное отношение к деньгам и стремление избегать долгов.,эпизод,,,,,,,,,,,,,,,,,,
