id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,collapse_context,institution,housing_promised,housing_received,market_participation,housing_type,pets,employment_type,health_care,housing,housing_actual,healthcare_participation
3,переход из деревенской в городскую школу,опыт обучения в разных школах и социальная среда,"Переход из деревенской школы в городскую, где класс состоял из детей местной элиты. Несмотря на разницу в обеспеченности, атмосфера была дружелюбной и без показного потребления.","Я вот это запомнила на всю жизнь, что вот сливки общества то же самое могут вести себя как люди.","удивление, благодарность","равенство, простота, уважение","Отмечается отсутствие классового антагонизма и демонстративного потребления среди детей элиты, что контрастирует с современными тенденциями.",узел,,,,,,,,,,,,
4,окончание школы и выбор профессии,попытка поступления в МГУ и влияние матери на выбор профессии,"После окончания школы попыталась поступить в МГУ, но столкнулась с барьерами. Мать настояла на получении прикладной специальности, выбрав сельское хозяйство.","Мама тогда у меня была в жизни таким командиром. И она почему-то решила, что надо идти в сельское хозяйство.","смирение, легкая обида, принятие","прагматизм, семейная иерархия, стабильность","Роль родителя как главного стратега в выборе жизненного пути, типичная для советской эпохи, когда прагматизм и гарантия занятости были в приоритете.",перелом,,"МГУ, Волоколамский ветеринарный техникум, Яхровский совхоз-техникум",,,,,,,,,,
5,студенчество,"учеба в техникуме, межнациональная среда и студенческая жизнь","Учеба в престижном техникуме с сильной научной базой и многонациональным составом студентов. Вспоминает дружбу, отсутствие конфликтов, совместные развлечения и культурные открытия.","И вот с того момента я видела, что люди разных национальностей могут существовать вместе. Но если они не... Наверное, притесняют друг друга, когда они равны в своих мнениях, в своих поступках.","ностальгия, радость, гордость","дружба, толерантность, открытость, юмор",Опыт межнационального общения в советских образовательных институтах формировал установки на толерантность и коллективизм.,узел,,Яхровский совхоз-техникум,,,,,,,,,,
6,начало профессиональной деятельности,"распределение, первые трудности и жилье молодого специалиста","После окончания техникума получила распределение, столкнулась с трудностями на производстве и несоответствием ожиданий. Вопрос с жильем был решен частично — вместо квартиры дали комнату.","А там еще и за квартиру у нас был вопрос, потому что молодому специалисту тогда полагалось жилье. И было обещание, что у меня будет квартира. А вместо квартиры мне дали комнату в трёхкомнатной квартире.","разочарование, обида, адаптация","справедливость, самостоятельность, профессионализм",Проблемы с реализацией социальных гарантий для молодых специалистов были типичны для позднесоветского периода.,эпизод,,,True,комната в трёхкомнатной квартире,,,,,,,,
7,профессиональная жизнь и перестройка,"работа в животноводстве, распад хозяйств и переход к частной инициативе","Работала по специальности до 2000 года, затем хозяйство развалилось. Перешла к частной деятельности: держала корову, продавала молоко и молочные продукты на рынке.","А потом, когда работа уже не стала по большому счету, то мы купили сепаратор, делали сметану, творог. И я ездила на рынок торговать.","приспособляемость, легкая грусть, активность","трудолюбие, выживаемость, предприимчивость",Переход от государственной занятости к частной инициативе отражает экономические и социальные изменения 1990-х годов.,перелом,,,,,True,,,,,,,
1,юность,Случайное знакомство и начало журналистской карьеры,"Респондентка случайно познакомилась с журналистами районной газеты, когда ехала на попутке. Её рассказ о жизни произвел впечатление, и позже её пригласили работать корреспондентом.","И она сказала, вот вам корреспондент. Вот так. Оказалось, что им требовался корреспондент в психозотдел, короче говоря. Но и тут оказалась я со своим подвешенным языком, со своей любовью к литературе и прочее. И так я попала в журналистику.","вдохновение, удивление, радость","инициативность, коммуникабельность, любовь к литературе",Случайные встречи и неформальные знакомства играли важную роль в профессиональной социализации в малых городах и сёлах. Важна роль личного впечатления и рассказа о себе.,перелом,,районная газета,,,,,,,,,,
2,ранняя зрелость,Работа в журналистике и сельская жизнь,"Работа в районной газете сочеталась с ведением личного хозяйства. Респондентка писала о жизни односельчан, сельском быте, труде, и эти тексты были востребованы читателями.","Я очень много писала тогда, я писала и про своих односельчан, про там, где я жила, это называлось село Веденское.","гордость, удовлетворение, ностальгия","трудолюбие, честность, связь с землёй, уважение к простым людям",Сельская журналистика выполняла функцию хроники и поддержки локальной идентичности. Личный опыт автора и знание сельской жизни повышали доверие к публикациям.,эпизод,,районная газета,,,личное подсобное хозяйство,,,,,,,
3,ранняя зрелость,Профессиональные курьёзы и внутренняя культура редакции,"В редакции сложились свои шутки и традиции, связанные с профессиональными ошибками и особенностями сельской тематики.","И у нас ходило, что когда мы хотели что-то сказать, ну что типа... это вообще какая-то ересь. Мы всегда говорили, ну, комбайны все готовы, собственно говоря, поэтому...","юмор, ирония, сплочённость","профессионализм, самоирония, коллективизм","Редакционный коллектив формировал собственную субкультуру, где профессиональные ошибки становились поводом для шуток и укрепления командного духа.",узел,,районная газета,,,,,,,,,,
4,ранняя зрелость,Сочетание работы и сельского быта,"Работа журналистом сочеталась с ведением хозяйства: приходилось вставать рано, доить корову, заниматься домашними делами до поездки в редакцию.","Я работала в редакции, и у нас была дома корова. И поэтому вставать приходилось рано утром, доить ее, выгонять в поле, и потом уже садиться на автобус и уезжать.","усталость, но и удовлетворение","ответственность, трудолюбие, семейственность","Для женщин в сельской местности характерно совмещение профессиональной и домашней нагрузки, что формирует особый тип жизненной устойчивости.",эпизод,,,,,личное подсобное хозяйство,,,,,,,
5,ранняя зрелость,"Наблюдение за жизнью односельчан, локальные истории","Респондентка описывает бытовые и любовные истории односельчан, которые становятся материалом для её публикаций и формируют локальную идентичность.","А мне говорят, так это сосед у тебя в огородах, Петя Улинов. Это он, говорит, играет на баяне, говорит, Лиде своей. Лида корову дует, а Петя ей настроение поднимает.","теплота, умиление, интерес","человечность, любовь, наблюдательность",Локальные истории и бытовые детали становятся частью коллективной памяти и культурного кода сельского сообщества.,эпизод,,,,,,,,,,,,
6,ранняя зрелость,Профессиональная компетентность и уважение к сельскому труду,"Респондентка, как специалист сельского хозяйства, критически относилась к неточностям в публикациях и уважала труд сельчан.","Я его спросила, говорю, «Вы меня, ради Бога, извините, но как может нетель давать молоко, если она еще не растелилась?»","уверенность, уважение","компетентность, честность, уважение к труду",Профессиональные знания и опыт позволяют женщине занимать авторитетную позицию в редакции и среди сельчан.,эпизод,,районная газета,,,,,,,,,,
7,ранняя зрелость,Любовь к сельскому населению и труду,"Респондентка выражает глубокое уважение к сельским жителям, их трудолюбию и жизненным трудностям, противопоставляя стереотипам.","Вот эта вот любовь, я, конечно, вот сейчас переехала уже, я вот 10 лет живу, ну, практически в Санкт-Петербурге. Вот. Но вот эта вот любовь вот к этому сельскому, вот к труду, к сельскому, вот ко всему, она, конечно, осталась.","ностальгия, благодарность","уважение к труду, связь с корнями, справедливость","Сельская идентичность сохраняется даже после переезда в город, формируя особое отношение к жизни и людям.",декларация,,,,,,,,,,,,
8,ранняя зрелость,Культурная жизнь села,"В селе важную роль играли коллективные формы досуга: песни, совместные походы в кино, особенно на индийские фильмы.","А когда привозили индийские фильмы в Дом культуры, то даже дойку сдвигали пораньше на час, спрашивали там разрешения, чтобы доярки подоили, успели побежать домой, переодеться в красивое и прийти в кино индийское.","радость, единение","коллективизм, культурная жажда, традиции",Коллективные практики досуга укрепляли социальные связи и компенсировали трудовые тяготы.,эпизод,,Дом культуры,,,,,,,,,,
9,зрелость,"Переход к новой жизни, переезд и смена профессии","Респондентка решает изменить жизнь, уехать из села, осваивает компьютер, находит работу через интернет и переезжает сначала в Псковскую, а затем в Ленинградскую область.","Я научилась на нем работать, я закончила курс компьютерные. Интернет, конечно, был очень слабенький, очень такой вот. Но, тем не менее, я в интернет заходила, я нашла сайты какие-то рабочие, я скинула резюме.","решимость, тревога, надежда","саморазвитие, независимость, адаптивность",Переход к цифровым технологиям и мобильность становятся ключевыми для смены жизненного уклада и профессиональной траектории.,перелом,,,"газификация, вода в доме",,рынок труда,,,,,,,
10,зрелость,"Петербургский этап жизни, новые возможности и путешествия","Переезд в Ленинградскую область открыл новые возможности: близость к городу, занятия индийскими танцами, первая поездка за границу (в Индию).","Вот отсюда я первый раз выехала за границу. Как раз в Индию. Я познакомилась с индоманками... И я вот в один такой тур я попала. Вот две недели в Индии. Для меня, конечно, это сказка, которая до сих пор осталась.","восторг, вдохновение, благодарность","открытость новому, культурное любопытство, самостоятельность","Городская среда и новые знакомства расширяют горизонты, способствуют культурной и личной самореализации.",эпизод,,"совхоз Лугутеймана, Санкт-Петербург",,,,,,,,,,
11,детство,"Семейная история: родители, бабушка, брат","Респондентка росла в большой и дружной семье, несмотря на развод родителей. Близкие отношения с мамой, тетей, бабушкой и двоюродным братом.","Мы жили одной семьей... Дом был на две половины. В одной стороне жили мы втроем. А на второй половине жила тетушка, бабушка наша, мамина мама и Миша. И мы жили просто одной семьей.","теплота, благодарность, лёгкая грусть","семейственность, поддержка, традиции",Расширенная семья и совместное проживание были важным ресурсом поддержки и социализации в советское и постсоветское время.,эпизод,,семья,,,,,,,,,,
12,детство,Развод родителей и образ отца,"Отец был моряком, не пил, но позже что-то изменилось, и родители развелись, когда респондентка была в 4-5 классе.","Мама с ним развелась, потому что он, когда она выходила за него замуж, он был непьющий. Он был моряком, рыбаком.","грусть, принятие","честность, трезвость, самостоятельность","Развод родителей воспринимается как вынужденная мера, но не разрушает семейную поддержку со стороны других родственников.",перелом,,,,,,,,,,,,
13,детство,Бабушка и семейные традиции,"Бабушка была родом из Подмосковья, отличалась манерами и традициями, устраивала парадные выходы в магазин.","Она доставала свое парадное пальто, она одевала шляпу. Она одевала перчатки, и мы шли в магазин.","умиление, уважение","традиции, достоинство, семейная память",Передача культурных и поведенческих норм через старшее поколение формирует чувство достоинства и семейной идентичности.,эпизод,,,,,,,,,,,,
1,ранняя профессиональная жизнь,Выбор профессии и смена карьеры,"Респондентка изначально выбрала профессию зоотехника, но из-за отсутствия подходящей работы была вынуждена сменить сферу деятельности и стала журналистом по сельскому хозяйству.","Я просто вынуждена была поменять это все, потому что, ну, вот я говорю, в журналистику я пошла, потому что работы не было, вот, хотя это тоже меня затянуло потом.","легкая грусть, сожаление, принятие","профессиональная самореализация, стабильность, любовь к животным","Ситуация типична для жителей сельской местности, где ограниченный рынок труда вынуждает менять профессиональные планы. Респондентка демонстрирует адаптивность и готовность к переменам.",перелом,,"образовательные учреждения, сельскохозяйственные предприятия",,,вынужденная смена профессии,,,,,,,
2,молодость и зрелость,Личная жизнь и отношения,"Респондентка не состояла в браке и не имела серьезных отношений, объясняя это отсутствием подходящих людей в деревне. Тем не менее, отмечает наличие поддержки и помощи от окружающих.","Отношений не было. Не из кого было выбрать, к огромному сожалению.","сожаление, легкая грусть, принятие","искренность, самостоятельность, поддержка со стороны окружения","Описывает типичную для малых населённых пунктов проблему демографического дисбаланса и ограниченного круга общения, что влияет на формирование семей.",декларация,,,False,,,,,,,,,
3,зрелость,Путешествия и культурные впечатления,"Респондентка совершила несколько ярких поездок — в Индию и Израиль, где познакомилась с новыми людьми и получила культурные впечатления. Путешествия стали важной частью её жизни.","Я посмотрела Калькутту, всю там с пригородами. Я посмотрела, как живут индейцы, эти дома. Короче говоря, мне было неинтересно. Я вот слетала туда еще раз.","вдохновение, интерес, удовлетворение","любознательность, открытость новому, дружба","Путешествия выступают способом расширения горизонтов и поддержания социальных связей, в том числе с эмигрировавшими друзьями.",эпизод,1.0,,,,туризм,,,,,,,
4,настоящее время,Повседневная жизнь и досуг,"Респондентка живет размеренной жизнью: работает по сменному графику, занимается домашними делами, ухаживает за кошками, встречается с друзьями, участвует в творческом клубе и поет.","Я люблю готовить, но не скажу, что я большой какой-то кулинарный блогер, но готовить я люблю. Тем более, что у меня еще две кошечки.","спокойствие, удовлетворение, легкая радость","домашний уют, творчество, дружба, забота о животных","Жизнь респондентки характеризуется устойчивым бытом, активным участием в локальных сообществах и творческой самореализацией.",узел,,,,,,"городская квартира, первый этаж, балкон",две кошки,,,,,
5,настоящее время,Работа и трудовые отношения,"Работает продавцом в рыбном отделе по трудовому договору. Описывает особенности работы, взаимодействие с покупателями, отношение к коллективу и руководству, а также плюсы и минусы занятости.","Я работаю продавцом. Продавцом в рыбном отделе. Поэтому, конечно, продавец всегда общение с покупателями, да, с людьми.","спокойствие, профессионализм, легкая усталость","ответственность, уважение к людям, стабильность",Работа в розничной торговле требует коммуникативных навыков и стрессоустойчивости. Респондентка ценит официальное трудоустройство и гарантии.,узел,,торговая сеть,,,наемный труд,,,трудовой договор,,,,
6,настоящее время,Отдых и отпуск,"Отпуск респондентка проводит по-разному: иногда дома, иногда в поездках, в последнее время предпочитает санатории и экскурсионные туры. Планирует поездку в Белоруссию.","Я купила себе путевку в санаторий. в дом отдыха. Дом отдыха там с лечением, но я поехала просто так, на неделю просто отдохнуть.","удовлетворение, интерес, забота о себе","здоровье, новые впечатления, самостоятельность",С возрастом растет ценность организованного отдыха и заботы о здоровье. Отпуск становится способом восстановления и получения новых впечатлений.,эпизод,,,,,"санаторно-курортные услуги, туризм",,,,санаторное лечение,,,
1,"настоящее, зрелый возраст",Работа и праздники,"Респондентка рассказывает о своей недавней работе, особенностях рабочего графика и о том, как это влияет на празднование Нового года. Новый год прошёл буднично из-за работы, усталости и отсутствия желания отмечать традиционно.","Конечно, нового года как такового не получилось. Почему? Потому что мы работали 31 числа, мы работали до очереди-очереди-очереди, то есть я приползла просто домой.","усталость, спокойствие, принятие","трудолюбие, самостоятельность, личный комфорт","Работа занимает значительное место в жизни респондентки, определяя ритм и даже формат праздников. Отмечается снижение значимости традиционных праздников и ориентация на собственное самочувствие.",эпизод,,место работы,,,,,,,,,,
2,"настоящее, зрелый возраст",Восстановление и культурная жизнь,"Респондентка делится, как восстанавливается после работы: благодаря удобному графику и посещению концертов, театров, культурных мероприятий. Особенно вдохновляют классические концерты и балет.","Вот потом после этого концерта ты едешь, как будто за спиной крылья. Вот я выхожу из этого зала, и у меня за спиной крылья.","вдохновение, радость, окрылённость","культура, искусство, личное развитие",Культурные практики становятся важным ресурсом восстановления и эмоционального наполнения. Доступность культурных мероприятий в большом городе (Санкт-Петербург) повышает качество жизни.,эпизод,,"культурные учреждения (концертные залы, театры)",,,,,,,,,,
3,"настоящее, зрелый возраст",Дружба и совместные культурные впечатления,"Респондентка рассказывает о подругах, с которыми посещает спектакли и делится впечатлениями от встреч с великими артистами. Важную роль играют совместные культурные переживания.","Я хочу сказать, что вот я единственный раз вживую видела Инну Чурикову... этот момент мне так запал в память. Это было так, знаете, это было так... так тонко. так танцевально, вот так, знаете, сексуально-эротически, вот в высшем понимании этого слова.","восторг, трепет, благодарность","дружба, искусство, память","Дружба поддерживается через совместное участие в культурной жизни, что укрепляет социальные связи и создает значимые воспоминания.",эпизод,,"театр, культурные сообщества",,,,,,,,,,
4,детство и юность,Детские и юношеские дружбы,"Вспоминает школьную подругу Олю, с которой их связывали литературные интересы и совместное творчество. Дружба была тесной, несмотря на расстояние.","Я писала, ну вот мы, например, читали «Взахлеб», она тоже очень любила читать... Я пишу, например, четверостишье свое какое-то, а она в ответ, она продолжает эту вот тему...","ностальгия, тепло","творчество, интеллектуальное общение, близость","Детские и юношеские дружбы формируются на основе общих интересов и совместного творчества, что способствует развитию коммуникативных и творческих навыков.",эпизод,,школа,,,,,,,,,,
