id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation,religion,region,psychological_support,family_structure,social_guarantees,psychological_coping,career_mobility
4,"Взрослая жизнь, семейные роли",Профессия мужа и семейный доход,"Муж — юрист, работает в разных фирмах, имеет дополнительный доход, официально оформленный.","Муж у меня юрист, и он, так сказать, на свободных хлебах. То есть он как бы официально то в одной фирме, то в другой, но имеет как это называется, ну, дополнительный доход.","Уверенность, спокойствие","Профессионализм, легальность, самостоятельность","Мужчина реализует стратегию диверсификации доходов, что типично для нестабильного рынка труда.",декларация,,,,,,,,,,,
5,"Родительство, воспитание детей","Воспитание дочери, выбор школы и увлечения","Дочь занималась танцами и музыкой, родители старались дать ей разностороннее развитие. Школу выбирали рядом с домом из-за логистики.","Школу выбирали поближе к дому. Самая обыкновенная школа. Ничего такого. Хотя многие рекомендовали в гимназию куда-то поездить. Это хлопотно, потому что машина у нас одна.","Забота, практичность","Развитие детей, удобство, семейная логистика","Выбор школы определяется не только качеством образования, но и доступностью, что характерно для семей с ограниченными ресурсами.",узел,,,,,,,,,,,
6,"Родительство, подростковый возраст дочери",Переходный возраст дочери и профориентация,"Дочь переживала подростковый кризис, пробовала разные направления, в итоге выбрала международные отношения, несмотря на сложности с поступлением.","Она бунтовала. Что-то хотелось тоже своего, то музыкальные у нее были какие-то там порывы, то она хотела в консерваторию поступать.","Тревога, поддержка","Самостоятельность, поддержка, уважение к выбору ребенка","Родители сталкиваются с необходимостью поддерживать самостоятельность подростка, несмотря на внутренние тревоги.",эпизод,,,,,,,,,,,
7,"Родительство, взросление дочери",Поступление дочери в вуз и самостоятельность,"Дочь поступила в Ростовский университет на платное отделение, живет отдельно с подругами, работает во время учебы.","Жить, она сказала, будет отдельно. Это случилось на втором курсе, потому что, ну вот, сказала... Все, раз общежитие не положено, а снимать самостоятельно тоже, как бы, ну, не то, что накладно, но обучение платное, ну, накладно, да.","Гордость, тревога","Самостоятельность, образование, поддержка семьи","Переход к самостоятельной жизни у молодежи часто связан с финансовыми трудностями, но поддерживается родителями.",перелом,,0.0,,аренда жилья,,,,,,,
8,"Родительство, младший ребенок",Воспитание младшего сына,"Сыну сложно подобрать секцию из-за особенностей здоровья, сейчас основное внимание уделяется подготовке к школе.","Он нигде ничего. То есть ему тяжело. Ну, там не проблема с здоровьем, но больше, так сказать, нехватка веса у нас.","Забота, тревога","Здоровье, индивидуальный подход, терпение","Родители адаптируют стратегии воспитания под индивидуальные особенности ребенка, опираясь на рекомендации специалистов.",эпизод,,,,,,,,,,,
9,"Взрослая жизнь, быт и домашние животные",Животные в семье,"В семье всегда были животные, сейчас живут две кошки. Респондентка мечтает о собаке, но считает, что это возможно только в частном доме.","Я очень люблю собаку. Когда я была в детстве, у нас всегда была собака. ... Но я в квартире против собак, поэтому у нас есть кошка старенькая, 13 лет...","Ностальгия, мечтательность","Любовь к животным, ответственность, реализм","Домашние животные — часть семейной идентичности, но решения о них принимаются с учетом бытовых ограничений.",декларация,,,,,,,,,,,
10,Детство и родительская семья,Семейные ценности и отношения с родителями,"В детстве респондентка росла в строгой, но поддерживающей семье. Отец был сдержан, мать — мягкая и поддерживающая. Главные ценности — взаимопомощь, компромисс, семейные разговоры.","Учили всегда добру. Помогать близким. Вера в лучшее, вера в хорошее. Взаимовыручка.","Благодарность, теплота","Взаимопомощь, доброта, компромисс, семейная поддержка","Семейные традиции и ценности переносятся в собственную семью респондентки, формируя паттерны поведения и воспитания.",узел,,,,,,,,,,,
11,Детство,Дефицит внимания и гиперопека,В детстве респондентке не хватало внимания из-за занятости родителей. Это привело к гиперопеке по отношению к своим детям.,"Вот, наверное, то, что мне не доставало у меня в детстве, наверное, я принесла на своих детей. То есть это, наверное, можно сказать, как старшая говорит уже потом, гиперопека.","Рефлексия, сожаление","Забота, внимание, саморефлексия",Опыт дефицита внимания в детстве часто компенсируется гиперопекой в собственном родительстве.,декларация,,,,,,,,,,,
12,Детство,Семейные традиции — круглый стол,"Важной традицией было собираться всей семьей за круглым столом по воскресеньям, что ассоциируется с ощущением счастья и поддержки.","Да, это воскресенье, это было, да, у меня вот это воскресенье, да, либо чай пить, либо там что-то бабушка, мама пекла...","Теплота, ностальгия","Семейные традиции, общение, поддержка","Семейные ритуалы формируют чувство принадлежности и безопасности, становятся опорой в трудные периоды.",эпизод,,,,,,,,,,,
13,Школьные годы,Отношения с учителями и учеба,"Любимыми предметами были литература и математика. Учителя были в целом хорошие, но не хватало индивидуального подхода и живого интереса к предмету.","Когда у нас литература, то есть это другое, наверное, все. И тут у нас она была классным руководителем, и она настолько интересно это все подавала...","Благодарность, интерес","Образование, личностное развитие, уважение к учителю",Влияние харизматичного учителя может стать ключевым фактором в формировании интереса к предмету и самоопределения.,эпизод,школа,,,,,,,,,,
14,Переход от школы к профессии,Профессиональное самоопределение,"В детстве и юности не было четкого представления о будущей профессии. Рассматривались разные варианты, но ни один не казался своим призванием.","Конкретно у меня не было мнения, кем я хочу стать. Спрашивают в детстве, потом... В школе часто спрашивали, писали сочинения, кем вы хотите стать, кем вы мечтаете. Для меня это всегда было сложно понять, кем я хочу.","Неуверенность, размышление","Осознанность, ответственность","Отсутствие четкой профессиональной идентичности характерно для многих представителей поколения, выросшего в условиях перемен.",декларация,,,,,,,,,,,
1,студенчество,первые трудовые опыты,"Во время учебы в институте респондентка подрабатывала на почте и в библиотеке, проявляя инициативу и готовность браться за любую работу, несмотря на отсутствие профильного образования.","Я просто приходила, говорила, вот, легко могла зайти в любую, ну, и мне, конечно, соглашали. Я говорю, да, я студент. Вот, вот моя студентка. Я говорю, хочу помочь, это самое, ну, если у вас вакансия.","уверенность, легкая ирония","инициативность, трудолюбие, самостоятельность","Ранний опыт самостоятельного заработка характерен для студентов, стремящихся к финансовой независимости и социальной адаптации. Готовность выполнять любую работу говорит о практичности и отсутствии завышенных ожиданий.",эпизод,"институт, почта, библиотека",,,,,,,,,,
2,"зрелость, семейная жизнь",стрессовые и переломные ситуации,"Респондентка сталкивалась с тяжелыми жизненными испытаниями: болезни и утраты близких, ограбление, трудности в семье и на работе мужа. Эти события воспринимаются как самые трудные моменты жизни.","Ну, вот, это для меня были, конечно, потеря близких, вот, это, ну, вот именно тяжелое, потому что у меня папа болел, бабушка лежала, у папы был инсульт два раза...","грусть, тревога, усталость","семья, забота о близких, стойкость","Тяжелые семейные события и бытовые потрясения (ограбление) — типичные стрессоры для женщин среднего возраста, несущих ответственность за благополучие семьи.",перелом,,0.0,,,,,,,,,
3,зрелость,стратегии преодоления стресса,"В трудные моменты респондентка опирается на личную веру, благодарность, бытовые ритуалы и советы бабушки. Использует медитации, музыку, бытовые действия для восстановления душевного равновесия.","Я верю, что там был Иисус, что было вот это все, и спасение. И считаю, что надо во что-то верить лучше... Я никогда... Нет, ну когда папа болел, я тогда просила, да. А в основном я считаю, что надо просто благодарить за то, что есть.","спокойствие, благодарность, принятие","вера, благодарность, внутреннее равновесие, традиции семьи","Личностная вера и семейные ритуалы выступают важным ресурсом преодоления стресса для женщин, не склонных обращаться к профессиональной психологической помощи.",узел,,,,,личная христианская вера,,,,,,
4,"настоящее, зрелость",типичный будний день,"Респондентка рано встает, организует утро семьи, готовит завтрак, собирает сына, планирует рабочий день. Предпочитает четкое планирование и ведет записи задач. После работы занимается бытовыми делами, закупками, готовкой.","Я люблю планировать и четко понимать хотя бы, что мне надо сделать, потому что очень много мелких таких задач, которые надо держать в голове.","деловитость, усталость, организованность","организованность, забота о семье, ответственность","Типичный день женщины с детьми и работой характеризуется высокой нагрузкой, необходимостью совмещать профессиональные и семейные обязанности, reliance on digital and paper planning tools.",эпизод,,,,"покупки в супермаркетах, доставка продуктов",,,,,,,
5,"настоящее, зрелость",рабочая жизнь и отношение к работе,"Работа требует высокой самоотдачи, часто приходится делать все самой. Структура и руководство часто меняются, что вызывает стресс. Респондентка научилась проще относиться к критике и не брать на себя лишнюю ответственность.","Раньше я очень критику очень сильно воспринимала... Сейчас я к этому уже отношусь совсем по-простому, потому что я вижу, как это, наверное, начальство так вот тоже себя поставило и так несет свою работу...","усталость, принятие, легкое разочарование","профессионализм, ответственность, адаптивность",Стабильная занятость в крупной компании с низкой оценкой труда и частой сменой руководства — типичная ситуация для работников среднего звена в госсекторе. Формируется стратегия эмоционального дистанцирования.,узел,РЖД,,,,,,,,,,
6,"настоящее, зрелость",мотивация и ценность работы,"Работа воспринимается прежде всего как источник стабильного дохода и соцгарантий, хотя уровень оплаты и признания недостаточен. Возможности карьерного роста и смены деятельности ограничены семейными обстоятельствами и личными предпочтениями.","Ну, наверное, 80% это все-таки стабильный доход, где-то какие-то бонусы какие-то, возможности заниматься физкультурой...","рациональность, умеренное недовольство","стабильность, социальные гарантии, семейные приоритеты","Для женщин с семейными обязанностями приоритетом становится стабильность и соцпакет, а не карьерные амбиции. Возможности миграции и смены работы ограничены семейными связями.",декларация,РЖД,,,"социальные услуги, компенсации",,,,,,,
7,"настоящее, зрелость",вечерняя рутина и досуг,"Вечером респондентка занимается домашними делами, готовит еду, иногда посещает культурные мероприятия или встречается с друзьями. В семье нет жестких правил досуга, каждый может выбирать свои занятия.","То есть мы можем либо куда-то вместе идти, либо, допустим, я куда-то могу, там, литературные встречи, я могу с Тамахой, да, я могу... То есть у нас нет четкого, допустим, что мы...","спокойствие, удовлетворение","семейная гибкость, самостоятельность, культурные интересы","Гибкая организация досуга и распределение домашних обязанностей характерны для современных городских семей, где ценится индивидуальность и личное пространство.",эпизод,,,,,,,,,,,
1,"Зрелый возраст, текущий период жизни",Распорядок недели и досуг,"Респондентка описывает свой типичный недельный график: фитнес, встречи с женским клубом, культурные мероприятия, семейные традиции по воскресеньям.","В воскресенье тоже я стараюсь проводить с семьей, потому что это единственный день, когда мы можем посидеть за круглым столом.","спокойствие, удовлетворенность, легкая усталость","семья, здоровье, общение, личное пространство","Респондентка выстраивает баланс между работой, личным временем, досугом и семейными обязанностями. Важную роль играют регулярные ритуалы и поддержка социальных связей.",эпизод,"фитнес-клуб, женский клуб, семья",0.0,,"покупка абонемента, посещение платных мероприятий",,,,,,,
2,"Зрелый возраст, последние 5 лет",Женский клуб и культурные активности,"Регулярные встречи с женским клубом, посещение театра, бани, литературных вечеров. Клуб существует около пяти лет, состав участников меняется.","Я уже лет пять, наверное, у нас негласный женский клуб. И вот мы встречаемся, общаемся с женщинами, и там все время идет, как сказать, обмен, мы называем это женскими энергиями...","энтузиазм, радость, вовлеченность","дружба, поддержка, саморазвитие, творчество","Женские клубы становятся важным пространством для неформального общения, обмена опытом и эмоциональной поддержки среди женщин среднего возраста.",узел,неформальный женский клуб,,,"посещение театров, кафе, бани",,,,,,,
3,"Зрелый возраст, текущий период",Совместный досуг с мужем и участие в квизах,"Респондентка рассказывает о совместных мероприятиях с мужем, участии в квизах, как в компании друзей, так и на работе. Квизы проходят раз в квартал, семейные мероприятия — 2-3 раза в месяц.","С мужем реже, но вот с клубом, считай, раз в неделю я точно хожу с девчонками, с мужем, ну, вот, наверное, ну, два раза точно в месяц, два-три раза в месяц.","удовлетворение, интерес, легкая усталость","семейные отношения, интеллектуальное развитие, разнообразие досуга","Совместные интеллектуальные и развлекательные активности укрепляют семейные и дружеские связи, а также поддерживают корпоративную культуру.",эпизод,"семья, рабочий коллектив",,,участие в платных и бесплатных квизах,,,,,,,
4,"Зрелый возраст, текущий период",Личное пространство и право на выбор,"Респондентка подчеркивает свою самостоятельность в выборе досуга и возможность уйти с мероприятия, если оно не нравится.","Я могу, если мне что-то не нравится, я могу развернуться и уйти. То есть я могу там 45 минут посидеть, но не заходит мне эта тема, допустим.","уверенность, независимость","самостоятельность, свобода выбора, уважение к себе",Для респондентки важно сохранять личные границы и не чувствовать себя обязанной участвовать в неинтересных ей активностях.,декларация,,,,,,,,,,,
5,"Зрелый возраст, текущий период",Семейные традиции и воскресенье,"Воскресенье — семейный день, наполненный совместными делами, прогулками, посещением родственников, иногда хозяйственными заботами.","Воскресенье, да, воскресенье такой день, где вот мы все вместе, да. Какие-то вот дела даже подходят до того, что мы можем убираться в воскресенье все вместе.","тепло, удовлетворение, спокойствие","семья, традиции, совместность",Семейные ритуалы и совместное времяпрепровождение укрепляют внутрисемейные связи и создают ощущение стабильности.,узел,,,,,,,,,,,
6,"Зрелый возраст, последние годы",Отпуск и путешествия,"Отпуск планируется заранее, чаще внутри страны, иногда с мужем вдвоем, иногда с ребенком. Предпочтение отдается санаториям, поездкам на природу, в Питер.","Вообще отпуск у нас запланирован. То есть вот так... Не бывает и спонтанно, но это вот Адыгея, Краснодар к друзьям. Это все по местности. За границу мы ездили, ну, два раза всего в жизни.","удовлетворение, практичность","планирование, здоровье, семейный отдых, экономия","Планирование отпуска и выбор направления зависят от финансовых возможностей, семейных обстоятельств и предпочтения к внутреннему туризму.",эпизод,,,,"покупка путевок, аренда жилья",,,,,,,
7,"Зрелый возраст, текущий период",Удовлетворенность ритмом жизни и способы восстановления,"Респондентка в целом довольна своим ритмом жизни, хотя отмечает сезонную усталость и потребность в отдыхе на природе, у воды.","Наверное, уши в спину, где-то что-то. Вот, допустим, я бы не хотела менять свой режим дня, допустим, под ежедневное занятие работой дома, допустим.","усталость, принятие, спокойствие","стабильность, природа, личное пространство","Привычный ритм жизни воспринимается как комфортный, а природа и вода — как ресурс восстановления.",декларация,,,,,,,,,,,
8,"Зрелый возраст, текущий период","Культурное потребление: театр, кино, книги","Посещение театра и кино зависит от интереса и финансовых возможностей. Книги читаются регулярно, предпочтение — печатным изданиям, но используются и электронные приложения.","Я очень люблю книги. У меня приложение есть для книг. Я читаю. Когда еду, могу в транспорте. Обратно очень большие пробки. Я могу в транспорте читать. Но я люблю именно печатные издания.","удовольствие, интерес, экономность","культура, саморазвитие, экономия",Культурное потребление адаптируется под семейный бюджет и личные интересы. Книги остаются важной частью досуга.,эпизод,,,,"покупка билетов, подписки на приложения",,,,,,,
9,"Зрелый возраст, текущий период",Вечерний распорядок и личное время,"После укладывания сына респондентка занимается собой, иногда общается с мужем, читает или занимается личными делами. Старается ложиться спать не поздно.","Переход к основным, главное, сено уложить и все. И дальше я уже занимаюсь собой, как бы, муж частенько берет работу домой.","спокойствие, легкая неудовлетворенность (из-за занятости мужа)","личное пространство, семейное общение, режим дня","Вечер — время для личных интересов и восстановления, но занятость мужа влияет на качество семейного общения.",эпизод,,,,,,,,,,,
10,"Зрелый возраст, текущий период",Близкие люди и социальные связи,"В центре внимания — мама, требующая заботы. Отношения с родственниками в основном формальные, с некоторыми поддерживается более тесная связь. С друзьями и подругами общение нерегулярное, но значимое.","Ну, наверное, сейчас самое важное для меня в данный период жизни, это, наверное, мама. Потому что сейчас она требует к себе внимания. Человек, возраст, и я стараюсь по возможности ей помочь.","забота, ответственность, легкая отстраненность","семейная поддержка, долг, независимость",Семейные связи становятся более значимыми с возрастом родителей. Отношения с родственниками и друзьями носят прагматичный и эпизодический характер.,узел,,,,,,,,,,,
