id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,region,housing_type,siblings,neighborhood,market_participation,housing_change,housing_promised,health_status,housing,collapse_context,insurance_status,housing_status,pets,digital_adaptation,insurance
10,"зрелость, кризисные ситуации",способы преодоления стресса и личностные черты,"В стрессовых ситуациях респондентка держала эмоции в себе, не позволяла себе истерик, старалась сохранять спокойствие, что впоследствии сказалось на нервной системе.",Я человек стеснительный. И свои эмоции как-то я всегда держала при себе. Я держала это всё в себе.,"сдержанность, внутреннее напряжение, стойкость","самоконтроль, выдержка, спокойствие","Стратегия эмоционального сдерживания характерна для поколения, воспитанного в условиях коллективизма и необходимости соответствовать социальным ожиданиям.",декларация,,,,,,,,,,,,,,,,
1,Детство и школьные годы,"Семья, воспитание и школьная социализация","Респондентка выросла в семье с тремя дочерьми, детский сад не посещала, за ней присматривали старшие сестры. Вспоминает дружный двор, поддержку внутри двора, а также сложности первого класса из-за отсутствия дошкольной подготовки. Учительница жила рядом, что дисциплинировало. В школе учёба шла хорошо, любимый предмет — арифметика, нелюбимые — черчение и геометрия.","В садик детский вы не ходили, потому что за вами, получается, приглядывали старшие сестры... жили вы дружно, двор у вас был дружный... учение в школе у вас в принципе тоже проходило хорошо...","Тёплая ностальгия, спокойствие","Семейная поддержка, дружба, дисциплина, образование",Опыт социализации вне детского сада компенсировался семейной и дворовой поддержкой. Важную роль играла близость учителя и неформальные механизмы контроля.,эпизод,"школа, семья, двор",,,,,,,,,,,,,,,
2,Юность и ранняя взрослость,Образование и профессиональный выбор,"Респондентка хотела поступить на филолога, но не прошла по баллам и выбрала техническое образование. Позже работала на заводе, где вступила в коммунистическую партию, чему способствовала свекровь-коммунистка.","Потом хотели вы поступить на филолога, но вы не прошли по баллам и пошли вы, получается, на техническое образование. Потом пошли работать, поступили потом еще раз...","Сдержанная удовлетворённость, принятие обстоятельств","Образование, труд, адаптация к обстоятельствам, партийная принадлежность","Профессиональный выбор определялся не только личными желаниями, но и социальными ограничениями (баллы, влияние семьи). Вступление в партию — элемент социальной мобильности и интеграции в коллектив.",узел,"завод, партия, система образования",,,,,,,,,,,,,,,
3,"Молодая семья, материнство","Семейная жизнь, рождение детей, испытания","После замужества у респондентки родился сын, затем дочь. Семья столкнулась с серьёзной болезнью сына (порок сердца), что стало тяжёлым испытанием. В этот период она начала работать вахтёром.","А потом у вас родился сын. Да, я не путаю хронологию, вот в чем вопрос... через 4 года у вас родилась дочь, а потом вы узнали, что у вас вот такая беда, у сына порог сердца, правильно?","Тревога, забота, стойкость","Семья, забота о детях, преодоление трудностей",Семейные кризисы (болезнь ребёнка) становятся точкой мобилизации ресурсов и перестройки семейных ролей. Работа вахтёром — вынужденная адаптация.,перелом,,,,,,"низкая, вынужденная занятость",,,,,,,,,,
4,"Зрелость, 1990-е годы",Экономические трудности и стратегии выживания,"В 1990-е годы семья столкнулась с отсутствием зарплаты, но выживала за счёт поддержки родителей-пенсионеров, собственного огорода и смекалки.","Там нас выручали родители. Родители уже были пенсионерами... У нас был огород, который нас спасал.","Сдержанная благодарность, стойкость","Семейная взаимопомощь, самостоятельность, выживание",Типичная для 1990-х стратегия выживания — опора на межпоколенческую поддержку и натуральное хозяйство.,эпизод,,,,,,,,"частный дом, огород",,,,,,,,
5,"Пенсионный возраст, современность","Повседневная жизнь, забота о внуках, досуг","День респондентки насыщен заботой о внуках, домашними делами, физкультурой (после инсульта), общением с подругами и активным участием в жизни двора и города. Существует традиция встреч с подругами в кафе, активное онлайн-общение в группе 'молодые пенсионерки'.","Я, например, скажем, диабетик, то мне уже, естественно, приходится готовить завтрак уже персонально еще для себя... У нас очень хорошая компания подружки... Мы обязательно идем в кафе.","Удовлетворённость, бодрость, лёгкая усталость","Семья, здоровье, дружба, активность, традиции","Пенсионный возраст наполнен заботой о внуках и поддержанием социальных связей. Важна роль женских сообществ и новых форм досуга (кафе, онлайн-группы).",эпизод,,,,,,"низкая, неработающая пенсионерка",,,"диабет, последствия инсульта",,,,,,,
6,"Пенсионный возраст, современность","Семейные традиции, праздники, досуг","Семья активно отмечает дни рождения, годовщину свадьбы (1 апреля), профессиональные праздники (День нефтяника), 9 мая. Появились новые традиции — отмечать праздники в кафе. Важна баня как семейный ритуал.","Потом у нас большим праздником считается день нашей свадьбы. Мы поженились 1 апреля, день смеха... Сейчас вот у нас дочь ввела традицию, нас дочь приглашает уже в этот день в кафе.","Радость, гордость, сплочённость","Семейные традиции, праздники, преемственность",Праздники и семейные ритуалы — важный элемент идентичности и сплочения семьи. Переход к празднованию вне дома отражает изменение городских практик досуга.,эпизод,,,,,,,,"частный дом, баня",,,,,,,,
7,"Пенсионный возраст, современность","Отдых, отпуск, санаторное лечение","В молодости респондентка путешествовала по путёвкам, в том числе самостоятельно. После замужества — совместные поездки с мужем. Сейчас предпочитает отдых в санаториях, мужу как пенсионеру-нефтянику выделяют путёвки раз в три года.","Когда молодая была, мы ездили по путёвке... А вот уже сейчас на пенсии как-то мы уже больше... предпочитаем отдыхать, ездить в санатории.","Удовлетворённость, спокойствие","Здоровье, новые впечатления, семейный отдых","Изменение форм отдыха с возрастом: от самостоятельных и семейных поездок к санаторному отдыху, что связано с состоянием здоровья и социальными гарантиями для пенсионеров.",эпизод,"санаторий, профсоюз нефтяников",,,,,потребление услуг санаториев,,,,,,,,,,
1,"пожилой возраст, пенсионный период",Понимание комфорта и отдыха,"Респондентка описывает, что для нее важно в отдыхе: уютная комната, телевизор, хорошая кухня, природа. Отдых воспринимается не как лечение, а как возможность расслабиться и насладиться окружающей средой.","Вот для меня комфорт. чтобы была хорошая комната уютная, чтобы обязательно телевизор был. Потому что ведь, скажем, я еду не столько, скажем, лечиться, а сколько просто отдохнуть.","спокойствие, удовлетворение","комфорт, уют, отдых, наслаждение природой","Для пожилых людей отдых часто становится способом поддерживать качество жизни и эмоциональное благополучие, а не только заботой о здоровье.",декларация,,,,,,,,,,,,,,,,
2,"пожилой возраст, пенсионный период",Социальные связи во время отдыха,"Респондентка подчеркивает важность компании и общения во время отдыха. Несмотря на близость с мужем, ей необходимо расширять круг общения, заводить новые знакомства.","Компания обязательно нужна. Обязательно нужна, потому что мы так с мужем целыми днями, как говорится, с утра до вечера вместе.","оживление, радость","общительность, дружелюбие, новые знакомства",Общение и новые социальные связи важны для поддержания психоэмоционального состояния в пожилом возрасте.,декларация,,,,,,,,,,,,,,,,
3,"пожилой возраст, пенсионный период",Мечты о путешествиях и впечатлениях,"Респондентка мечтает о поездке в Эмираты, чтобы получить новые впечатления. Для нее важно не только спокойствие, но и возможность увидеть новое.","Я хотела, например, побывать в Эмиратах, попасть в Эмираты. Для меня это было бы это. Все-таки уже посмотреть все это новое, незнакомое для меня.","мечтательность, воодушевление","новизна, впечатления, расширение кругозора","Потребность в новых впечатлениях сохраняется и в пожилом возрасте, несмотря на ограничения по здоровью и финансам.",декларация,,,,,,,,,,,,,,,,
4,"пожилой возраст, пенсионный период",Ограничения и планы,"Респондентка признает, что не строит грандиозных планов из-за семейных обстоятельств и состояния здоровья.","Нет, таких пока нет. Нету грандиозных планов, чтобы это... Потому что, во-первых, это по семейным обстоятельствам, по состоянию здоровья.","смирение, легкая грусть","реализм, забота о семье, здоровье",Пожилые люди часто вынуждены корректировать свои планы из-за объективных ограничений.,декларация,,,,,,,,,,,,,,,,
5,"пожилой возраст, пенсионный период",Повседневная жизнь и рутина,"Респондентка в целом довольна своим распорядком дня, но отмечает, что иногда планы срываются из-за здоровья или непредвиденных событий.","Я бы сказала, что это довольно. Но бывает, конечно, когда что-то запланируешь, что-то не получается, из-за здоровья не получается.","удовлетворение, легкая неудовлетворенность","стабильность, адаптация, принятие","Рутина и стабильность важны для пожилых, но здоровье становится фактором неопределенности.",декларация,,,,,,,,,,,,,,,,
6,"пожилой возраст, пенсионный период",Материальное положение и его влияние на жизнь,"Респондентка отмечает, что материальное положение влияет на настроение и возможности. При лучшем финансовом положении она бы строила больше планов и путешествовала.","У нас пенсии маленькие. Вы знаете, это материальное положение, оно все равно влияет и на настроение иногда влияет, оно влияет на многое.","фрустрация, сожаление","материальное благополучие, возможности, забота о семье","Финансовые ограничения — ключевой фактор, сдерживающий активность и планы пожилых людей.",декларация,,,,,,,,,,,,,,,,
7,"пожилой возраст, пенсионный период",Семейные ценности и мир,"Респондентка считает главным, чтобы все были живы-здоровы, чтобы был мир. Особое беспокойство вызывает участие родственника в СВО.","И самое главное, чтобы был мир, потому что у нас, скажем, племянник, вот у меня двоюродный, они на СВО. Поэтому хочется мира, чтобы быстрее кончилась война.","тревога, надежда","семья, здоровье, мир","В пожилом возрасте ценности смещаются к базовым: здоровье, безопасность, мир в семье и обществе.",декларация,,,,,,,,,,,,,,,,
8,"пожилой возраст, пенсионный период",Распорядок дня и семейные традиции,"Респондентка подробно описывает свой распорядок дня, включающий заботу о внуках, домашние дела, традиции выходных и праздников, поездки в санаторий.","В воскресенье у вас банный день, это можно назвать даже традицией у вас, правильно? Баню топит ваш муж, никого к ней не подпускает, ну и соответственно к вам приезжает уже вся семья, и вы как бы вместе проводите время, ходите в баню.","удовлетворение, теплота","семья, традиции, забота о близких","Семейные традиции и рутина структурируют жизнь пожилых людей, создают ощущение стабильности и принадлежности.",эпизод,,,,,,,,,,,,,,,,
9,"пожилой возраст, пенсионный период",Семейные связи и структура семьи,"Респондентка рассказывает о своей семье: муж, дети, сестра, немногочисленные родственники. Дочь живет с родителями, сын — отдельно. Дочь оказывает материальную поддержку и принимает важные решения.","Дочь закончила тоже у меня, вначале закончила технику политехническую, затем она окончила наш нефтяной институт и вот сейчас, буквально месяца 4 назад, по-моему, когда получила диплом еще строительного института. Тоже работает в строительной фирме. Она нас материально обеспечивает.","гордость, благодарность","семья, поддержка, образование","В пожилом возрасте дети становятся опорой, особенно если живут вместе и оказывают материальную поддержку.",узел,семья,,,,,,,,,,,,,,,
10,"пожилой возраст, пенсионный период",Семейные конфликты и их преодоление,"Респондентка вспоминает конфликты с сыном в подростковом возрасте, связанные с разными взглядами и строгостью. С дочерью отношения более мягкие. Сейчас серьезных конфликтов нет.","У нас на этом фоне были конфликты. Были, были сильные конфликты. Все это было так, что мы не разговаривали. Как говорится, и крики. Все было, все было. Ну а с дочерью, с ней проще.","сожаление, принятие","понимание, терпимость, семейная гармония","Межпоколенческие конфликты типичны, но с возрастом родителей и детей отношения смягчаются.",эпизод,,,,,,,,,,,,,,,,
11,"пожилой возраст, пенсионный период",Финансовые взгляды и межпоколенческие различия,"Респондентка не поддерживает кредиты и рассрочки, считая, что за все нужно платить и рассчитывать свои силы. Сын придерживается более современных взглядов.","Если мы жили без этих кредитов, без всего как-то, за все надо отвечать, за все надо отвечать, за все надо платить, надо всегда... Ну, это опять-таки, видите, моя политика, что нужно рассчитать...","настороженность, убежденность","ответственность, расчетливость, финансовая дисциплина",Различия в финансовых стратегиях между поколениями отражают изменения в экономической культуре.,декларация,,,,,,отрицательное отношение к кредитам,,,,,,,,,,
12,"пожилой возраст, пенсионный период",Семейные традиции,"В семье есть традиции: совместные походы в баню, катание на сноуборде, ежегодные встречи с племянницей и посещение могил родителей.","Это прямо у них традиция, что они собираются в выходной, когда погода соответствует. Потом у нас традиция, скажем, у меня есть родная племянница, которая на севере. Вот она каждый год в июле с внуками приезжает к нам в гости.","теплота, радость","семейные традиции, память, совместный досуг",Семейные традиции укрепляют межпоколенческие связи и поддерживают идентичность семьи.,эпизод,,,,,,,,,,,,,,,,
13,"пожилой возраст, пенсионный период",Отношения с мужем и история знакомства,"Респондентка рассказывает о близких отношениях с мужем, умении понимать друг друга без слов, особенностях его характера и мечте о большой семье, которую не удалось реализовать из-за болезни сына.","Говорят, муж и жена – одна сатана. Я же говорю то, что уже друг дружку с полу взгляда, даже не полный взгляд, а так уже боком глянет, уже понимаешь, что хочет, что я хочу или что он хочет.","близость, легкая грусть","любовь, взаимопонимание, семейность","Долгий брак и совместная жизнь формируют особую глубину взаимопонимания, а не реализованные мечты часто связаны с объективными обстоятельствами.",узел,,,,,,,,,,,,,,,,
