id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,region
1,Поступление в вуз,Выбор специальности и поступление,"Респондентка поступила на педиатрический факультет, так как на лечебный факультет был высокий проходной балл, а на педиатрию можно было поступить с более низкими оценками.","Мы смогли поступить только на педиатрию, потому что на лечебный факультет был высокий балл, то есть брали только с максимальным баллом, а на педиатрию можно было с тройкой попасть, поэтому я пошла на педиатрию.","Сдержанность, рациональность","Прагматизм, адаптация к обстоятельствам","Выбор профессии обусловлен не столько призванием, сколько внешними ограничениями и прагматическим подходом к возможностям.",эпизод,Медицинский институт,,,True,
2,Учёба в вузе,Трудности обучения и поддержка,Учёба в медицинском институте оказалась сложной из-за отсутствия структурированности знаний и необходимости осваивать большие объёмы информации. Респондентка получала помощь от матери и преподавателей.,"Ты пришёл, тебе нужно с первого занятия разговаривать, учить термины на латинском и читать большие объёмы информации. Это вообще, это стресс стрессовый.","Стресс, растерянность, благодарность","Стремление к пониманию, благодарность за поддержку, упорство","Переход от школьной к вузовской системе обучения часто сопровождается стрессом, особенно при отсутствии привычной структуры и поддержки.",эпизод,Медицинский институт,,,True,
3,Учёба в аспирантуре,Продолжение образования и специализация,"После института респондентка продолжила обучение в аспирантуре, где обучение стало легче благодаря визуализации и узкой специализации. Получила степень кандидата медицинских наук.","Мне вот это было легче... Тут было легче, все понятно. Вот больной, болит живот, за рот заглянули, вон он, воспаление, убрали. Тут все логически понятно.","Облегчение, удовлетворение","Профессионализм, стремление к развитию","Узкая специализация и визуализация облегчают процесс обучения, особенно для людей с определённым типом мышления.",эпизод,"Аспирантура, кафедра",,,True,
4,Начало профессиональной деятельности,Первые шаги в профессии и сомнения в выборе,"Респондентка начала работать по специальности, но испытывает сомнения в правильности выбора профессии, сравнивая себя с другими.","Но если сравнивать с другими, то, вероятно, я что-то выбрала не так.","Сомнение, неуверенность","Рефлексия, самокритика",Сравнение себя с окружающими и ощущение несоответствия ожиданиям — частый мотив у молодых специалистов.,декларация,,,,True,
5,Переезд и работа в области,Работа в регионе и социальная изоляция,"После окончания вуза респондентка уехала работать в область, где столкнулась с тяжёлым трудом и отсутствием друзей, что привело к возвращению домой.","Работала там год. Там было очень тяжело, потому что это тяжелый физический труд. Я жила одна на квартире... я там не нашла друзей.","Одиночество, усталость","Потребность в общении, стремление к комфорту","Молодые специалисты часто испытывают трудности адаптации в малых городах и регионах, особенно при отсутствии социальной поддержки.",эпизод,,0.0,наёмный работник,True,
6,Возвращение в город и работа на кафедре,Возвращение домой и новая работа,"Респондентка вернулась в родной город, устроилась на кафедру благодаря знакомству и отсутствию конкурса, совмещала работу на кафедре и в рекламном агентстве.","Я вернулась домой. Было место на кафедре. И меня заведующий взял. Повторюсь, потому что не было конкурса.","Облегчение, благодарность","Ответственность, трудолюбие, семейные связи",Социальные связи и отсутствие конкуренции играют важную роль в трудоустройстве в государственных учреждениях.,узел,Кафедра медицинского вуза,,,True,
7,Параллельная занятость,Работа в рекламном агентстве,"Параллельно с работой на кафедре респондентка работала в рекламном агентстве, что дало ей новые навыки, круг общения и повысило доход.","Это было интересно. Это было мобильно, это было быстро. Были такого же возраста ребята со мной вокруг.","Воодушевление, благодарность","Развитие, самостоятельность, материальная независимость",Параллельная занятость в коммерческом секторе позволяет молодым специалистам получать новые компетенции и расширять кругозор.,эпизод,,,"наёмный работник, коммерческий сектор",True,
8,Современный этап,Текущая профессиональная деятельность,После закрытия рекламного агентства респондентка работает на кафедре и в спортивной школе врачом-специалистом.,"Я работаю в первой половине дня на кафедре, а второй половине дня я работаю в спортшколе.","Стабильность, умеренное удовлетворение","Профессионализм, адаптация",Совмещение нескольких работ — распространённая стратегия для специалистов в бюджетной сфере.,эпизод,"Кафедра, спортивная школа",,,True,
9,Финансовая самостоятельность,Изменение финансового положения и путешествия,Работа в рекламном агентстве позволила респондентке увеличить доход и начать путешествовать самостоятельно.,"Когда я начала зарабатывать, я ездила в Египет, в Турцию. В Эмираты.","Радость, гордость","Самостоятельность, стремление к новым впечатлениям",Финансовая самостоятельность способствует расширению жизненного опыта и формированию новых ценностей.,эпизод,,,"наёмный работник, коммерческий сектор",True,
10,Личная жизнь и отношения,Попытки построить отношения,"Респондентка долго не строила отношения из-за установки «сначала учись», позже пыталась знакомиться через сайты, но успешных длительных отношений не сложилось.","Ну, я очень долго ни с кем не встречалась, потому что мне говорили «ты сначала учись». Это придёт. Когда оно придёт, я до сих пор не понимаю.","Ожидание, разочарование","Саморазвитие, поиск близости",Социальные установки и семейные ожидания могут откладывать начало личной жизни у женщин с академическими амбициями.,узел,,,,True,
11,Опыт самостоятельной жизни,Съём жилья и попытки самостоятельности,"Респондентка решила жить отдельно, сняла квартиру, что совпало с началом попыток строить отношения.","Я решила уйти на собственные хлеба. И когда я ушла на собственные хлеба, я сняла квартиру. Снимала квартиру и жила сама.","Гордость, независимость","Самостоятельность, личная свобода",Съём жилья и самостоятельная жизнь часто становятся этапом взросления и поиска себя.,эпизод,,0.0,,True,
12,Онлайн-знакомства,Опыт знакомств через интернет,"Респондентка пробовала знакомиться через сайты, сталкивалась с обманом и разочарованием, что делало этот опыт эмоционально тяжёлым.","Было много обмана, меня это возмущало, это было морально тяжело. И поэтому я долго не выходила на сайт.","Разочарование, возмущение","Честность, стремление к искренности","Онлайн-знакомства воспринимаются как экстремальный опыт, сопряжённый с рисками и эмоциональными затратами.",эпизод,,,,True,
13,Реакция на стресс,Стратегии преодоления трудностей,"Респондентка описывает свою реакцию на стресс: раньше замирала, теперь реагирует более эмоционально, но старается не обманывать и быть честной.","Раньше я останавливаюсь камнем... А сейчас, если происходит что-то нестандартное, я начинаю ещё и верещать. Ругаться, возмущаться.","Тревога, возмущение","Честность, самоконтроль",Изменение стратегий совладания со стрессом может быть связано с возрастом и накопленным жизненным опытом.,декларация,,,,True,
1,Современный этап взрослой жизни,Повседневная рутина и самостоятельность,"Респондентка описывает свой типичный день: работа на двух работах, самостоятельное ведение быта, регулярные визиты к маме, тренировки, прогулки. Живет отдельно, но поддерживает тесную связь с семьей.","Помыла голову, приготовила себе завтрак, поела, собрала контейнер еды на обед и пошла на первую работу... поужинала, потому что мама вкусно готовит, я еще столько у меня нет, я еще так не умею много.","Спокойствие, удовлетворение, легкая усталость","Самостоятельность, семейные связи, забота о себе",Респондентка демонстрирует типичный для молодых взрослых баланс между самостоятельной жизнью и опорой на родительскую семью. Важную роль играет женская семейная солидарность и поддержка.,эпизод,,"Живет отдельно, но часто посещает маму",,True,
2,Современный этап взрослой жизни,Занятия спортом и хобби,"Респондентка регулярно занимается спортом (бодибилет, восточные танцы), что помогает ей поддерживать физическую форму и получать эмоциональное удовольствие. Спорт воспринимается как способ самовыражения и источник радости.","Это меня вдохновляет, потому что там также девочки, и в восточные танцы ты распускаешь волосы, ты трясёшь головой, крутишь бёдрами, и много девочек, и все хохочут, что ещё нужно? Вот он, женский рай.","Вдохновение, радость, воодушевление","Здоровье, женственность, коллективизм, самовыражение","Занятия спортом и танцами выступают не только как способ поддержания здоровья, но и как форма социальной интеграции и эмоциональной разрядки, особенно в женских коллективах.",эпизод,"Спортивная школа, фитнес-клуб",,Платные занятия,True,
3,Переход к самостоятельной взрослой жизни,Изменение круга общения и отношения к дружбе,"С переходом к самостоятельной жизни и изменением жизненных обстоятельств круг общения респондентки изменился: прежние подруги отошли на второй план, сейчас она ищет новых друзей с похожим статусом (без семьи и детей).","Я стала жить одна, и подружки эти ушли на задний план. И сейчас я стараюсь найти подружек, которые также не замужем и без детей.","Легкая грусть, принятие изменений","Сходство жизненных обстоятельств, эмоциональная близость","Изменение социального статуса (отдельное проживание, отсутствие семьи) приводит к перестройке социальных связей и поиску нового круга общения по принципу схожести жизненных траекторий.",перелом,,,,True,
4,Современный этап взрослой жизни,Отдых и переключение,"Раньше респондентка использовала спорт для отдыха в течение дня, сейчас предпочитает короткие перерывы с просмотром видео. В целом, ощущает постоянную занятость и необходимость решать задачи.","Раньше я в спортшколе ходила в середину дня на фитнес. Вот это было для себя. Да, но сейчас я могу в Ютубе какой-нибудь клип посмотреть музыкальный и все.","Ностальгия, легкая усталость","Личное время, эффективность, саморазвитие","Сокращение времени на отдых связано с ростом профессиональной и бытовой нагрузки, что типично для молодых специалистов.",эпизод,,,,True,
5,Современный этап взрослой жизни,Семья и поддержка близких,"Респондентка поддерживает тесные отношения с родителями и сестрой, часто проводит с ними время, получает эмоциональную поддержку и советы, особенно от мамы.","Мне без них тяжело, поэтому я с ними вижусь раза 4-5 дней в неделю, вечерами, да.","Тепло, благодарность, привязанность","Семейная поддержка, эмоциональная близость, традиции","Семья остается важнейшим источником поддержки и эмоционального ресурса, несмотря на самостоятельное проживание.",узел,,,,True,
6,Современный этап взрослой жизни,Трудовая занятость и отношение к работе,"Респондентка работает на двух официальных работах в государственных учреждениях, ценит стабильность и соцгарантии, но воспринимает работу как способ обеспечить себя, а не как источник удовольствия.",Я официально оформлена... способ обеспечиться.,"Рациональность, прагматизм, некоторая усталость","Стабильность, ответственность, самостоятельность",Работа в госсекторе с официальным оформлением и соцгарантиями воспринимается как базовая жизненная стратегия для обеспечения финансовой безопасности.,декларация,Государственные организации,,Официальная занятость,True,
7,Современный этап взрослой жизни,Финансовая самостоятельность и ипотека,"Респондентка недавно взяла ипотеку, что существенно влияет на ее финансовое поведение и досуговые практики. Вынуждена ограничивать расходы на развлечения и ищет пути оптимизации бюджета.","Я не могу себе позволить. Ипотека. Нет, там минимум за тысячу... у меня ипотека.","Ограниченность, ответственность, легкая тревога","Финансовая дисциплина, самостоятельность, долгосрочное планирование","Ипотека становится фактором, определяющим стиль жизни, досуг и даже планы по дополнительной занятости. Финансовая нагрузка типична для молодых горожан.",узел,,"Ипотека, отдельное жилье",,True,
8,Современный этап взрослой жизни,Отношение к культуре и досугу,"Респондентка ограничена в культурных практиках из-за финансовых обстоятельств, предпочитает доступные развлечения (интернет, ночные клубы), а также легкие комедии для расслабления.","На концерты вы билеты видели, сколько стоят? Нет, не видела. Я не могу себе позволить. Ипотека.","Смирение, легкая досада","Доступность, эмоциональная разрядка, прагматизм","Финансовые ограничения влияют на культурное потребление, смещая акцент на более доступные формы досуга.",эпизод,,,Ограниченное участие в платных культурных событиях,True,
9,Современный этап взрослой жизни,Отношение к отдыху и сну,"Респондентка ценит полноценный сон, старается ложиться рано, но часто не высыпается из-за нагрузки. Сон воспринимается как важная часть заботы о себе и красоты.",Красота – это сон. А рано выспаться? Поэтому в 10 часов я уже стараюсь лежать на подушке и спать.,"Забота о себе, усталость","Здоровье, красота, самодисциплина",Сон и отдых становятся осознанной стратегией поддержания физического и эмоционального состояния в условиях высокой занятости.,декларация,,,,True,
10,Современный этап взрослой жизни,Отношение к работе и профессиональной идентичности,"Респондентка воспринимает работу как выполнение задач в обмен на оплату, не связывает с ней глубокую идентичность или удовольствие. Открыта к смене профессии, но не видит подходящих альтернатив.","Ну, я хожу на работу, чтобы решать определенные задачи. Правильно? Ну, тебе ставят сроки, и ты должен уложиться в эти сроки.","Прагматизм, некоторая неудовлетворенность","Ответственность, рациональность, открытость переменам","Прагматичный подход к работе характерен для поколения, ориентированного на стабильность и финансовую независимость, но не всегда находящего смысл в профессиональной деятельности.",декларация,Государственные организации,,,True,
11,Современный этап взрослой жизни,Отношение к конфликтам и поддержка семьи,"Респондентка старается избегать конфликтов на работе, использует мягкость и советы мамы для разрешения сложных ситуаций.","Я очень мягкая. Я стараюсь минимизировать конфликты, максимально минимизировать... Я тогда обсуждаю с мамой этот вопрос. И она мне даёт какие-то советы.","Осторожность, благодарность, спокойствие","Гармония, семейная поддержка, избегание конфликтов","Семейные ресурсы (особенно материнские) используются для преодоления профессиональных трудностей, что типично для молодых специалистов.",эпизод,,,,True,
12,Современный этап взрослой жизни,Отношение к экологии и общественным инициативам,"Респондентка поддерживает экологические инициативы семьи (посадка деревьев), но не готова самостоятельно инициировать такие проекты из-за нехватки времени и сил.","Если честно, у меня больше... Мне было фиолетороз. Ну, как? С учетом того, что я очень заработала в здравоохранении, если еще буду думать о деревьях... Ну, у меня нет времени думать о деревьях.","Безразличие, легкая вина, поддержка семьи","Поддержка близких, рациональное распределение ресурсов","Экологическая ответственность воспринимается как семейная ценность, но индивидуальная вовлеченность ограничена ресурсами и приоритетами.",декларация,,,,True,
1,"Взрослая жизнь, работающий возраст",Экологические привычки и влияние семьи,Респондентка рассказывает о формировании экологических привычек под влиянием сестры: отказ от пластиковых пакетов в пользу многоразовых сумок. Это стало семейной практикой.,"Она приходит на рынок уже с этими сетчатыми сумочками и говорит, мне целлофан не нужен. И меня так, знаете, как пронзило, и мне так надо. Я так же буду поступать.","Вдохновение, гордость, удовлетворение","Ответственность, забота об окружающей среде, семейное влияние","Формирование новых бытовых практик часто происходит под влиянием ближайшего окружения, особенно семьи. Здесь видна роль сестры как агента изменений.",эпизод,семья,,рынок,True,
2,"Взрослая жизнь, работающий возраст",Распорядок выходных и будней,"Респондентка описывает, как проводит выходные: отдыхает, высыпается, помогает маме, иногда встречается с подругами и занимается спортом на природе.","В выходные я плотно кушаю. Могу углеводы себе позволить. Потом я могу днём поспать или долго утром поспать. Но поубирать надо. мама попросила покрасить ее, помочь ей что-то, то хожу к маме, маме помогаю.","Усталость, расслабленность, забота","Здоровье, семейная поддержка, отдых, баланс между работой и личной жизнью","Выходные используются для восстановления сил и выполнения семейных обязанностей, что типично для женщин, совмещающих работу и заботу о близких.",эпизод,семья,,,True,
3,"Взрослая жизнь, работающий возраст",Отпуск и отдых,"Респондентка рассказывает о том, как изменилась структура отпуска: раньше ездила куда-то, теперь чаще остаётся дома, иногда навещает друзей, занимается спортом, предпочитает бюджетный отдых.","Ну, у меня же этот... Сейчас же изменилась жизнь. Раньше, конечно, я куда-нибудь ездила. Но так как у меня получилось, сейчас у меня все мои отпускные расписаны, я живу так же, только я звоню всем знакомым, кого редко вижу...","Ностальгия, некоторая усталость, принятие","Дружба, экономия, восстановление, спорт","Изменения в структуре отпуска связаны с финансовыми и профессиональными ограничениями, а также с изменением жизненных приоритетов.",эпизод,"работа, друзья",False,,True,
4,"Взрослая жизнь, работающий возраст",Отношения и поиск партнёра,"Респондентка делится трудностями в построении отношений с мужчинами, отмечает эмоциональную усталость и трудности коммуникации, особенно в будни. В отпуске становится более терпимой.","Вот сколько я приду домой, поем. Думаю, ну все, мы договорились встретиться с сайтом знакомств. Мы начинаем общаться, и моя нервная система не выдерживает. Говорю, слушай, я пошла.","Раздражение, усталость, разочарование, саморефлексия","Эмоциональное здоровье, честность, стремление к гармонии","Высокая нагрузка на работе и эмоциональная усталость затрудняют построение личных отношений, что типично для современных городских женщин.",узел,онлайн-знакомства,,,True,
5,"Взрослая жизнь, работающий возраст",Идеальный отдых и мечты,"Респондентка фантазирует об идеальном отдыхе: на природе, у воды, в окружении близких, в моральном спокойствии. Признаёт, что это малореализуемо из-за особенностей семейных отношений.","Чтобы я была морально спокойна и близкие были рядом, примерно так. На природе, у водоёма.","Мечтательность, лёгкая грусть, принятие","Природа, семья, внутренний покой","Идеализация отдыха как способа восполнения дефицита эмоционального комфорта и близости, характерно для людей с высокой нагрузкой и сложными семейными отношениями.",декларация,,,,True,
6,"Взрослая жизнь, работающий возраст",Финансовые обязательства и работа,"Респондентка говорит о нехватке свободного времени, невозможности увеличить доход из-за особенностей работы, наличии ипотеки и связанных с этим ограничениях.","Потому что у меня ипотека. То есть есть определённые обязательства, которые я должна выплачивать.","Огорчение, тревога, усталость","Финансовая стабильность, ответственность, независимость","Ипотека и фиксированная зарплата ограничивают мобильность и возможности для самореализации, что типично для среднего класса в крупных городах.",узел,"банк, работа",True,,True,
7,"Взрослая жизнь, работающий возраст",Семейные отношения и конфликты,"Респондентка описывает динамику отношений с родителями: в детстве были напряжения, сейчас отношения хорошие, но конфликты случаются, часто из-за разницы во взглядах.","Сейчас я с каждым ругаюсь. Сейчас я чуть-чуть успокоюсь. До этого я со всеми ругалась периодически. Я что-то доказывала, со всеми, с каждым могу поругаться.","Импульсивность, открытость, принятие","Откровенность, самостоятельность, семейная поддержка","Семейные конфликты воспринимаются как нормальная часть жизни, важна возможность открыто выражать недовольство и быстро восстанавливать отношения.",эпизод,семья,,,True,
8,"Взрослая жизнь, работающий возраст",Дружба и поддержка,"Респондентка ценит друзей, особенно тех, с кем можно быть собой. Дружба — это поддержка, возможность быть откровенной, отсутствие стыда за несовершенство.","Это тот человек, который может прийти без звонка, постучаться в дверь. Я его всегда открою дверь. И даже если будет у меня грязно, то есть пыльно или невыполненная посуда, И мне будет не стыдно.","Теплота, благодарность, доверие","Доверие, искренность, поддержка","Дружба становится опорой в условиях высокой занятости и эмоциональных трудностей, компенсируя недостаток близких отношений.",декларация,,,,True,
9,"Взрослая жизнь, работающий возраст",Родительство и страхи,"Респондентка размышляет о родительстве: желание иметь детей есть, но мешает страх ответственности и отсутствие подходящего партнёра. Образование усилило тревожность.","Понимая, что ребёнок — это настолько серьёзно, я, наверное, поэтому у меня нет детей, потому что я боюсь, потому что должен быть ответственный подход.","Тревога, неуверенность, надежда","Ответственность, осознанность, семья",Высокие требования к себе и страх не справиться с ролью родителя характерны для людей с медицинским образованием и перфекционистскими установками.,узел,"образование, семья",,,True,
10,"Взрослая жизнь, работающий возраст",Взаимопомощь в семье,"В семье принято помогать друг другу по бытовым вопросам, особенно в ремонте и хозяйстве. Ощущение заботы проявляется в совместных делах.","Папа говорит, пошли будем делать ремонт. Я тебе помогу. Папа мне ходит помогать делать ремонт.","Благодарность, сплочённость","Взаимопомощь, семейная солидарность",Совместное решение бытовых задач укрепляет семейные связи и формирует чувство защищённости.,эпизод,"семья, жильё (ипотека)",True,,True,
11,"Взрослая жизнь, работающий возраст",Самостоятельность и поиск поддержки,"Респондентка воспитана в духе самостоятельности: сначала решает проблемы сама, только потом советуется с близкими. Аналогичный подход у других членов семьи.","Во-первых, меня так воспитали, что я трудность должна решить сама. То есть если будет какая-то проблема, я должна найти выходы. Я могу только посоветоваться.","Уверенность, независимость","Самостоятельность, ответственность, рациональность",Установка на самостоятельное преодоление трудностей типична для семей с высоким уровнем ответственности и взаимного уважения.,декларация,,,,True,
1,"Взрослая жизнь, зрелость",Эмоциональное состояние и одиночество,"Респондентка рассказывает о своих эмоциональных переживаниях, связанных с отсутствием отношений и чувством одиночества. Она отмечает, что иногда испытывает потребность в поддержке, но вынуждена полагаться на себя.","Сам себе нужно, должна сама себе помогать, сама себя любить.","Грусть, легкая обида, принятие","Самостоятельность, самопомощь, честность с собой","Респондентка демонстрирует типичную для современных городских женщин установку на самостоятельность и самоподдержку, что может быть связано с изменением гендерных ролей и ростом индивидуализма.",декларация,,,,,
2,"Взрослая жизнь, зрелость",Формирование круга общения,"Респондентка не задумывалась о причинах формирования своего круга общения, предполагает, что это связано с особенностями нервной системы и личной тревожностью.",У меня даже такой мысли не приходило. Не знаю. У меня даже нет ответа на этот вопрос.,"Растерянность, неуверенность","Саморефлексия, принятие себя",Отсутствие рефлексии по поводу социальных связей может говорить о внутренней сосредоточенности и/или о недостатке доверия к окружающим.,декларация,,,,,
3,"Взрослая жизнь, зрелость",Здоровье и забота о себе,"Респондентка уделяет большое внимание питанию и спорту, отмечает положительное влияние здорового образа жизни на самочувствие и внешний вид. Вдохновляется примером коллег по работе.","Я начала в спортшколу ходить, и там тренера все молодые, и они очень развивают эту тему и обсуждают. Меня восхищает то, что я там работаю, и что я погрузилась в эту тему более глубоко.","Вдохновение, удовлетворение","Здоровье, саморазвитие, дисциплина",Видна тенденция к перенятию здоровых практик через профессиональное окружение и социальное подражание.,эпизод,спортшкола,,,,
4,"Взрослая жизнь, зрелость",Отношение к алкоголю и здоровому образу жизни,"Респондентка употребляет алкоголь редко, в основном по праздникам, и не считает это проблемой. Она контролирует количество выпитого и не видит смысла полностью отказываться от алкоголя.","Я контролирую это, я вижу, я могу, например, в компании быть, я вижу, кто-то перебрал, я себе такого не разрешаю, но отказаться полностью от спиртных напитков, ну пока не вижу зачем, не понимаю зачем.","Уверенность, спокойствие","Умеренность, контроль, удовольствие от жизни","Респондентка демонстрирует рациональный подход к употреблению алкоголя, что характерно для людей с медицинским образованием и высоким уровнем самоконтроля.",декларация,,,,,
5,"Взрослая жизнь, зрелость",Влияние спорта на здоровье,"Занятия спортом помогли респондентке улучшить физическое и эмоциональное состояние, снизить частоту заболеваний и повысить качество жизни.","Я начала спортом заниматься, я стала реже болеть, стала лучше.","Удовлетворение, гордость","Здоровье, активность, самосовершенствование","Спорт рассматривается как способ саморегуляции и профилактики заболеваний, что отражает современные тренды заботы о себе.",эпизод,,,,,
6,Профессиональная зрелость,Отношение к официальной и народной медицине,"Респондентка, имея медицинское образование, разочаровалась в формальном подходе к лечению и теперь сочетает методы официальной и народной медицины.","Без фанатизма к традиционной, без фанатизма к народной, но и то, и то использую равноценно.","Скепсис, прагматизм","Рациональность, открытость новому опыту",Комбинирование разных подходов к лечению характерно для людей с критическим мышлением и профессиональным опытом в медицине.,декларация,медицинский институт,,,,
7,Профессиональная зрелость,Опыт взаимодействия с медицинскими учреждениями,"Респондентка выбирает врача по личному доверию, а не по типу учреждения. Практикует благодарность врачам вне зависимости от формата оказания услуг.","Это бесплатно, но в карман я ей плачу. специалист.","Прагматизм, реализм","Доверие, благодарность, профессионализм",Ситуация с неформальными платежами в медицине отражает особенности российской системы здравоохранения и дефицит доверия к институтам.,эпизод,государственная и частная клиника,,,,
8,Профессиональная зрелость,Доступность и качество медицины в России,"Респондентка отмечает сложности с поиском хороших специалистов и дороговизну лечения, особенно диагностических процедур. Критически относится к назначению большого количества исследований.","Я же не миллионер, чтобы каждый раз делать до исследования, до чего-то КТ, и после того, как ты принял лекарство КТ.","Раздражение, усталость","Рациональность, экономность, самостоятельность",Высокая стоимость и бюрократия в медицине формируют у респондентов стратегию самостоятельного поиска информации и критического отношения к врачам.,эпизод,,,частично (оплата КТ и других услуг),,
