id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation
4,детство — подростковый возраст,Взаимоотношения с родителями и семейные ценности,"Респондентка отмечает взаимопонимание между родителями, их способность к компромиссам, а также дружескую атмосферу в семье, несмотря на отдельные сложности.","Мне нравилось между родителями их взаимопонимание, в принципе, и что они всегда шли на компромиссы, как бы не ругались, а как бы, ну, нормально все обсуждали...","уважение, признательность","взаимопонимание, компромисс, семейная поддержка","Внутрисемейные отношения строились на диалоге и компромиссах, что контрастирует с жёсткими воспитательными практиками по отношению к детям.",декларация,семья,,,
5,школьные годы,Дружба и отношения со сверстниками,"В начальной школе были близкие друзья, но в подростковом возрасте произошёл разрыв дружбы. В дальнейшем респондентка предпочитала ограниченный круг общения, объясняя это семейными требованиями и личными интересами.","Мне лучше было быть нелюдимой, скажем так, иметь одну-две подруги, которые там общаются.","отстранённость, некоторая грусть","индивидуальность, самостоятельность, личные интересы","Семейные ограничения и акцент на учёбе влияли на социализацию, формируя интровертированную стратегию поведения.",эпизод,школа,,,
6,детство — подростковый возраст,Опыт лагеря и самооценка,"Первый опыт лагеря был негативным из-за травли, второй — позитивным, связанным с поддержкой и участием в творческом конкурсе. Эти события повлияли на самооценку и восприятие себя.","В первом, скажем так, мою красоту не принимали... А во второй раз, да, я как бы нашла поддержку.","уязвимость, радость, гордость","поддержка, признание, самореализация",Опыт лагеря иллюстрирует важность групповой поддержки и признания для формирования самооценки в подростковом возрасте.,перелом,детский лагерь,,,
7,детство — подростковый возраст,Первые опыты самостоятельности и заработка,"Бабушка предложила попробовать себя в торговле, что дало первый опыт самостоятельного заработка и возможность приобрести желаемое.","Я действительно пошла торговать укропом, там потом ягоду какую-то собирала и там что-то себе накопила, и это было тоже таким... Я смогла купить то, что я себе хочу...","гордость, удовлетворение","самостоятельность, трудолюбие, материальная независимость","Ранний опыт заработка формирует чувство ответственности и самостоятельности, а также ценность личного труда.",эпизод,,,,True
8,подростковый возраст,Первая работа и профессиональные пробы,"Первая работа была найдена с помощью мамы — в детском доме. Позже были подработки по знакомству и через университетское сообщество, а также опыт работы официанткой.","Ну совсем-совсем первую работу, если так быть честным, мне нашла мама, потому что это было в 14 лет...","любопытство, некоторая неуверенность","инициативность, опыт, самостоятельность","Первые профессиональные шаги часто связаны с семейными связями и случайными возможностями, что типично для молодежи в постсоветском пространстве.",эпизод,"детский дом, университет, клуб",,,True
9,взрослая жизнь,Профессиональная деятельность и предпринимательство,Респондентка совмещает работу в школе и участие в семейном бизнесе по ремонту техники и печати. Оценивает опыт как интересный и развивающий управленческие навыки.,"Это бизнес. Вот я говорю, человек... у нас мастерская скажем так по ремонту техники то есть это как бы совсем не мой профиль да скажем так и в печати да...","интерес, удовлетворение","развитие, самостоятельность, ответственность","Совмещение работы по профессии и предпринимательства характерно для современных молодых специалистов, стремящихся к финансовой устойчивости и самореализации.",эпизод,"школа, малый бизнес",,,True
10,студенчество — взрослая жизнь,Значимые отношения и личный выбор,"Респондентка вспоминает значимые отношения, которые могла бы развить до семьи, но сознательно прервала их, отдавая предпочтение страсти и спонтанности, а не стабильности и поддержке.","Я на корню их порубила, хотя они потенциалы имели хорошие, скажем, в совместной жизни, может быть, в свадьбе, рождении детей и так далее...","сожаление, рефлексия","самостоятельность, свобода выбора, эмоциональная насыщенность","Личностные приоритеты в молодости часто смещаются в сторону эмоций и спонтанности, что может приводить к сожалениям о несделанном выборе в будущем.",узел,,,,
1,Студенческие годы,Авантюрные и рискованные ситуации с друзьями,"Респондентка вспоминает о нестандартных и рискованных ситуациях, в которые попадала вместе с подругами в студенчестве, включая поход в баню с незнакомыми мужчинами и авантюрные вечеринки.","Это была чисто реальная авантюра... Мы пришли, покушали все, что они нам дали, но подарков они нам не подарили, к сожалению, и быстро слиняли.","Смешанные чувства: неловкость, легкое волнение, юмор, осторожность","Безопасность, самостоятельность, дружба, осторожность","Подобные эпизоды характерны для периода юности, когда молодые люди пробуют границы дозволенного, исследуют социальные роли и учатся принимать решения в неоднозначных ситуациях.",эпизод,"ВУЗ, неформальные молодежные компании",,,
2,Студенческие годы,Влюбленности и эмоциональные эксперименты,"Рассказ о вечеринке в Москве, где респондентка впервые попробовала алкоголь, что привело к неожиданному проявлению чувств к молодому человеку.","Я выпила больше, чем рассчитывала... начала признавать платье, которое мне нравилось. Это тоже было.","Смущение, легкая неловкость, самоирония","Открытость опыту, самоконтроль, честность с собой","Студенческие годы часто связаны с экспериментами в отношениях и поведении, что способствует формированию взрослой идентичности.",эпизод,,,,"Потребление алкоголя, участие в молодежных тусовках"
3,Детство,Моральные дилеммы и первый опыт обмана,"Воспоминание о детской ситуации, когда с друзьями нашли кошелек с деньгами, потратили их и пытались скрыть это от родителей.","Я решила, что под ванной самое лучшее место, что туда никуда никто не полезет, но не тут-то было.","Волнение, страх, чувство вины","Честность, ответственность, самостоятельность",Эпизод иллюстрирует процесс социализации и усвоения моральных норм через личный опыт и наказание.,эпизод,,,1.0,
4,Студенческие годы,Выбор между страстью и стабильностью в отношениях,"Респондентка рассказывает о периоде, когда ей пришлось выбирать между стабильными отношениями и вспышкой чувств к другому человеку, в итоге выбрав разум и стабильность.","У одного вспышка чувства и эмоции, а другой разум говорит, что у тебя хороший парень, он тебе заботится, он тебе... Не хотелось его просто обманывать, но рассталась я, конечно, с ним жёстко.","Сожаление, внутренний конфликт, рациональность","Честность, ответственность, уважение к партнеру, самоконтроль","Дилемма между страстью и стабильностью типична для молодого возраста, когда формируются представления о партнерстве и личных границах.",перелом,,,1.0,
5,Настоящее время (взрослая жизнь),Распорядок дня и баланс между работой и личной жизнью,"Описание типичного буднего и выходного дня: работа в школе и офисе, совместные ужины с мужем, занятия танцами, чтение, уборка и совместный досуг по выходным.","Потому что хочется еще что-то для себя сделать. Не знаю... ухаживать за собой, но времени мало свободного.","Умеренная усталость, удовлетворенность, стремление к балансу","Трудолюбие, забота о себе и близких, стремление к гармонии","Современная городская жизнь требует от женщин умения совмещать профессиональные и семейные роли, что приводит к поиску баланса между работой и личным временем.",узел,"Школа, офис, семья",,1.0,
6,Настоящее время (взрослая жизнь),Отношения с близкими и границы личного пространства,"Респондентка описывает свой круг близких: родители, сестра, бабушка, муж, подруги. Отмечает важность дистанции с родителями и особую близость с бабушкой и сестрой.","Потому что если бы каждый раз они помешивали с моей жизнью, ну, не знаю, где бы я была бы и с кем.","Благодарность, спокойствие, осознанность","Семья, доверие, личные границы, самостоятельность","Взросление связано с переосмыслением семейных ролей и выстраиванием новых границ с родителями, что способствует личной автономии.",узел,,,1.0,
1,"Взрослая жизнь, семейный этап",Отношения с матерью,"Респондентка отмечает отсутствие доверительных отношений с матерью, объясняя это возможными негативными последствиями откровенности.","Ну вот, как бы, как мама-дочка, да? Ну, как в идеале, наверное, когда маме-то всё рассказываешь. Ну, нет такого. Ну, потому что это чревато последствиями, разрушающими жизнь, скажем так.","Сдержанная грусть, разочарование","Безопасность, самосохранение, осторожность в личных отношениях","Дистанция между поколениями и отсутствие эмоциональной близости с родителями — частый мотив в современных городских семьях, где ценится автономия и приватность.",декларация,,,,
2,"Взрослая жизнь, семейный этап",Отношения с супругом,"Респондентка описывает мужа как активного, креативного, поддерживающего и доброго человека, противопоставляя его предыдущим партнерам с традиционными взглядами на роль женщины.","были отношения у меня, когда просто говорили, вот либо борщ ты готовишь, либо все, до свидания. Ну, то есть для кого-то это было прям суперважно. Вот. чтобы женщина была домохозяйкой. Ну, я не такой типаж, ну, как вы видите, да.","Удовлетворение, благодарность","Партнерство, поддержка, личная свобода","Респондентка осознанно выбирает партнера, разделяющего современные ценности равноправия и поддержки, что отражает сдвиг в гендерных ролях среди молодых семей.",декларация,,,,
3,"Взрослая жизнь, семейный этап",Знакомство с супругом,Познакомились через общих друзей на дне рождения подруги. История знакомства воспринимается как обычная и логичная.,"У нас друзья общие свели. Просто в компании общей. Хотя, как бы, ну, короче, да. Был день рождения, в общем, у моей подруги. И там пришел вот мой будущий муж.","Спокойствие, легкая ирония","Социальные связи, естественность",Знакомства через друзей остаются важным каналом формирования семейных отношений в российском обществе.,эпизод,,,,
4,"Взрослая жизнь, семейный этап",Планы на будущее,Пара планирует завести ребенка после улучшения материального положения и покупки собственной квартиры.,"Пока собираем на квартиру, чтобы была своя и А то можно завести ребенка за квартиру в ипотеку, это будет очень тяжко, по-моему.","Рациональность, надежда","Стабильность, материальная обеспеченность, ответственность","Планирование семьи откладывается до достижения определенного уровня материального благополучия, что типично для молодых городских семей.",декларация,,1.0,,Планируется покупка жилья
5,"Взрослая жизнь, семейный этап",Финансовые отношения в семье,"В семье есть общий и личный бюджеты. Крупные траты обсуждаются, но респондентка сохраняет финансовую автономию.","Есть общий, а есть мой бюджет. Вот. То есть, когда это мой бюджет, ну, я полностью располагаю, да, и ни перед кем не отчитываюсь.","Уверенность, спокойствие","Автономия, партнерство, прозрачность",Разделение бюджета на общий и личный отражает современные тенденции в управлении семейными финансами и стремление к независимости.,декларация,,,,
6,"Взрослая жизнь, семейный этап",Отношения с родственниками супруга,"Родственники супруга живут в другом городе, общение редкое, но позитивное.","Ну, на самом деле у него тоже родственники в другом городе. Мы к ним иногда ездим в гости. Но это из Сирии не часто бывает.","Нейтральность, легкая теплота","Семейные связи, уважение","Географическая разобщенность семей типична для мобильных молодых семей, что снижает интенсивность межпоколенческих контактов.",эпизод,,,,
7,Переход от предыдущих отношений к нынешним,Уроки из прошлых отношений,"Респондентка научилась больше ценить себя, отстаивать свои интересы и не делиться личным с родителями. В новых отношениях она чувствует больше поддержки и свободы.","В прошлом отношении я была чисто хорошей девочкой. И хозяйка там, и на себя забила. Какие-то хобби свои не хожу. Кое-что, конечно, для себя я делала, но недостаточно.","Осознанность, благодарность за опыт","Самоуважение, личностный рост, независимость",Переосмысление гендерных ролей и личных границ — важный этап взросления и формирования зрелой идентичности.,перелом,,,,
8,"Молодость, студенчество и начало карьеры",Дружба и поддержка,Близкие подруги появились в студенчестве и начале работы. Их отличает взаимная поддержка и пережитые вместе трудности.,В каких-то сложных ситуациях они все испытания вместе столько переносили. Всегда чувствовалась от них поддержка и небезразличие.,"Благодарность, теплота","Дружба, взаимопомощь, лояльность","Студенчество — ключевой период формирования устойчивых дружеских связей, которые сохраняются и во взрослой жизни.",эпизод,университет,,,
9,"Молодость, студенчество",Конфликты и трансформация дружбы,"В студенчестве возникал конфликт с подругой из-за внимания со стороны мужчин, который был преодолен совместными усилиями по повышению уверенности и изменению имиджа подруги.","мы совместно, потому что у нас возникла терка небольшая, и мы думали, как это разрешить. Потому что мне не нужно 10-15 ухажеров одновременно. И постепенно улучшали ее имидж тоже.","Сочувствие, поддержка, легкая неловкость","Солидарность, эмпатия, честность","Дружеские отношения между женщинами часто проходят испытания конкуренцией, но могут трансформироваться в более зрелые и поддерживающие связи.",узел,,,,
10,"Взрослая жизнь, после развода",Ощущение одиночества после развода,"После развода с первым мужем респондентка испытывала чувство изоляции и пустоты, несмотря на наличие друзей и родителей.","И ничего не смогло сделать так, чтобы не ощущалось это пустое, большое, огромное, пустое место, скажем так.","Грусть, опустошенность","Значимость близких отношений, эмоциональная связь","Развод часто сопровождается кризисом идентичности и временным чувством одиночества, даже при наличии социальной поддержки.",перелом,,,,
11,"Взрослая жизнь, настоящее время",Оценка текущих отношений с близкими,"В целом респондентка оценивает свои отношения с близкими как хорошие, дружелюбные и позитивные.","Ну, в целом хорошие, дружелюбные, позитивные.","Удовлетворение, спокойствие","Гармония, доброжелательность",Позитивная оценка социальных связей свидетельствует о восстановлении после кризиса и успешной адаптации.,декларация,,,,
12,"Взрослая жизнь, настоящее время",Здоровье и забота о себе,"Респондентка считает свое здоровье хорошим, занимается танцами, прогулками, следит за физической активностью и старается делать разминку.","Для здоровья я делаю танцы, допустим, у меня как бы два раза в неделю занимаюсь. Какие-нибудь прогулки, пробежки.","Удовлетворение, спокойствие","Здоровье, активность, самодисциплина",Забота о здоровье становится частью повседневной рутины у представителей среднего класса.,декларация,,,,
13,"Взрослая жизнь, настоящее время",Питание и вредные привычки,"Питание не всегда идеально: респондентка не завтракает, иногда позволяет себе вредные продукты, но старается соблюдать баланс.","Иногда я себе позволяю майонезный салат как-нибудь съесть вечерком, хотя как бы полдень не очень-то рекомендуется.","Самокритика, принятие","Умеренность, гибкость",Питание и вредные привычки часто становятся предметом саморефлексии и попыток самосовершенствования.,декларация,,,,
14,"Взрослая жизнь, настоящее время",Стресс и психологическое состояние,"Стресс присутствует в жизни, но в целом его уровень средний. Респондентка отмечает важность психологического состояния для здоровья.","Но питание, физическая активность, я считаю, на здоровье влияют. Но и психологическое состояние тоже влияет на здоровье.","Осознанность, спокойствие","Психологическое благополучие, баланс",Внимание к психологическому здоровью становится все более распространенной нормой.,декларация,,,,
15,"Взрослая жизнь, настоящее время",Отношение к медицине,"В целом респондентка доверяет медицине, но считает необходимым перепроверять диагнозы и обследования.","Не всегда, конечно, надо перепроверять ключи, мне кажется. Потому что диагноз... Не всегда может быть корректен.","Умеренное доверие, осторожность","Рациональность, критичность",Критическое отношение к медицинским услугам связано с опытом и распространённой недоверчивостью к институтам.,декларация,здравоохранение,,,
16,"Взрослая жизнь, настоящее время",Восприятие российской медицины,"Респондентка считает, что в российской медицине сочетаются забота о людях и коммерческий интерес, особенно в связке с аптеками.","Мне кажется, 50 на 50, потому что вроде бы есть врачи, которые и заботятся о людях, все равно стараются помочь. Но коммерческая сторона тоже есть.","Скепсис, реализм","Справедливость, прагматизм",Двойственное восприятие медицины отражает общий тренд недоверия к государственным и коммерческим институтам.,декларация,здравоохранение,,,
17,"Взрослая жизнь, настоящее время",Выбор между коммерческой и государственной медициной,"Выбор зависит от ситуации: при легких заболеваниях — государственная, при серьезных — коммерческая. Опыт обращения в платную клинику не показал разницы.","Если это какое-нибудь небольшое заболевание, допустим, ОРВИ, да, может быть, можно сходить и в обычную клинику. Если это, допустим, какое-то тяжелое заболевание, может и в частную лучше сходить.","Взвешенность, прагматизм","Рациональность, эффективность",Прагматичный подход к выбору медицинских услуг характерен для потребителей с опытом и доступом к разным типам учреждений.,декларация,здравоохранение,,,
1,"Взрослая жизнь, семейный этап",Взаимодействие с медициной и отношение к здравоохранению,"Респондентка считает, что государство должно поддерживать здравоохранение, но признаёт, что ресурсов не хватает, и многие услуги становятся платными. Качество медицины зависит от профессионализма врачей, а не только от места проживания.","То есть вообще государство должно поддерживать людей в здравоохранении. Но, я так понимаю, все равно мощности государства не хватает.","Умеренная критичность, реализм","Справедливость, ответственность государства, профессионализм",Респондентка демонстрирует типичную для российского среднего класса позицию: ожидание социальной поддержки от государства сочетается с признанием ограниченности ресурсов и необходимости платных услуг.,декларация,государственная система здравоохранения,,,
2,"Взрослая жизнь, семейный этап",Отношение к вакцинации,"Вакцинацию считает полезной, но отмечает возможные риски и необходимость учитывать противопоказания.","Ну, вакцинация на самом деле хорошая вещь с одной стороны, но сила вновь чревата последствиями.",Осторожный оптимизм,"Здравый смысл, осторожность, забота о здоровье","Отражает распространённую в обществе двойственность отношения к вакцинации: признание пользы, но и опасения по поводу побочных эффектов.",декларация,,,,
3,"Взрослая жизнь, семейный этап",Практики обращения к медицинским услугам,"Обращается к врачам только по необходимости, избегает лишних визитов, предпочитает профилактические осмотры по требованию.","Стараюсь, конечно, не сотрудничать, потому что не очень люблю, конечно, больницы.","Сдержанность, рациональность","Самостоятельность, экономия времени","Преобладает стратегия минимизации контакта с медициной, характерная для людей с базовым доверием к системе, но без избыточной тревожности.",эпизод,поликлиника,,,
4,"Взрослая жизнь, семейный этап",Оценка качества медицинской помощи,"В целом довольна медицинской помощью, негативных случаев не было, отмечает дружелюбие врачей. Единственный эпизод — сложности с приёмом при лёгком заболевании, но в итоге помощь была оказана.","Ну и то мне тогда помогли все равно. Когда у меня там возникла температура... они сказали, ой, у нас только тяжелые случаи... Но, по-моему, в тот день я добилась, что меня все-таки приняли.","Умеренное удовлетворение, настойчивость","Упорство, самостоятельность, справедливость","Респондентка демонстрирует активную позицию в защите своих прав, но в целом не склонна к конфликтам с системой.",эпизод,,,,
5,"Взрослая жизнь, семейный этап",Финансовая доступность медицины,"Считает стоимость лечения высокой, предпочитает не обращаться лишний раз. Кредитов на лечение не брала.","Ну, я думаю, что стоимость лечения дороговата. То есть, если ты пойдешь в аптеку, в принципе, ты должен купить на тысячу, полторы, две.","Ограниченность, прагматизм","Экономия, финансовая осторожность","Высокая стоимость медицины воспринимается как фактор ограничения доступа, что типично для семей с ограниченным бюджетом.",декларация,,,,
6,"Взрослая жизнь, семейный этап",Эмоциональное состояние и стресс,"В целом чувствует себя уравновешенно, иногда испытывает усталость и стресс, но не тревогу или подавленность.","Позитивное, хорошее состояние. Без резких эмоциональных сквелетков, без серик. Уравновешенное в целом.","Позитив, спокойствие","Стабильность, эмоциональное равновесие",Респондентка демонстрирует высокий уровень саморегуляции и адаптации к стрессу.,декларация,,,,
7,"Взрослая жизнь, семейный этап",Стратегии совладания со стрессом,"Справляется со стрессом с помощью спонтанных покупок, прогулок, вкусной еды.","Ну, стараюсь что-то, допустим, себе купить. Там, из одежды, например. Ну, то есть, какой-то спонтанный шопинг, да, мне помогает.","Прагматизм, легкая ирония","Забота о себе, поиск удовольствий",Использование потребления как способа снятия стресса типично для городских жителей среднего класса.,эпизод,,,,
8,"Взрослая жизнь, семейный этап",Отношение к психологической помощи,"Позитивно относится к психологической помощи, но сама не обращалась даже в кризис, считая это дорогим и предпочитая справляться самостоятельно.","Даже в этот момент, когда у меня был кризис, депрессия конкретная, я почему-то не посчитала важным обратиться за помощью.","Самостоятельность, легкая неуверенность","Самопомощь, экономия, рациональность","Распространённая установка: признание пользы психологов, но барьер в виде стоимости и ориентация на самостоятельное преодоление трудностей.",узел,,,,
9,"Взрослая жизнь, семейный этап",Забота о близких,"Переживает за здоровье родственников, старается поддерживать их эмоционально, но пока не приходилось брать на себя уход или сопровождение.","Ну, я стараюсь все равно больше не в переживании уйти, а как-то вот в поддержку, и чтобы их самих приободрить.","Забота, ответственность","Семейственность, поддержка","Роль эмоционального опекуна в семье, характерная для женщин в зрелом возрасте.",эпизод,,,,
10,"Взрослая жизнь, семейный этап",Отношение к здоровью в будущем,"Не склонна задумываться о здоровье на перспективу, предпочитает решать вопросы по мере поступления.","Пока на перспективу не особо думаю, скажем так.","Беззаботность, легкая тревога","Жизнь здесь и сейчас, практичность",Отсутствие долгосрочного планирования здоровья типично для людей без хронических заболеваний и с ограниченными ресурсами.,декларация,,,,
11,"Взрослая жизнь, семейный этап",Ощущение ресурсного запаса,"Чувствует, что стала выносливее после пережитых трудностей, уверена в способности справляться с будущими проблемами.","мой запас срочности, выносливости, да, скажем так, он увеличился, и я понимаю, что, ну, нормально будет, даже если будет там, капец, плохо, то все равно как-нибудь выйдем из этой ситуации.","Уверенность, спокойствие","Стойкость, адаптивность",Формирование внутреннего ресурса через преодоление кризисов — важный элемент биографического самоощущения.,перелом,,,,
12,"Взрослая жизнь, семейный этап",Финансовое положение семьи,"Оценивает уровень дохода как средний, на крупные покупки нужно копить, ипотеку потянуть сложно.","Ну, средний уровень достатка. То есть на что-то большое не хватит, но если поднакопить, то можно и большое что-то купить.","Реализм, умеренное недовольство","Стабильность, прагматизм",Финансовое самоощущение типично для семей с двумя работающими взрослыми и детьми.,декларация,,ипотека в планах,,частичное
13,"Взрослая жизнь, семейный этап",Структура доходов и отношение к неофициальной занятости,"Основной доход — официальная работа, вторая работа неофициальная. К серым зарплатам относится положительно, считает их необходимостью для выживания малого бизнеса.","Ну, нормально, на самом деле, классно. ... Просто, ну, тогда половина бизнесов просто, ну, как бы развалится, и все.","Прагматизм, оправданность","Гибкость, выживание, адаптация",Легитимация неформальной занятости как вынужденной меры — характерная черта российского рынка труда.,декларация,,,,официальная и неофициальная занятость
14,"Взрослая жизнь, семейный этап",Расходы и экономические стратегии,"Основные расходы — питание, жильё, отдых. Приходится экономить ради накоплений на ипотеку, в первую очередь сокращают расходы на отдых и покупают стандартные продукты.","Вот, мы сейчас, говорю, собираем на ипотеку, поэтому мы немножко экономим, да.","Рациональность, умеренное напряжение","Целеустремлённость, экономия",Стратегия экономии ради крупной покупки (жилья) типична для молодых семей.,эпизод,,накопление на ипотеку,,
15,"Взрослая жизнь, семейный этап",Потребительские привычки и отношение к покупкам,"Планирует покупки, избегает спонтанных трат, положительно относится к скидкам, но осторожна из-за риска купить ненужное.","Но скидки на самом деле тоже помогают делать спонтанные покупки, которые я не люблю делать.","Осторожность, рациональность","Планирование, самоконтроль",Потребительское поведение ориентировано на рациональность и минимизацию импульсивных расходов.,декларация,,,,
16,"Взрослая жизнь, семейный этап",Покупки на маркетплейсах,"Покупает на Wildberries, но нечасто, предпочитает искать нужные вещи по выгодной цене. Одежду не покупает онлайн.","Вот на вайбрис я в основном только то, что вот, допустим, ну, в общем, что-то нужно, да, и ты понимаешь, что в магазине это будет дороже, надо посмотреть на вае близко, как будет стоить.",Прагматизм,"Экономия, целенаправленность",Использование маркетплейсов как инструмента экономии и поиска выгодных предложений.,эпизод,,,,онлайн-покупки
