id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,children_count,collapse_context
6,Родительство,Влияние появления детей на жизнь и приоритеты,"Появление детей изменило образ жизни, интересы и потребности респондента. Он стал больше интересоваться спортом, тратить ресурсы на детей, а не на себя. Отношения с супругой тоже изменились, появилась ревность к вниманию, которое она уделяет детям.","Дети растут, проблемы растут. Я заинтересовался видами спорта, которые вообще не знал и не увлекался. Мы сейчас смотрим вместе соревнования по дзюдо с ребенком.","принятие, лёгкая грусть, забота","забота о детях, саморазвитие, адаптация","Переориентация ресурсов и интересов на детей типична для семей с несколькими детьми. Мужчина отмечает эмоциональные изменения в отношениях с супругой, что отражает сложность адаптации к новому семейному укладу.",узел,,,,3.0,
7,Детство и юность,Влияние семьи происхождения,"Сестра забрала респондента в другой город, что стало важным событием, повлиявшим на его судьбу. Он размышляет, как бы сложилась жизнь, если бы этого не произошло.","Сестра поступила, что забрала меня сюда. Может быть то, что мама так поступила и сестра поэтому так поступила. Я задумался, если бы меня не забрали туда, как бы моя жизнь сложилась.","благодарность, рефлексия","семейная поддержка, судьба, благодарность","Миграция внутри страны по семейным причинам часто становится переломным моментом в биографии, определяя дальнейший жизненный путь.",перелом,семья происхождения,,,,
8,Взрослая жизнь,Потеря отца и переживание утраты,"Респондент пережил тяжелую утрату — смерть отца. Он описывает момент прощания как очень трудный, не сравнимый с обычным стрессом, а как глубокую душевную боль.","Я сижу с ним, прощаюсь, я понимал, что он как бы живой, он видит меня, понимает меня, но с другого момента живым его уже я не увидел.","грусть, тяжесть, скорбь","семейные узы, память, принятие","Переживание утраты родителей — важный этап взросления, влияющий на самоощущение и ценности. Мужчина отмечает нехватку родительской поддержки даже во взрослом возрасте.",эпизод,семья происхождения,,,,
9,Взрослая жизнь,Стрессоустойчивость и эмоциональные реакции,"Респондент описывает свою эмоциональность, способы реагирования на стресс в разных сферах жизни. В семье стресс воспринимается сильнее, чем на работе, особенно если он касается детей.","Я вообще очень эмоциональный человек. Я могу матом поругаться. Я пытаюсь себя в руках держать, но если я понимаю, что здесь находятся люди, с которыми я могу позволить это, я это делаю.","откровенность, самоирония","эмоциональная честность, забота о близких","Мужчины часто сдерживают эмоции на работе, но позволяют себе быть более открытыми дома. Стресс, связанный с детьми, воспринимается как более значимый, чем профессиональные неудачи.",декларация,,,,,
10,Взрослая жизнь,Моральные дилеммы и честность,"Респондент затрудняется вспомнить случаи, когда приходилось обманывать ради решения сложных ситуаций. Он считает, что лучше сразу признать ошибку, чем скрывать её.","По поводу работы, я считаю, что лучше сразу сказать, что накосячили и все.","уверенность, прямота","честность, открытость, ответственность","Высокая ценность честности и открытости в профессиональной и личной жизни. Склонность к прямому решению проблем, избегание манипуляций.",декларация,,,,,
11,Рефлексия над жизнью,Опыты взросления и нехватка родительской поддержки,"Респондент отмечает, что родители рано ушли из его жизни, и ему не хватало их совета и поддержки. Сестра помогала, но родительское наставление ощущается как незаменимое.",Родители старенькие рано ушли с моей жизни и я как бы один может быть некому было в нужный момент подсказать рассказать сестра есть сестра но папа с мамой совсем другой.,"грусть, сожаление, благодарность","семейная поддержка, наставничество, самостоятельность","Отсутствие родительской поддержки формирует самостоятельность, но оставляет внутреннюю потребность в наставничестве и одобрении.",узел,,,,,
1,"Зрелая семейная жизнь, будни взрослого человека","Распорядок дня, семейные обязанности и работа","Респондент описывает свой типичный день: ранний подъем, жена собирает детей в школу, завтрак с супругой, работа с разным графиком, возвращение домой к ужину, общение с детьми, выполнение домашних дел и поздний отход ко сну. Выходные заняты поездками на тренировки и соревнования детей, иногда — домашними делами.",Движение — жизнь.,"Усталость, но принятие и удовлетворение семейной жизнью","Семья, ответственность, поддержка, планирование, забота о детях","Типичная модель распределения семейных и трудовых обязанностей в современной российской семье с несколькими детьми. Высокая занятость, многозадачность, приоритет семейных интересов.",эпизод,"семья, работа",0.0,True,,
2,Зрелая семейная жизнь,Отношение к сну и усталости,"Респондент признает хроническую усталость и нехватку сна, несмотря на устоявшийся режим. Сон воспринимается как желанная, но недостижимая роскошь.","Я вообще спать все время хочу спать. Вот если бы мне сказали спить целый день, я бы, наверное, спал целый день.","Усталость, легкая ирония","Приспособляемость, трудолюбие",Проблема хронической усталости и недосыпа характерна для родителей с высокой нагрузкой и сменным графиком работы.,декларация,,,,,
3,Зрелая семейная жизнь,Перерывы и отдых в течение дня,"Перерывы на работе нерегламентированы, используются для морального отдыха, общения с супругой, друзьями и родственниками. Вечером времени на это не хватает из-за семейных обязанностей.","Ты приехал, у тебя дети, у тебя здесь галдеж, обсуждение. Какие-то задачи уже решаешь другие.","Легкая усталость, прагматизм","Семья, поддержка, общение",В условиях высокой занятости даже короткие перерывы используются для поддержания социальных связей.,эпизод,,,,,
4,Зрелая семейная жизнь,Домашние животные и распределение заботы,"Забота о домашнем животном в основном лежит на супруге, дети подключаются по необходимости.","Ну, получается, что супруга, потому что заставляли, ну, скажешь, покормят, не скажешь...","Безразличие, легкая ирония","Распределение обязанностей, семейная поддержка","Традиционное распределение домашних обязанностей, где основная нагрузка ложится на женщину.",эпизод,,,,,
5,Зрелая семейная жизнь,Отношение к работе и самозанятости,"Самозанятость и работа с техникой — скорее хобби, чем источник дохода. Увлечение техникой идет с детства, реализуется через ремонт автомобилей и чип-тюнинг. Работа по найму воспринимается как необходимая, но менее ценная, чем прежний опыт в коллективе.","Машины – это как бы моя страсть. Я люблю очень машины, я люблю сам это делать.","Увлеченность, сожаление о нереализованных возможностях","Самостоятельность, профессионализм, интерес к технике","Самозанятость часто воспринимается как способ самореализации, но не всегда становится основным источником дохода из-за рисков и нехватки времени.",узел,,,True,,
6,Зрелая семейная жизнь,Отношение к работе и коллективу,"На нынешней работе респондент не чувствует себя по-настоящему ценным, в отличие от прежней работы, где коллектив был сплоченным. Сейчас люди часто меняются, нет ощущения семьи.",На той работе меня больше ценили люди. Почему? Потому что на той работе мы были как семья.,"Сожаление, ностальгия","Коллективизм, стабильность, признание",Смена трудовых коллективов и анонимность современных рабочих отношений снижают уровень удовлетворенности работой.,перелом,работа,,,,
7,Зрелая семейная жизнь,"Досуг, хобби и семейные увлечения","Свободное время посвящается семье, совместным хобби с детьми (коллекционирование монет), иногда рыбалке. Личные увлечения отходят на второй план из-за нехватки времени.",Лучше я дома посижу с ребятами.,"Удовлетворение, легкая тоска по личному времени","Семья, совместное времяпрепровождение, традиции","Досуг родителей часто интегрируется с интересами детей, личные хобби уступают место семейным.",эпизод,,,,,
8,Зрелая семейная жизнь,Отношение к культуре и медиа,"Посещение театров и концертов — редкость, сериалы смотрят всей семьей по выходным. Музыкальные предпочтения не выражены, главное — приятная атмосфера.","Сериалы, да, всей семьей смотрим, когда есть время.","Нейтральность, спокойствие","Семейное единство, простота","Культурные практики ориентированы на совместное потребление медиа-контента, а не на индивидуальные интересы.",эпизод,,,,,
9,Зрелая семейная жизнь,Отношение к природе и экологии,"Респондент вырос в деревне, любит природу, предпочел бы жить ближе к ней. Экологические проблемы волнуют мало, кроме бытового мусора после отдыхающих.","Я бы жил где-нибудь в природе. Я человек, который вырос в деревне.","Ностальгия, раздражение (по поводу мусора)","Природа, чистота, простота","Экологическая ответственность ограничивается бытовыми практиками, глобальные проблемы воспринимаются как далекие.",декларация,,,,,
10,Зрелая семейная жизнь,Отпуск и восстановление,"Полноценный отпуск — только летом, поездка на море с семьей. Восстановиться полностью не удается, но смена обстановки дает эмоциональную перезагрузку. Идеальный отпуск — без суеты и с достатком времени.",Опять все упирается в время.,"Легкое разочарование, стремление к покою","Семья, отдых, время","Отпуск воспринимается как редкая возможность для семейного единения и эмоционального восстановления, но не как полноценный отдых.",эпизод,,,,,
11,Зрелая семейная жизнь,Близкие люди и социальные связи,"Близкие люди — это семья и те, с кем есть взаимопонимание. С некоторыми родственниками отношения прекратились из-за конфликтов и образа жизни.","Может быть, с кем бы ты не хотел общаться, но это твой родной человек, поэтому нужно искать подход.","Принятие, легкая грусть","Семья, взаимопонимание, границы","Семейные связи сохраняются, но не любой ценой; важна эмоциональная близость и общие ценности.",узел,,,,,
12,Зрелая семейная жизнь,Семейные конфликты и разрыв отношений,После смерти матери отношения с одной из сестер испортились из-за ее асоциального поведения. Семья вынуждена была прекратить общение и выгнать ее из родительского дома.,"Нам пришлось неоднократно сказать, либо ты прекращаешь такой образ жизни... либо ищи место другое.","Грусть, разочарование, решимость","Ответственность, порядок, забота о семье","Семейные конфликты могут приводить к разрыву даже близких родственных связей, если нарушаются базовые нормы поведения.",перелом,,1.0,,,
13,Зрелая семейная жизнь,Семейные традиции,"Главные традиции — совместное празднование дней рождения, Нового года и других праздников в кругу семьи. Обычаев как таковых нет, но поддерживается семейная сплоченность.","Стараемся все вместе кучкой держать, поддерживать какие-то родственные связи.","Тепло, удовлетворение","Семья, традиции, сплоченность",Семейные праздники — важный элемент поддержания родственных связей и идентичности.,эпизод,,,,,
14,Зрелая семейная жизнь,"Отношения с супругой, ценности в партнерстве","Важна взаимная поддержка, умение справляться с трудностями вместе. Партнерство строится на совместимости и умении ценить друг друга.","Пытаемся справиться со всеми невзгодами, трудностями, какими-то препятствиями, потому что она подходит мне, а я подхожу ей.","Уверенность, благодарность","Взаимная поддержка, совместимость, уважение","Современная модель партнерства строится на равенстве и взаимной поддержке, а не на традиционных ролях.",декларация,,,,,
1,Зрелая семейная жизнь,Отношения в семье и ценности,"Респондент отмечает, что семья и дети сблизили супругов, научили ценить моменты взросления детей и проводить больше времени вместе, а не фокусироваться только на заработке.","Семья. Благодаря ей я тоже стал понимать, что нужно эти моменты ценить, которые связаны с взрослением детей. Что больше времени нужно проводить с семьей, а не пытаться максимально заработать денег.","Благодарность, осознанность","Семья, близость, совместное время, воспитание детей","Респондент демонстрирует переход от материалистических установок к ценности семейного времени, что характерно для зрелого этапа жизни и родительства.",эпизод,Семья,,,,
2,Зрелая семейная жизнь,Разногласия в воспитании детей,"В семье возникают споры по поводу методов воспитания детей: респондент считает супругу слишком строгой, предпочитает более мягкий подход.","Мы всегда начинаем спорить, ссориться из-за того, кто как воспитывает детей. Я говорю, что ты резко, грубо, но ты можешь с ним понежнее, попонятнее ему объяснить.","Раздражение, желание гармонии","Понимание, мягкость, забота о детях","Типичная для современных семей ситуация: разногласия по вопросам воспитания, поиск баланса между строгостью и мягкостью.",узел,Семья,,,,
3,Зрелая семейная жизнь,Финансовое устройство семьи,"Финансовыми вопросами в семье занимается супруга, респондент полностью доверяет ей управление бюджетом и не скрывает доходы.","Вся финансовая часть это супруга, это финансовый директор. У меня нет такого, что, знаете, скрыл, сколько я получил. У меня вообще нет.","Доверие, спокойствие","Прозрачность, доверие, партнерство","Распределение ролей в семье: жена отвечает за финансы, что отражает доверие и современную модель партнерства.",декларация,Семья,,,,
4,Зрелая семейная жизнь,Отношения с родственниками супруги,"У супругов мало родственников, отношения с матерью жены сложные из-за ее ухода из семьи. Для респондента это непривычно, так как он вырос в сплоченной семье.","У меня никого нет, кроме сестер, а у нее тоже, кроме одной сестры, нет никого. ... мама их бросила в определенный момент, поэтому никак не складывается...","Сочувствие, недоумение","Семейная сплоченность, поддержка",Опыт семейной травмы супруги влияет на эмоциональный климат семьи; респондент отмечает различие в семейных моделях.,эпизод,Семья,,,,
5,Зрелая семейная жизнь,Роль детей в жизни,"Появление детей увеличило потребности, заставило больше работать, но также стало источником радости и мотивации.","Заставляют, наверное, больше работать. потребности расход поэта.","Ответственность, усталость, мотивация","Ответственность, забота о будущем","Дети становятся драйвером активности и роста, но увеличивают нагрузку на родителей.",эпизод,Семья,,,,
6,Зрелая семейная жизнь,Дружба и социальные связи,"Друзья — это люди, на которых можно положиться в любой ситуации. Большинство друзей появились после переезда, детских друзей почти нет.","Это вот люди, которым ты в любое время можешь позвонить, и он тебе там начнет вопросы задавать, и скажет, что я сейчас там подъеду.","Теплота, благодарность","Надежность, поддержка, взаимопомощь","Социальные связи формируются преимущественно во взрослом возрасте, после переезда, что типично для мобильных городских жителей.",декларация,,,False,,
7,Зрелая семейная жизнь,Ощущение поддержки и одиночества,"Респондент чувствует поддержку со стороны семьи и друзей, но иногда испытывает мимолетное чувство одиночества и потребность в мужском общении.","Несмотря на то, что вы окружены многими людьми… Да, но вот иногда такой момент, что чего-то не хватает, чего-то прям хочется такого, а этого нет.","Легкая грусть, ностальгия","Доверие, открытость, эмоциональная близость",Даже при наличии семьи и друзей у мужчин сохраняется потребность в специфическом мужском общении и эмоциональной разрядке.,эпизод,,,,,
8,Зрелая семейная жизнь,Здоровье и отношение к медицине,"Респондент не уделяет особого внимания здоровью, обращается к врачам только при необходимости. Питание и образ жизни несбалансированы из-за темпа жизни и работы.","Самое главное, не болеть и хорошо, наверное. Я так отношусь к своему здоровью. Если что-то начинает беспокоить, болеть, тогда уже начинаешь записываться в поликлинику.","Безразличие, легкая тревога","Практичность, минимализм","Преобладает реактивный подход к здоровью, характерный для занятых взрослых мужчин.",декларация,Медицина,,,,
9,Зрелая семейная жизнь,Физическая активность и привычки,"Респондент не занимается спортом профессионально, но много двигается на работе. Признает наличие вредных привычек (курение, пиво), но не считает их критичными.",Профессионально ничем никогда не занимался... В плане подвижности я все время нахожусь в движении.,"Самокритика, принятие","Движение, умеренность","Физическая активность воспринимается как часть повседневной рутины, а не как осознанная забота о здоровье.",декларация,,,,,
10,Зрелая семейная жизнь,Отношение к официальной и народной медицине,"Респондент доверяет официальной медицине, но отмечает коммерциализацию системы и недостаток квалифицированных специалистов. К народной медицине относится скептически, но верит в православные обряды.","Положительно поддерживаю, если это все правильно оказанное, медицинская помощь, правильно выявленная медицина. Конечно, да, без этого никак.","Сдержанное доверие, критичность","Рациональность, традиции, вера",Двойственное отношение к медицине: рациональное доверие к официальной системе сочетается с критикой и элементами традиционализма.,декларация,Медицина,,,,
11,Зрелая семейная жизнь,Вакцинация и медицинские практики,"Респондент придерживается традиционного подхода: делает все прививки себе и детям, доверяет советской системе.","Я все прививки в детстве делал, делаю и детям делаю.","Уверенность, спокойствие","Традиции, ответственность","Сохраняется доверие к советским медицинским практикам, что типично для поколения, выросшего в СССР.",декларация,Медицина,,,,
12,Зрелая семейная жизнь,Эмоциональное состояние и стресс,"Респондент часто испытывает эмоциональный стресс, раздражение из-за внешних обстоятельств (пробки, работа), пытается справляться с этим с помощью музыки и общения.","Наверное, я постоянно нахожусь в каком-то эмоциональном стрессе. ...музыку включить, кем-то позвонить, поговорить, общаться.","Раздражение, усталость","Саморегуляция, адаптация",Высокий уровень стресса характерен для городских жителей среднего возраста; поиск простых способов эмоциональной разрядки.,эпизод,,,,,
13,Зрелая семейная жизнь,Отношение к психологической помощи,"Респондент не обращался к психологу, но допускает такую возможность. Отмечает внутренние барьеры и скепсис.","Я не обращался, но, может быть, хотел бы пообщаться с таким человеком. Но меня отпугивает или настораживает то...","Скепсис, осторожность","Самостоятельность, рациональность","Скепсис к психологической помощи типичен для мужчин старшего поколения, но появляется интерес к новым практикам.",декларация,Психологическая помощь,,,,
1,"Взрослая жизнь, родительство",Отношение к психотерапии и заботе о здоровье,"Респондент выражает недоверие к шаблонным подходам психотерапевтов, подчеркивает важность индивидуального подхода. Проявляет тревожность по поводу здоровья близких, особенно детей, и переживает за собственное здоровье и работоспособность в будущем.","Я боюсь, что у него есть определенный шаблон, определенный алгоритм у этого психотерапевта или психолога, который он применяет ко всем. Тут же индивидуально у каждого своя история...","Тревожность, мнительность","Индивидуальный подход, забота о семье, ответственность","Респондент демонстрирует высокий уровень тревожности, характерный для родителей с маленькими детьми, а также недоверие к формализованным институтам помощи.",декларация,,,,,False
2,"Взрослая жизнь, родительство",Ожидания поддержки в старости,"Респондент надеется на поддержку детей в будущем, но осознает неопределенность этого сценария. Воспитывает детей в духе взаимопомощи между поколениями.","Конечно, хочется верить, что все-таки это дети будут, да, которые помогут в старости. ... Хотя мы воспитываем в таком направлении, что должны помогать родителям.","Надежда, неуверенность","Семейная взаимопомощь, традиционные ценности","Отражает традиционную модель межпоколенческой поддержки, но с элементами сомнения, характерными для современных семей.",декларация,,,,,False
3,"Настоящее время, взрослая жизнь",Финансовое положение семьи,"Денег хватает только на базовые нужды: еду, одежду, коммунальные услуги. На крупные покупки приходится долго думать, иногда брать кредит. Супруга в декрете, подрабатывает дома.",Хватает денег только на еду.,"Сдержанный оптимизм, реализм","Рациональность, ответственность, семейное сотрудничество","Семья с детьми, один основной кормилец, типичная ситуация для российских семей среднего класса. Присутствует кредитная нагрузка.",эпизод,"Семья, рынок труда, кредитные организации",,"Ограниченное, преимущественно базовые расходы",,False
4,"Настоящее время, взрослая жизнь",Потребительское поведение и экономия,"Семья экономит на дорогих продуктах и вещах, редко делает спонтанные покупки. Положительно относится к скидкам и акциям, активно использует маркетплейсы для покупок, особенно из-за ограниченной мобильности супруги.","акции акции скидки Постоянно и часто. А почему нет? лишний повод сэкономить что-то, получить повыгоднее.","Практичность, спокойствие","Экономность, рациональность, удобство",Переход к онлайн-покупкам связан с семейными обстоятельствами (маленький ребенок). Экономия становится нормой.,эпизод,,,"Онлайн-торговля, маркетплейсы",,False
5,"Настоящее время, взрослая жизнь",Отношение к поддержанным вещам,"Семья не покупает поддержанную одежду, кроме случаев, когда вещи передают знакомые. Однако поддержанные инструменты и оборудование покупает и продает.","Про одежду от слова совсем. Но если только эта одежда не от своих, ее просто не отдали.","Нейтральность, прагматизм","Гигиена, доверие к близким, рациональность","Сохраняется стигма по отношению к поддержанной одежде, но прагматизм в отношении техники.",декларация,,,"Вторичный рынок (техника, инструменты)",,False
6,"Настоящее время, взрослая жизнь",Финансовые ограничения и сбережения,"Семья не может откладывать деньги из-за равенства доходов и расходов. Крупные покупки возможны только в кредит. Автомобиль в кредите, другого имущества нет.","Не получается, честно. Как ни пытаемся, но не получается. Потому что на текущий момент расходы практически равны доходам.","Смирение, легкая тревога","Ответственность, реализм","Отражает типичную ситуацию для семей с несколькими детьми: отсутствие финансовой подушки, зависимость от кредитов.",узел,,0.0,Кредитование,,False
7,"Настоящее время, взрослая жизнь",Финансовые решения в семье,"Крупные траты обсуждаются совместно, возможны споры, но решения принимаются сообща. Приоритет — важные расходы, связанные с детьми.","Ну, как-то приходим к общему мнению, прям, знаете, что штыки там нет, все я сказал, или сказала, надо сделать, купить там, не знаю, телевизор какой-нибудь, плазму большую. Такого нет.","Сотрудничество, компромисс","Семейное согласие, приоритет детей","Демократизация семейных финансовых решений, смещение акцента на нужды детей.",эпизод,,,,,False
8,"Настоящее время, взрослая жизнь",Гендерные роли и карьера,"Респондент изменил взгляды: теперь считает, что женщина может делать карьеру, если это не в ущерб семье. Не против, если жена будет зарабатывать больше.","Я не против, чтобы женщина делала карьеру и там зарабатывала даже больше. Я нормально к этому отношусь. Если это в семье не будет дальнейшими упреками или преткновениями.","Открытость, рассудительность","Равноправие, семейная гармония","Переосмысление традиционных гендерных ролей, адаптация к современным социальным ожиданиям.",перелом,,,,,False
9,"Настоящее время, взрослая жизнь",Смысл денег,"Деньги для респондента — это прежде всего безопасность и спокойствие. Признает, что с ростом доходов растут и потребности.","Финансовая подушка, наличие финансов, это какое-то спокойствие наоборот. Ты уверен, что у тебя есть какие-то сбережения финансовые.",Стремление к стабильности,"Безопасность, спокойствие","Деньги воспринимаются как инструмент защиты от жизненных рисков, а не как источник удовольствий.",декларация,,,,,False
10,"Настоящее время, взрослая жизнь",Взаимодействие с государственными органами,"Респондент сталкивается с бюрократией, очередями, неэффективностью и несправедливостью в работе госорганов. Приводит примеры из личного опыта, выражает недовольство и желание перемен.","Бюрократия везде. Как говорится, без бумажки ты какашка.","Раздражение, разочарование","Справедливость, эффективность","Критика государственных институтов типична для граждан, сталкивающихся с их неэффективностью. Ожидание справедливости и порядка.",декларация,Государственные органы,,,,False
