id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,credit_usage,savings,delivery_usage,marketplaces,financial_planning
1,Детство и начальная школа,Отношения с учителями и первые впечатления от школы,"Респондентка вспоминает о теплых отношениях с учительницей по географии, которая была доброй и внимательной. В то же время она рассказывает о негативном опыте с учительницей начальных классов, которая применяла физическое наказание к детям.","Мы думали, что можно сделать такое плохое, чтобы посидеть рядом с ней, с ней поговорить. Нам же хотелось получить это наказание.","Ностальгия, теплота, легкая грусть, возмущение","Доброта, справедливость, уважение к педагогам, стремление к справедливости","Воспоминания о школе иллюстрируют контраст между педагогами старой школы: одни были образцом доброты и эмпатии, другие — носителями авторитарных практик, что отражает изменения в образовательных институтах позднего СССР.",эпизод,"школа, детский сад",,,True,,,,,
2,Средняя и старшая школа,"Учеба, отношения с учителями, формирование интересов","Респондентка рассказывает о своих успехах в русском языке, о конфликте с учительницей из-за исправления ошибок, а также о том, как ее навыки грамотности востребованы до сих пор.","Я если вижу ошибку, то мне сразу надо ее снять. Я не успела сообразить, что мне надо, что учителям не надо все-таки это правильно.","Гордость, обида, самоуважение","Компетентность, честность, стремление к знаниям","Формирование идентичности через учебные успехи и признание со стороны окружающих. Навыки, полученные в школе, становятся частью взрослой жизни и социальной роли.",эпизод,школа,,,True,,,,,
3,"Юность, старшие классы",Первые профессиональные интересы и влияние семьи,"В старших классах респондентка задумывалась о профессии, хотела попробовать себя в торговле, даже работала продавцом, но родители не поддержали ее выбор.","Я очень хотела. Я ходила, узнавала, сколько стоят курсы, где какие курсы есть, где что есть. Но мама моя сказала, значит так, нет денег, некому тебя возить, ни на какие курсы ты не пойдешь.","Разочарование, зависть, принятие","Самостоятельность, стремление к развитию, семейные обязательства","Семейные ограничения и экономические обстоятельства влияют на профессиональный выбор молодежи, ограничивая возможности для самореализации.",перелом,"семья, школа",,первые попытки участия в рынке труда,True,,,,,
4,"Молодость, ранняя взрослая жизнь",Личные отношения и семейная жизнь,"Респондентка вспоминает о знакомстве с будущим мужем, радости от его музыкальных увлечений и совместной жизни.","Я очень обрадовалась, когда я узнала, когда я познакомилась с мужем, что он играет на гитаре.","Радость, воодушевление, теплота","Семья, любовь, общие интересы",Музыкальные увлечения становятся фактором притяжения и символом эмоциональной близости в паре.,эпизод,семья,,,True,,,,,
5,Взрослая жизнь,"Хобби, досуг и саморазвитие","Респондентка рассказывает о любви к музыке, песням, эмоциональном отклике на них, а также о стремлении к духовному развитию и интересе к беседам на глубокие темы.","Мне, чтобы расслабиться, вот я вот подслегла вечером уже перед сном и слушала вот это вот в наушниках, ну, эти песни, конечно...","Уют, спокойствие, меланхолия","Эмоциональная гармония, саморазвитие, духовность",Музыка и духовные практики выступают инструментами эмоциональной регуляции и способом поддержания внутреннего баланса.,декларация,,,,True,,,,,
6,"Взрослая жизнь, зрелость",Профессиональная деятельность и трудовая биография,"Респондентка описывает свой путь на рынке труда: первую официальную работу, карьерный рост, увольнение по сокращению, конфликты с руководством и последующее трудоустройство в сфере ухода за пожилыми людьми.","Я нашла объявление, пришла, я отправилась на обучение работать курьером, на полдня... Потом дальше-дальше, то есть там пошла карьера.","Удовлетворение, обида, решимость","Трудолюбие, справедливость, самостоятельность","Трудовая биография респондентки иллюстрирует типичные для постсоветского пространства карьерные траектории: неформальные практики, конфликты, вынужденные перемены, адаптацию к новым условиям.",узел,"рынок труда, организация",,"официальная занятость, смена профессий",True,,,,,
7,"Взрослая жизнь, зрелость",Долгосрочная работа в сфере ухода,"После увольнения респондентка устроилась работать по уходу за пожилыми людьми, где проработала почти 15 лет с небольшим перерывом на рождение ребенка.","14 лет, вот так.","Стабильность, усталость, принятие","Забота, ответственность, стабильность",Долгосрочная занятость в социальной сфере часто связана с личными ценностями и необходимостью совмещать работу с семейными обязанностями.,эпизод,социальная служба,,долгосрочная занятость,True,,,,,
1,Период активной трудовой деятельности (работа в организациях в Петербурге),Работа и профессиональные отношения,"Респондентка рассказывает о работе в двух организациях, переводе между ними, особенностях коллектива и отношениях с руководством. Коллектив был малозаметен, но отношения с начальством и подопечными были хорошими. Работа была интенсивной, с большим количеством рабочих часов, иногда с двумя зарплатными картами и дополнительными выплатами за отдельные услуги.","Коллектив практически не видишь, ну, потому что, ну, просто ходишь там по ходу, раз в месяц проводишь отчёт и всё... Во-первых, мне там нравились отношения. Во-вторых, отношения с гипотетическим руководителем были хорошие.","спокойствие, удовлетворение, некоторая усталость","профессионализм, честность, трудолюбие, хорошие отношения с руководством","Респондентка демонстрирует адаптацию к условиям рынка труда, гибкость в выборе рабочих мест и стратегию максимизации дохода. Отношения в коллективе не играют для неё ключевой роли, важнее — условия труда и отношения с руководством.",эпизод,две организации в Санкт-Петербурге,,True,,,,,,
2,Переходный этап — завершение работы и смена жизненного ритма,Пауза в профессиональной деятельности и забота о близких,"После завершения работы респондентка не ищет новую работу активно, так как занята заботой о тяжело больной знакомой, домашними делами и ремонтом машины. Отдых воспринимается как невозможный из-за постоянной занятости.","Я не могу сказать, что я особо ищу, потому что нужны особо и нет... у меня просто неделю очень хватает. У меня знакомая, она онкологически тяжело болеет, и я всегда, ну, я возила ее на машине...","усталость, заботливость, принятие","забота о близких, ответственность, помощь другим","Переход от профессиональной занятости к неформальной заботе о близких типичен для женщин старшего возраста. Роль помощницы и опекуна становится центральной, вытесняя профессиональную идентичность.",перелом,,0.0,,,,,,,
3,Текущий повседневный уклад,"Распорядок дня, религиозность и активность","День респондентки начинается рано, наполнен делами, религиозными практиками и заботой о семье. Она отмечает, что не может долго отдыхать и предпочитает активный образ жизни.","Я человек религиозный, верующий, да, и вот сейчас вот идет пост... Для меня это вообще проблема. Я говорю, вдруг он будет не уйти сюда, я оттуда.","энергичность, удовлетворение, некоторая усталость","религиозность, активность, самостоятельность","Религиозная практика и активная жизненная позиция формируют структуру повседневности. Респондентка не приемлет пассивности, что типично для людей с внутренней потребностью к социальной вовлеченности.",узел,,,,True,,,,,
4,Текущий семейный быт,Домашние обязанности и поддержка семьи,"Респондентка рассказывает о распределении домашних обязанностей между собой, мужем и дочерью. Отмечает, что муж помогает, а дочь стала более самостоятельной в уборке.","Муж помогает, да. Дочь я стала вот, как бы, ну, в своей комнате хотя бы сейчас там стала убираться.","спокойствие, удовлетворение","семейственность, взаимопомощь, самостоятельность",Традиционное распределение ролей в семье постепенно смещается в сторону большей самостоятельности детей и участия мужа в быту.,эпизод,,0.0,,,,,,,
5,Текущий досуг и отдых,"Выходные, отдых, природа","Выходные респондентка проводит активно: посещает церковь, помогает больной знакомой, иногда отдыхает дома, смотрит телевизор. Любит бывать на природе, но не всегда находит на это время.","По воскресенью, по утрам у нас, как правило, это поход в кран... На природу я люблю выходить. Вот сейчас, наверное, начнем. Мы живем около парка.","умиротворение, некоторая усталость","духовность, помощь другим, любовь к природе","Досуг респондентки связан с религиозной и социальной активностью, а также с заботой о близких. Природа и религия выступают источниками восстановления.",эпизод,,,,True,,,,,
6,Текущий эмоциональный фон,Саморегуляция и усталость,"Респондентка признаёт, что иногда устает, но умеет регулировать своё состояние, занимается саморазвитием и не склонна к унынию.","Я уже занимаюсь вот как-то вот, да, вот таким самым своим развитием, как-то, да, и я, ну, просто сама умею вот эти ситуации, ну, как бы... Регулируете, да? Да, да, да, да, да, к себе.","усталость, самоконтроль, оптимизм","саморазвитие, устойчивость, оптимизм",Стратегии саморегуляции и саморазвития становятся важными для поддержания психологического благополучия в условиях высокой нагрузки.,декларация,,,,,,,,,
7,Текущий социальный круг,"Дружба, близкие отношения, поддержка","Респондентка различает понятия 'подруга', 'знакомая', 'близкий человек'. Для неё важны духовная близость и возможность обсуждать личные темы. В кругу есть мужчина-друг, с которым отношения строго платонические, и несколько близких по духу людей.","Я считаю, что близкими по духу не людей... Пусть это будет один, пусть это будет два человека, ну, сколько их есть. Но они будут мне именно близки по духу, с которыми я могу, в принципе, обсудить любые плоды самых интимных тем.","благодарность, доверие, некоторая грусть","духовная близость, доверие, искренность","Для респондентки важна не широта, а глубина социальных связей. Духовная и эмоциональная близость ценятся выше формальных дружеских отношений.",декларация,,,,,,,,,
8,Семейные отношения (настоящее),Отношения с супругом,"Респондентка затрудняется назвать, что для неё ценно в отношениях с мужем. Говорит о благодарности, но не уверена в наличии любви. Отношения воспринимаются скорее как привычка или долг.","Честно сказать, я не знаю, что для меня ценно. Просто я не знаю, потому что на самом деле... Ну, не знаю. Я даже не могу сказать, что там дальше какая-то любовь уже есть.","растерянность, сомнение, некоторая грусть","благодарность, долг, привычка","В длительных браках чувства могут трансформироваться, уступая место благодарности и привычке. Респондентка рефлексирует над изменениями в отношениях.",декларация,,,,,,,,,
1,"Зрелый возраст, семейная жизнь с мужем",Здоровье и бытовые конфликты с мужем,"Респондентка рассказывает о проблемах со здоровьем (легкие), связанных с курением мужа, и о бытовых конфликтах, возникающих на этой почве. Также упоминается, что муж недавно перестал пить, но у него сохраняются определенные поведенческие паттерны.","Я понимаю, что это алкогольное мышление у него все-таки еще есть, потому что он всего лишь полгода не пьет. И он так вот вырастет, он не может по-другому.","Раздражение, усталость, некоторая надежда","Забота о здоровье, стремление к гармонии в семье, терпимость","Ситуация типична для семей, где один из супругов борется с зависимостью. Женщина берет на себя роль контролирующего и заботящегося, но сталкивается с сопротивлением и усталостью.",эпизод,семья,0.0,False,,,,,,
2,"Зрелый возраст, воспитание детей",Отношения мужа с детьми,"Муж хорошо общается с детьми, особенно с дочкой, уделяет ей много внимания. Однако респондентка отмечает, что муж часто либо с дочкой, либо курит, и не всегда доступен для общения.","Он очень хорошо общается с дочкой. Он дочке много внимания уделяет. Я говорю, что ты остался покурить выходить на лоджию, ты даже поговорить с тобой не будешь.","Одобрение, легкая досада","Семейные отношения, забота о детях","Видна типичная для российских семей ситуация, когда отец после преодоления зависимости старается компенсировать недостаток внимания детям.",эпизод,семья,0.0,False,,,,,,
3,"Переход к материнству, уход с работы",Финансовая поддержка и трудовая занятость,"Респондентка раньше много зарабатывала, но после рождения дочери перестала работать в прежнем объеме и стала зависеть от дохода мужа.","Я рассказывала, что я много зарабатывала. Это было все до того, пока я дочь не родила. И когда я родила дочь, я уже не стала так работать.","Сожаление, принятие","Самостоятельность, забота о семье",Переход женщины из активной трудовой деятельности в зону экономической зависимости после рождения ребенка — распространенный паттерн в российских семьях.,перелом,"семья, рынок труда",0.0,True,,,,,,
4,"Зрелый возраст, воспитание подростков","Отношения с детьми, конфликты и взросление сына","Респондентка описывает отношения с дочкой как хорошие, а с сыном были сложности в подростковом возрасте, но сейчас отношения наладились. Сын живет отдельно, помогает семье.",Взрослый. Да.,"Гордость, облегчение","Семейная поддержка, самостоятельность детей","Показан процесс взросления детей и постепенного перехода к самостоятельной жизни, при сохранении семейных связей и взаимопомощи.",узел,семья,0.0,True,,,,,,
5,Зрелый возраст,Отношения с родителями и родственниками,"Респондентка поддерживает отношения с матерью, но в целом с родственниками общение ограничено. С родственниками мужа контакты формальные, по праздникам или особым случаям.","Мама по праздникам не звонит, не приходит. Я тоже не звоню, не приходу.","Спокойствие, некоторая отстраненность","Семейные связи, дистанция","Семейные отношения становятся более формальными и редкими по мере взросления, особенно если есть религиозные или ценностные разногласия.",эпизод,"семья, родственные связи",0.0,False,,,,,,
6,"Зрелый возраст, личностные изменения",Религиозный выбор и разрыв с семьей,"Респондентка осознанно сменила религию с иудейской на христианскую, что стало причиной разрыва с родителями и родственниками. Решение принято самостоятельно, без влияния мужа.","Я приняла другую веру, это было мое решение. Не ту веру, которая принадлежит мне до самого рождения.","Уверенность, некоторая боль","Самостоятельность, духовность, честность","Смена религии в зрелом возрасте часто ведет к конфликту с родительской семьей и социальной изоляции, особенно в традиционных сообществах.",перелом,"религия, семья",0.0,False,,,,,,
7,"Юность, школьные годы",Формирование религиозных взглядов,"Интерес к христианству возник еще в школьные годы под влиянием учительницы истории и экскурсий по церквям. Мать не одобряла, но не препятствовала.","Я всегда приняла решение, что мне эта вера нравится.","Любопытство, вдохновение","Открытость, самостоятельность",Влияние школьных учителей и внешкольных мероприятий на формирование мировоззрения подростков.,эпизод,"школа, семья",0.0,False,,,,,,
8,Зрелый возраст,Роль веры в жизни,"Вера воспринимается как источник спокойствия и уверенности, помогает справляться с трудностями. После крещения у семьи улучшилось материальное положение.","Вера мне даёт какую-то, не знаю, уверенность, что ли, спокойствие, кстати.","Спокойствие, благодарность","Духовность, устойчивость","Религиозность становится опорой в условиях неопределенности и жизненных трудностей, что характерно для многих российских семей.",декларация,"религия, семья",0.0,False,,,,,,
9,Зрелый возраст,Изменение финансового поведения,"После улучшения доходов семья стала больше тратить на отдых, поездки, покупки для дочери. Респондентка перестала экономить на некоторых вещах.","Я на это перестала, да, как бы экономить. Я не перестала ходить в магазины, где что-то дешевле.","Удовлетворение, легкая тревога","Комфорт, забота о детях","Рост доходов ведет к изменению потребительских привычек, расширению потребления, особенно в отношении детей.",эпизод,"семья, рынок",0.0,True,,,,,,
10,Зрелый возраст,Использование кредитных инструментов,"Респондентка пользуется кредитными картами с беспроцентным периодом для покрытия текущих расходов, когда не хватает денег до зарплаты.","Я сейчас пользуюсь кредитными картами, которые без процентов.","Практичность, некоторая тревога","Рациональность, финансовая гибкость","Использование кредитных инструментов становится нормой для семей среднего класса, особенно при нестабильных доходах.",эпизод,"банк, рынок",0.0,True,,,,,,
11,"Молодость, начало семейной жизни",Финансовые трудности в начале брака,В первые годы брака семья сталкивалась с финансовыми трудностями из-за сезонности работы мужа и отсутствия стабильного дохода.,"По молодости, вообще первые лет пять, когда мы работали, была какая-то сезонность.","Сложности, воспоминания о трудностях","Стойкость, семейная поддержка","Молодые семьи часто сталкиваются с нестабильностью доходов, что влияет на их экономическое поведение и сплоченность.",эпизод,"семья, рынок труда",0.0,True,,,,,,
1,"Молодая семья, конец 1990-х",Финансовые трудности после замужества и рождения ребенка,"Респондентка рассказывает о тяжелом финансовом положении в конце 1990-х: муж не работал, жили на деньги, которые давала мама, питались очень скромно. Позже развелись.","Был период, что там мы жили, пока еще у нас не было детей, на 100 рублей, которые давала моя мама мне на неделю. Это был 1997 год... Я заварила огромную кастрюлю супа на неделю.","Сочетание усталости, грусти и некоторой ностальгии, но без отчаяния","Семья, выживание, забота о ребенке, благодарность за поддержку","Типичная для постсоветских 1990-х история: экономическая нестабильность, зависимость от родительской поддержки, гендерное распределение ролей (муж не работает, жена и мать берет на себя заботу о семье).",эпизод,"Семья, неформальная поддержка",0.0,"минимальная, вынужденная экономия",,,,,,
2,"Настоящее время, зрелый возраст",Траты и бюджет семьи,"Основные траты идут на желания и нужды дочери, на себя тратит меньше. Крупных кредитов и ипотеки нет, есть кредитная карта, которой пользуется для удобства.","Всякие пикости, да, вот на всякие там эти хотелки, на эти поездки, хотелки, вот это на все, да. Такие-то кроссовки мне нужны вообще, кроссовки мне только как уже не ходят, а потом мне нужны брюки, а потом мне нужна куртка там такая, простакая, то есть в основном на нее, на нас меньше, наверное.","Спокойствие, некоторая ирония, легкая усталость","Забота о детях, рациональность, умеренность","Показательна ориентация на нужды ребенка, а не свои, что типично для российских семей среднего класса. Кредиты используются осторожно, микрозаймы отвергаются.",декларация,,0.0,"активная, но сдержанная",,"есть кредитная карта, нет ипотеки",,,,
3,Настоящее время,Финансовое планирование и сбережения,"Сбережения делать не удается, деньги быстро расходуются, особенно из-за неожиданных трат. В прошлом году удавалось экономить больше.","Я бы сказала, сейчас не удаются. У меня 35 тысяч на карточке осталось. Я говорю, Слава, ну ты же вообще не серьезно.","Некоторая тревога, самоирония","Финансовая ответственность, стремление к стабильности",Отражает типичную ситуацию: даже при наличии дохода сбережения делать сложно из-за непредвиденных расходов и инфляции.,декларация,,,"пассивная, нет накоплений",,,False,,,
4,Настоящее время,Отношение к кредитам и финансовым организациям,"Кредитной картой пользоваться удобно, но микрозаймы не рассматриваются. Доверие к банкам выше, чем к другим организациям.","Кредитная карта удобная. Я знаю, мы это вообще для себя не рассматриваем. Мы никогда не были в микрозайме и не собираемся.","Уверенность, прагматизм","Осторожность, финансовая грамотность, недоверие к рисковым инструментам","Показательна разница в доверии к разным финансовым институтам: банки воспринимаются как легитимные, микрофинансовые организации — как опасные.",декларация,Банки,,осмотрительная,,,,,,
5,Настоящее время,Потребительские привычки: доставка и маркетплейсы,"Пользуется доставкой продуктов, но реже из-за подорожания. Активно покупает на маркетплейсах, особенно в Wildberries и Ozon.","Маркетплейс вообще там даже не сказать, сколько раз в неделю. Потому что это вообще бывает практически на каждый день.","Легкая усталость, прагматизм","Удобство, экономия времени, рациональность",Рост популярности маркетплейсов и доставки отражает изменение потребительских практик в городах. Однако рост цен ограничивает частоту использования.,декларация,,,активная,,,,снижается из-за роста цен,"['Wildberries', 'Ozon']",
6,Настоящее время,Финансовые ожидания и планирование,"Для комфортной жизни семье нужна сумма около 300 тысяч рублей в месяц. Финансы планируются ситуативно, исходя из текущих расходов.","Если говорить про семью, то 3300. тысяч. 300 Спасибо, это мне так интересно узнать, сколько нам хочется.","Открытость, реализм","Стабильность, комфорт, забота о семье","Ожидания по доходу выше среднего, что может говорить о завышенных стандартах или о реальных потребностях семьи с детьми.",декларация,,,,,,,,,ситуативное
7,"Раннее материнство, школьный возраст детей","Опыт взаимодействия с госучреждениями (полиция, больница)",Обращалась в полицию по поводу травмы дочери в школе. Опыт взаимодействия был положительным.,"Полиция приходила в школу, меня вызывали в полицию, и все вполне хорошо, нормально.","Спокойствие, удовлетворение","Безопасность, доверие к институтам","Положительный опыт взаимодействия с полицией редок для российских респондентов, что может говорить о специфике ситуации (дети, школа).",эпизод,"Полиция, школа, больница",,,,,,,,
8,Зрелый возраст,Опыт мошенничества и обращения в полицию,"Столкнулась с интернет-мошенничеством, потеряла деньги, обращалась в полицию, но результата не было. Также были попытки телефонного мошенничества.","Я привела 302 тысячи, потом за это заявляла в полицию. Потом, значит, что... Естественно, понятно, где какого результата.","Разочарование, ирония","Осторожность, недоверие, стремление к справедливости",Распространенность мошенничества и низкая эффективность полиции — типичная проблема для российских граждан.,эпизод,Полиция,,жертва мошенничества,,,,,,
9,Зрелый возраст,Опыт судебных разбирательств,"Был опыт обращения в суд по поводу кражи из квартиры. Девочки-воровки получили условный срок, респондентка не стала добиваться большего наказания.","Я не хочу портить девочкам на жизнь. Пусть выплатят, и все. Портить жизнь мы не начали.","Сдержанность, милосердие","Справедливость, гуманизм, прощение","Готовность к компромиссу и прощению, нежелание портить судьбу подросткам — важная черта, связанная с личными ценностями и социальным капиталом.",эпизод,"Суд, полиция",,,,,,,,
10,Зрелый возраст,Воинский учет и армия в семье,"Муж не служил в армии из-за формальных причин, сын получил освобождение по здоровью. Семья активно взаимодействовала с военкоматом для получения нужных документов.","Мама тогда сказала, иди, бей ногами. Сухопутные войска, это годинная служба сухопутных войск, это самые тяжелые войска. Я сказала, бей ногами, вы же сказали так, я говорю, только не переживайте.","Тревога, решимость","Забота о семье, настойчивость, бюрократическая грамотность","Показательна активная позиция матери в вопросах воинского учета, что отражает распространенную практику защиты интересов детей в российских семьях.",узел,"Военкомат, медицинские учреждения",,,,,,,,
1,"зрелый возраст, текущее положение",Здоровье и доступность медицины,"Респондентка сталкивается с хроническими заболеваниями (онкология, диабет в семье), отмечает трудности с доступом к лекарствам и стоматологией. Обсуждает высокую стоимость лечения и нехватку социальной поддержки.","Я вот есть онкологически больная, да, вот мне-то какого-то лекарства в жизни необходимо было... Сейчас дядя, у него там сахарный диабет, лекарства стоят чуть больше тысячи. Я говорю, папа, давай купим. Он говорит, нет, еще покупать не буду. Тоже вот нет лекарств.","разочарование, тревога","здоровье, забота о близких, социальная защищённость","Респондентка иллюстрирует типичные проблемы российского здравоохранения: дороговизна лекарств, недостаточная поддержка хронически больных, сложности с получением качественной стоматологической помощи. Отмечается зависимость от семейных решений и ограниченность ресурсов.",эпизод,государственная и частная медицина,,потребитель медицинских услуг,,,,,,
2,"зрелый возраст, текущее положение",Доверие к медицине и опыт обращения,"Респондентка с осторожностью относится к частной медицине, предпочитает проверенных специалистов. Делится положительным опытом с отдельными врачами, но в целом отмечает разный уровень профессионализма.","Мне всегда рекомендуют, и с удовольствием пойду с ним сама, и с моими детьми... Врачи, на самом деле, они везде эти разные.","осторожный оптимизм, недоверие","компетентность, личный опыт, безопасность","Видна типичная для российского общества амбивалентность по отношению к частной медицине: с одной стороны, надежда на более качественную помощь, с другой — недоверие к мотивации и квалификации персонала.",декларация,частная и государственная медицина,,потребитель медицинских услуг,,,,,,
3,подростковый возраст (ретроспектива),Психологическая помощь в юности,"В подростковом возрасте респондентка переживала сильные эмоциональные потрясения из-за отношений, обращалась к психологу. Сейчас воспринимает этот опыт с иронией и дистанцией.","Я обращалась, но это было давно. Это было, слушайте, я была подростком, тогда, когда мы с мужем все... Муж хотел со мной расстаться... у меня такие истерики были. И он доводил меня к психологу.","ностальгия, ирония","эмоциональная устойчивость, личностный рост","Опыт обращения к психологу в подростковом возрасте воспринимается как нечто необычное и даже немного стыдное, что характерно для старших поколений, где психологическая помощь не была нормой.",эпизод,психологическая служба,,,,,,,,
4,"зрелый возраст, текущее положение",Стрессоустойчивость и духовные практики,"Респондентка отмечает, что научилась конструктивно справляться со стрессом, опираясь на духовные практики и внутренний диалог. Стремится быть примером для других.","Мне, как следующему человеку, нелегко обратиться к Богу, да, и ответы приходят какой-то. Я говорю, я намного спокойнее сейчас просто во всем реагирую.","уверенность, спокойствие","духовность, саморазвитие, пример для других","Духовные практики и внутренняя работа становятся для респондентки основным ресурсом преодоления трудностей, что отражает тенденцию к индивидуализации способов совладания со стрессом.",декларация,,,,,,,,,
5,"зрелый возраст, текущее положение",Ответственность и помощь другим,"Респондентка осознанно берет на себя ответственность за поддержку близких, получает от этого удовлетворение, несмотря на непонимание со стороны семьи.","Я сама взяла эту ответственность. Я сама ей предлагаю. Мне не просто помощь, я сама ей предлагаю... Мне с собой хорошо, мне с собой приятно. Я сама чувствую это удовлетворение.","удовлетворение, гордость","альтруизм, взаимопомощь, личная инициатива","Проявляется установка на активную социальную позицию и альтруизм, что может быть связано с семейными традициями и личным опытом. Отмечается конфликт между личными ценностями и ожиданиями близких.",декларация,"семья, неформальные сети поддержки",,,,,,,,
