id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,housing_promised,market_participation,location_preference
6,новый профессиональный опыт,Работа в малом бизнесе и конфликт ценностей,"После банкротства компании респондентка перешла в малый бизнес, стала заместителем гендиректора. Уволилась из-за конфликта ценностей и вмешательства семьи собственника в управление.","Идеализм мой, вы знаете, он мне всё портит в жизни.","разочарование, твёрдость","профессионализм, честность, идеализм",Проблема семейного бизнеса и неформальных практик управления; важность профессиональных стандартов для респондента.,перелом,малый бизнес,,False,,
7,"личная жизнь, молодость",Отношения и материнство,"Встретила будущего отца дочери на работе, отношения были неравноправными по выбору. Первая беременность закончилась абортом, вторая — рождением дочери. Отношения закончились из-за различий в ценностях и образе жизни.","Моя модель поведенческая в жизни, она, понятно, не сильно удачная, но когда выбирали меня, это не моя история, выбираю я.","саморефлексия, грусть","самостоятельность, поиск себя, материнство",Отражается гендерная социализация и влияние семейных сценариев на выбор партнёра.,узел,,,False,,
8,"зрелость, материнство",Самостоятельное воспитание дочери и отношения с ней,"Респондентка жила с дочерью, не вступая в длительные совместные проживания с мужчинами. Гордится тем, что смогла выстроить с дочерью здоровые отношения, отличные от отношений с собственной матерью.","Я очень горда тем, что мои отношения с дочерью совершенно.","гордость, удовлетворение","семья, самостоятельность, личные границы","Поколенческий разрыв и попытка выстроить новые модели родительства, отличные от родительских.",декларация,,,True,,
9,"современность, зрелость",Отношения с взрослой дочерью и новые поколения,"Дочь живёт отдельно, самостоятельна, работает в IT-сфере. Респондентка с интересом и завистью наблюдает за новым стилем жизни молодёжи, отмечая их свободу и мобильность.","Блин, так это же и есть жизнь. И дай бог, чтобы они имели возможности дальше.","восхищение, лёгкая зависть","свобода, самостоятельность, развитие","Отражается смена поколений и изменение представлений о труде, успехе и счастье.",декларация,,,,новая экономика,
1,"зрелость, настоящее время",Стрессоустойчивость и отношение к трудностям,"Респондентка описывает свою высокую стрессоустойчивость, умение принимать решения в сложных ситуациях и философское отношение к жизненным трудностям, сформированное под влиянием личных потерь.","У меня есть четкая базовая, которую я говорю всем, безвыходная ситуация только одна, когда человека уже нет. Во всех ситуациях выхода есть вопрос, устраивает он нас или не устраивает.","спокойствие, принятие, внутренняя сила","жизненный опыт, стойкость, принятие реальности, рациональность","Респондентка демонстрирует сформированную взрослую позицию, опирающуюся на опыт утрат и жизненных испытаний. Такая установка характерна для людей, прошедших через кризисы и научившихся находить ресурсы внутри себя.",декларация,,1.0,,,
2,"зрелость, настоящее время",Распорядок дня и повседневная жизнь после увольнения,"Респондентка рассказывает о своем распорядке дня, который стал более свободным после увольнения. Она ценит возможность просыпаться без будильника, заниматься спортом, встречаться с друзьями и наполнять день разными активностями.","Просыпаюсь я от солнца. У меня никогда не закрыты занавески. Наверное, это детская реакция, потому что первая половина дня всегда и дома светило солнце, и мне очень нравится просыпаться от солнышка.","удовлетворение, легкость, радость","свобода, самостоятельность, активность, эмоциональное наполнение","Переход к более свободному распорядку дня после ухода с работы отражает ценность личного времени и самореализации вне формальных трудовых рамок. Это типично для людей, переосмысливающих роль труда в жизни.",эпизод,"рынок труда (увольнение, поиск новых проектов)",,,"временно не работает по найму, реализует собственные идеи",
3,"зрелость, настоящее время","Хобби, спорт и отношение к телу","Респондентка активно занимается плаванием, ходит пешком, следит за физической формой и гордится своими достижениями в спорте. Она ценит движение и считает важным поддерживать активность в любом возрасте.","Я за год сбросила почти 20 километров наеденных кресел. Конечно, наеденных. И так мне это понравилось. И оказалось, что и в 48 можно жир переводить в мышцы.","гордость, воодушевление","здоровье, активность, самосовершенствование","Фокус на физической активности и заботе о теле характерен для современных городских жителей среднего возраста, стремящихся к продлению активного периода жизни.",эпизод,,1.0,,,
4,"зрелость, настоящее время",Отношение к праздникам и традициям,"Респондентка скептически относится к календарным праздникам, выделяя только день рождения дочери и 9 мая как значимые даты. Для нее важнее спонтанные проявления радости и внимания, чем формальные поводы.","Праздник для меня, для подарков не надо повода, это моя позиция в жизни.","ирония, независимость","индивидуализм, искренность, свобода от условностей","Отказ от традиционных праздников и формальных ритуалов отражает индивидуалистские установки и стремление к аутентичности, свойственные части городского среднего класса.",декларация,,1.0,,,
5,"зрелость, настоящее время",Социальные связи и отношения с родственниками,"Респондентка поддерживает близкие, но не частые отношения с братом, минимизировала общение с матерью и другими родственниками по причине личных и политических разногласий. Основные контакты с семьей по отцовской линии поддерживаются дистанционно.","С братом коммуникация какая? Сейчас очень часто, потому что вот то, что мы планируем сделать, мы постоянно видимся, общаемся именно... в рамках проекта, который хотим реализовать. А так коммуникация с братом всегда, знаете, и у него, и у меня. Чтобы вы понимали, в прошлом году мы, наверное, физически виделись, может быть, раза три. Но каждый из нас понимает, мы друг у друга есть.","спокойствие, принятие, некоторая отстраненность","опора, независимость, уважение личных границ","Семейные связи респондентки характеризуются низкой ритуализированностью и высокой автономией, что типично для современных индивидуализированных семейных моделей.",эпизод,,1.0,,,
6,"зрелость, настоящее время",Национальная идентичность и культурная принадлежность,"Респондентка отмечает армянские корни, но подчеркивает, что в семье говорили на русском, и она полностью адаптирована к российской культуре. Отношения с родственниками осложнены политическими и мировоззренческими разногласиями.",Армянский я не знаю. Я этническая армянка. То есть в доме говорили на русском абсолютно адаптированная история.,"нейтральность, рациональность","адаптация, открытость, самостоятельность","Кейс иллюстрирует типичный для мегаполисов опыт этнической ассимиляции и размывания национальных границ идентичности, а также влияние политических событий на семейные отношения.",декларация,"семья, этническая группа",,,,
1,"зрелость, после 40 лет",Отношения с мужчинами и самоопределение,"Респондентка рефлексирует над своим опытом отношений с мужчинами, осознаёт повторяющиеся сценарии и внутренний диссонанс между ожиданиями и реальностью. Она отмечает, что её самостоятельность и умение принимать решения делают невозможным традиционный сценарий отношений, заложенный в детстве. При этом она признаёт, что сильный пол — это женщины, а не мужчины, и у неё нет иллюзий относительно мужского пола.","Я в этом понимаю, что эта история невозможная, потому что я сама почти мужчина. Я принимаю решения. И у меня нет уже с жизнью иллюзий по мужскому полу.","самоирония, принятие, лёгкая грусть","самостоятельность, честность с собой, принятие себя, независимость",Респондентка демонстрирует критическое отношение к гендерным ролям и традиционным ожиданиям от женщин в отношениях. Её опыт иллюстрирует тенденцию к индивидуализации и переосмыслению женской идентичности в зрелом возрасте.,декларация,"гендерные нормы, семейные сценарии",,False,False,
2,"зрелость, после 40 лет","Одиночество, страхи и забота о будущем","Респондентка размышляет о будущем и отсутствии партнёра рядом, признаёт, что иногда задумывается о возможных рисках одиночества, но стратегию выстраивает не для себя, а для дочери, чтобы не травмировать её.","Я в единственный момент, вот даже врать не буду, я тогда, ну, 48, так, Гая, ты не боишься, что тебя что-нибудь схлопнет, ну, рано или поздно это произойдет? А у тебя никого под боком-то нет, ну, если вдруг что.","тревога, забота, рациональность","забота о близких, ответственность, рациональность","В зрелом возрасте одиночество становится предметом рационального анализа, а забота о будущем смещается с себя на детей. Это отражает сдвиг в структуре семейных ценностей и стратегий преодоления жизненных рисков.",эпизод,семья,,False,False,
3,"зрелость, после 40 лет",Отношения с дочерью,"Респондентка описывает отношения с дочерью как близкие, но не навязчивые. Дочь самостоятельна, живёт отдельно, но в сложных вопросах обращается к матери за советом. Встречи и общение происходят по желанию, без давления.","У нас нет такого, что каждый день звонить, как дела, как ты себя чувствуешь. Нет. Каждый живёт своей жизнью. Встречаемся, когда хотим, когда маме захочется.","спокойствие, гордость, удовлетворение","самостоятельность, уважение личных границ, поддержка","Отношения между взрослыми детьми и родителями строятся на уважении автономии и экспертной поддержке, что характерно для современных городских семей.",декларация,семья,,False,False,
4,"зрелость, после 40 лет",Дружба и социальный круг,"Друзья — важнейшая ценность для респондентки. Она гордится своим окружением, отмечает разнообразие и душевное богатство друзей. Умеет объединять людей вокруг себя, инициирует совместные активности. Отдельно выделяет близких подруг, в том числе вернувшуюся после долгого перерыва подругу детства.","Глядя на друзей и предполагая, что скажи мне, кто твой друг, я понимаю, что я, наверное, очень крутая. Очень скромно.","гордость, благодарность, радость","дружба, душевная близость, разнообразие, инициатива","Дружеские связи становятся опорой и источником самоидентификации, особенно в условиях индивидуализации и ослабления традиционных семейных структур.",декларация,"неформальные сети, дружба",,False,False,
5,"зрелость, после 40 лет",Взаимопомощь и самостоятельность,"Респондентка привыкла рассчитывать только на себя, даже в мелочах. Приводит пример из бассейна, когда не сразу обратилась за помощью, хотя это было проще. Отмечает, что чаще помогает другим, чем просит о помощи сама.","Я настолько привыкла, в принципе, и выстроила своё, видимо, рассчитывать только на себя, что мы даже иногда смеёмся.","самоирония, лёгкая усталость, осознанность","самостоятельность, помощь другим, рефлексия",Самостоятельность и внутренняя установка на самодостаточность часто формируются как ответ на жизненные трудности и становятся частью идентичности современных женщин.,декларация,"дружба, индивидуализм",,False,False,
6,"зрелость, после 40 лет","Здоровье, образ жизни и трансформация привычек","Респондентка рассказывает о значительных изменениях в образе жизни: снижении веса, изменении пищевых привычек, введении физической активности (бассейн, пешие прогулки). Отмечает, что не ставила целью похудеть, но изменения произошли естественно. Также упоминает отказ от курения после 30 лет стажа.","Я всегда думала, что 70 – это прям мой вес. И у меня не стояла задача худеть. Я просто ввела активный спорт. В рамках тренировки я пошла плавать, потому что я обожаю плавать.","удивление, удовлетворение, азарт","здоровье, развитие, самосовершенствование, игра","Изменения в образе жизни происходят не под давлением внешних норм, а как результат внутренней мотивации и интереса к себе. Это отражает тенденцию к осознанному отношению к здоровью в зрелом возрасте.",перелом,"здравоохранение, спорт",,False,True,
1,"Взрослая жизнь, зрелость",Отношение к алкоголю и опыт утраты,"Респондентка рассказывает о своем отношении к алкоголю: фаза активного употребления прошла, сейчас она не пьет из-за занятий спортом, но не испытывает ограничений. Важным фактором стало то, что отец умер из-за алкоголя, что оставило след в памяти.",Просто у меня папа умер. Катализатором был алкоголь. Это в памяти осталось.,"Спокойствие, принятие, легкая грусть","Осознанность, здоровье, свобода выбора","Опыт утраты близкого человека из-за алкоголя формирует зрелое и ответственное отношение к употреблению, без категоричности и запретов.",эпизод,Семья,1.0,,,
2,"Настоящее время, зрелость",Здоровье и отношение к медицине,"Респондентка ощущает себя комфортно для своего возраста, хронические заболевания не мешают жизни. Предпочитает официальную медицину, не принимает лекарства без назначения врача, не доверяет народной медицине. Не видит разницы между коммерческой и государственной медициной, главное — профессионализм врача.","Я никогда не ем таблетки без назначения. И народная медицина, естественно. Нет.","Уверенность, рациональность","Здравомыслие, доверие к профессионалам, ответственность","Демонстрируется высокий уровень медицинской грамотности и критичности, характерный для людей с опытом и образованием.",декларация,Медицина,1.0,,,
3,Пандемия COVID-19,Вакцинация и отношение к прививкам,"Вакцинировалась от COVID-19 вынужденно для получения визы. В целом положительно относится к вакцинации, считает это важной частью культуры, унаследованной из советского прошлого. Делала прививки себе и дочери, пока был ДМС.",Я как ребенок Советского Союза отношусь положительно. Я понимаю все плюсы.,"Рациональность, легкая ностальгия","Рациональность, забота о здоровье, уважение к традициям","Позиция респондентки отражает советский опыт массовой вакцинации и доверие к научному подходу, но также демонстрирует прагматизм в современных условиях.",эпизод,"Медицина, государство",1.0,,,
4,"Настоящее время, зрелость",Стратегии заботы о здоровье,"При возникновении проблем со здоровьем обращается только к врачу, не занимается самолечением по интернету. Использует интернет для получения информации, но окончательное решение доверяет профессионалам.","Вариант поставил диагноз в Google, иди лечись в Яндекс, это не мой вариант.","Уверенность, критичность","Доверие к профессионалам, ответственность",Показательна высокая критичность к интернет-диагностике и ориентация на традиционную медицину.,декларация,Медицина,1.0,,,
5,"Настоящее время, зрелость",Психологическое состояние и саморефлексия,"Респондентка признает раздражительность как черту характера, приняла это в себе. Опыт тренерства в 2007 году стал переломным моментом в саморазвитии и саморефлексии. Не обращается к психологам, предпочитает разбираться в себе самостоятельно и с помощью близких.","Я хочу разбираться в людях, а для этого мне надо разобраться в себе.","Самоирония, принятие, уверенность","Саморазвитие, честность, самостоятельность",Опыт корпоративного обучения и тренерства способствует развитию навыков саморефлексии и психологической устойчивости.,узел,"Работа, корпоративная культура",1.0,,,
6,Период утраты близкого человека,Переживание утраты и обращение к нетрадиционным практикам,"Единственный опыт обращения к нетрадиционным практикам (к 'тётеньке') был связан с тяжелой утратой. В целом считает, что если есть близкие, с которыми можно быть откровенной, психолог не нужен.","У меня такие люди есть, поэтому мне не нужен психолог. У меня есть я, и у меня есть такие люди...","Грусть, благодарность, принятие","Дружба, доверие, самостоятельность",Демонстрируется высокая значимость социальных связей и доверия в кругу близких как ресурса психологической поддержки.,эпизод,"Семья, друзья",1.0,,,
7,"Настоящее время, зрелость",Забота о здоровье как инвестиция в будущее,"Респондентка осознанно заботится о здоровье, воспринимает это как вклад в будущее, особенно в контексте заботы о дочери.","Это вклад в будущее, то есть так, как мы, естественно, все не молодеем, мы стареем, и вы этот вклад делаете уже сейчас.","Осознанность, спокойствие","Забота о будущем, ответственность","Зрелое отношение к здоровью как к ресурсу, важному для себя и семьи.",декларация,Семья,1.0,,,
8,"Настоящее время, зрелость",Финансовое положение и источники дохода,"Основной источник дохода — вклад, который позволяет покрывать ипотеку. Есть разовые заработки. В прошлом был высокий доход, сейчас расходы оптимизированы под текущие потребности.","У меня есть вклад. Немного, но они позволяют мне покрывать ипотеку.","Рациональность, спокойствие","Финансовая грамотность, независимость","Переход от высокого дохода к более скромному, но стабильному финансовому положению, характерен для зрелого возраста и адаптации к изменяющимся жизненным обстоятельствам.",эпизод,Банковская система,1.0,,"Пассивное инвестирование, ипотека",
9,Периоды разного финансового положения,"Потребление, расходы и отношение к деньгам","В периоды высокого дохода позволяла себе больше, дарила дорогие подарки друзьям, не считала расходы. Сейчас более осознанно относится к тратам, но не экономит на важных для себя вещах (спорт, театры). Спонтанно купила квартиру и не пожалела.",Я квартиру спонтанно купила. И ни разу об этом не пожалела.,"Удовлетворение, легкая ностальгия","Щедрость, осознанность, гибкость",Опыт финансовых взлетов и падений формирует гибкость и умение адаптироваться к разным экономическим условиям.,эпизод,,1.0,True,,
10,"Настоящее время, зрелость",Потребительское поведение и отношение к акциям,"Профессиональный опыт в продажах влияет на восприятие акций и скидок. Отмечает, что акции в России часто искусственные, но в целом положительно относится к экономии. Предпочитает покупать бренды за границей по реальной цене.","Я могу сделать покупку совершенно необязательно мне, только восхитившись тем, как вкусно мне предложили своевременно.","Прагматизм, профессиональный интерес","Рациональность, профессионализм, экономия","Профдеформация влияет на потребительское поведение, формируя критичность к маркетинговым инструментам.",декларация,,1.0,,"Потребление, международные покупки",
11,"Настоящее время, зрелость",Использование маркетплейсов и критерии выбора,"Пользуется маркетплейсами для мелких и бытовых покупок, но одежду предпочитает заказывать в Европе. Хорошо понимает ценообразование на маркетплейсах благодаря опыту брата. Сравнивает цены на разных площадках.","Я открыла маркетплейс, сравнила цены, сравнила всегда на каждой площадке и заказала.","Рациональность, уверенность","Осознанность, экономия, информированность",Потребительская грамотность и опыт работы в продажах формируют взвешенный подход к покупкам.,декларация,,1.0,,Онлайн-покупки,
12,"Настоящее время, зрелость",Отношение к крупным и повседневным покупкам,"При выборе дорогих вещей руководствуется функциональностью, а не брендом или новизной. Не стремится покупать в кредит, кроме ипотеки. К поддержанным вещам относится избирательно: бытовую технику может купить, если есть причина, одежду — нет.","Я функциональщик. Я четко понимаю, мне надо, чтобы была вот эта или не была функция.","Прагматизм, уверенность","Функциональность, рациональность, независимость","Формируется зрелый, рациональный стиль потребления, характерный для людей с опытом экономических кризисов.",декларация,,1.0,,"Покупка недвижимости, бытовой техники, отказ от кредитов",
13,"Настоящее время, зрелость",Стратегии повседневного потребления,"Использует как офлайн, так и онлайн покупки. Заказывает доставку для тяжелых или неудобных товаров. Предпочитает готовить сама, но не имеет предубеждений против готовой еды.","Я потребитель хитрый, тяжелый, я заказываю доставкой, начиная от земли для цветов...","Практичность, гибкость","Удобство, рациональность, гибкость",Гибкое сочетание разных каналов потребления и отсутствие предубеждений к новым форматам.,декларация,,1.0,,"Онлайн и офлайн покупки, доставка",
1,Взрослая самостоятельная жизнь,Финансовая грамотность и отношение к деньгам,"Респондентка рассказывает, что научилась откладывать деньги, хотя раньше была склонна к импульсивным тратам. Сейчас она осознанно выбирает способы хранения средств, предпочитает безналичные расчеты и стремится сохранить покупательную способность своих накоплений.","Я научилась за жизнь откладывать, научилась, мне это не было свойственно, у меня деньги сквозь пальцы здесь сейчас, и гигей.","Уверенность, спокойствие","Рациональность, самостоятельность, финансовая осознанность","Респондентка демонстрирует переход от импульсивного к рациональному финансовому поведению, что характерно для зрелого возраста и накопленного жизненного опыта.",эпизод,,,,"активное участие, осознанный выбор финансовых инструментов",
2,Профессиональная деятельность,Профессиональный опыт в сфере финансов,"Респондентка обладает профессиональным опытом в финансовой сфере, консультирует близких по вопросам кредитов и долгов, сопровождала финансовые продукты в компании.","У меня в окружении есть и персона, которая банкротилась, и мы разбирали, и я объясняла риски банкротства.","Гордость, компетентность","Профессионализм, помощь другим, ответственность",Позиция эксперта в финансовых вопросах формирует авторитет респондентки в кругу общения и влияет на ее самоощущение.,узел,финансовые организации,,,,
3,"Взрослая жизнь, родительство",Финансовые отношения с дочерью,"Респондентка помогает дочери не из чувства долга, а по собственному желанию, подчеркивая самостоятельность ребенка и свою свободу в принятии решений.","Я могу купить ей самокат, потому что я хочу, не потому что она попросила.","Теплота, удовлетворение","Свобода выбора, забота, независимость","Отношения с дочерью строятся на принципах взрослости и взаимного уважения, что отражает современные тенденции в родительстве.",эпизод,,,False,,
4,"Взрослая жизнь, личные отношения",Гендерные роли и финансовая независимость,"Респондентка не считает принципиальным, кто в паре зарабатывает больше, и выступает за равноправие и индивидуальный подход в финансовых вопросах.","Больше зарабатывает тот, у кого это лучше получается.","Уверенность, независимость","Равноправие, самостоятельность, прагматизм",Отражает сдвиг от традиционных гендерных ролей к более гибким и индивидуализированным моделям в семье.,декларация,,,,,
5,Взрослая жизнь,Смысл денег и личные финансовые потребности,"Деньги для респондентки — это свобода, возможности и средство для помощи другим, но не самоцель. Она довольна своим уровнем дохода и не стремится к избыточному потреблению.",Деньги это ничего и при этом очень много.,"Спокойствие, философское отношение","Свобода, умеренность, щедрость",Финансовое поведение респондентки характеризуется зрелостью и отсутствием зависимости от материальных благ.,декларация,,,,,
6,"Настоящее, планы на будущее",Финансовые цели и мечты,"Респондентка не строит абстрактных мечтаний, но имеет конкретную цель — купить квартиру в Кронштадте, мотивированную не только комфортом, но и личными ассоциациями с историей и семьей.","У меня есть четкая цель, мне хочется квартиру в Кронштадте.","Уверенность, ностальгия","Целеустремленность, связь с историей, семейные традиции","Жилищные предпочтения респондентки обусловлены не только утилитарными, но и символическими мотивами.",узел,,,True,,Кронштадт
7,Подростковый период и взрослая жизнь,Опыт взаимодействия с полицией и судебной системой,Респондентка имела опыт обращения в полицию в подростковом возрасте и участия в судебных процессах. Скептически относится к эффективности этих институтов.,"Данная система тоже работает так, насколько будет заинтересован судья.","Скепсис, разочарование","Справедливость, реализм",Недоверие к институтам правопорядка и правосудия типично для части российского общества.,эпизод,"полиция, суд",,,,
8,Взрослая жизнь,Взаимодействие с налоговыми органами,"Респондентка предпочитает минимизировать контакты с налоговой, делегирует оформление вычетов специалисту, отмечает формальный и не всегда эффективный подход сотрудников.","Они заинтересованы, им интересно только тогда, когда им интересно.","Ирония, дистанция","Рациональность, минимизация бюрократии",Стратегия минимизации контактов с государственными органами характерна для людей с негативным опытом бюрократии.,эпизод,налоговая,,,,
9,"Взрослая жизнь, кризисные моменты",Опыт обращения за социальной помощью и на биржу труда,"Респондентка пыталась встать на биржу труда после банкротства компании, но столкнулась с недружелюбным отношением и отсутствием реальной поддержки.","Вы что пришли-то с этой зарплатой-то сюда, вы что думаете, мы вам что-то найдем.","Разочарование, ирония","Самостоятельность, скепсис к государству",Опыт обращения за социальной поддержкой часто сопровождается ощущением формальности и неэффективности системы.,эпизод,биржа труда,,,,
10,"Взрослая жизнь, цифровизация",Оценка цифровых государственных сервисов,"Респондентка высоко оценивает сервис 'Госуслуги', сравнивая его с зарубежными аналогами, и считает его значительным достижением.","Когда вы открываете рот, говоря, как всё плохо, умейте оценивать то, что уникально и хорошо.","Восторг, гордость","Открытость к инновациям, объективность",Позитивное отношение к цифровизации государственных услуг становится все более распространенным среди горожан.,эпизод,госуслуги,,,,
11,"Взрослая жизнь, гражданская позиция",Доверие к государственным органам и власти,"Респондентка разделяет доверие к государству как институту, но скептически относится к отдельным представителям органов власти, считая, что многие идут туда не по призванию.","Ты должен туда идти, чтобы помогать людям. А в нашей существующей истории государственных органов идут люди либо за вкусняшками, либо чтобы ничего не делать.","Критика, реализм","Служение, справедливость, патриотизм",Разделение между доверием к институту и недоверием к исполнителям характерно для российского общества.,декларация,государственные органы,,,,
12,"Взрослая жизнь, политическая позиция",Отношение к федеральной и региональной власти,"Респондентка осознает зависимость региональной власти от федеральной, отмечает пассивность региональных чиновников, но понимает причины их назначения.","Я же точно понимаю, что представитель данной власти в регионе, он же наставленник федеральной власти.","Прагматизм, легкая ирония","Понимание системы, реализм",Осознание вертикали власти и причин назначения чиновников типично для информированных граждан.,декларация,региональная власть,,,,
