id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,digital_literacy
2,Семейная жизнь в зрелом возрасте,Конфликт вокруг хобби и профессии фотографа,"Занятие фотографией вызвало напряжение в семье: жена ревновала к моделям и не принимала творческую деятельность респондента, считая её прикрытием для других мотивов.","Моя жена постоянно ревновала. Я же снимал не только пейзажи. Ей не нравилось, что я снимал балерин.","Напряжённость, обида, недопонимание","Честность, творчество, семейная лояльность",Семейные конфликты на фоне смены профессии и хобби иллюстрируют столкновение традиционных гендерных ролей и новых форм самореализации мужчины в постсоветской России.,узел,,0.0,,,
3,Военная служба,Опыт военной службы и отношение к профессии,"Военная служба воспринималась как долг и источник признания, но была связана с жёсткой иерархией и зависимостью от начальства. Творческих проявлений в этот период не было.","Я был востребован в государство, я был нужен. Все признавали в моем окружении, что это моя профессия, что это мне интересно.","Гордость, удовлетворение, но и некоторая усталость","Долг, ответственность, признание","Военная служба как социальный лифт и источник идентичности, но также как система с ограниченными возможностями для самовыражения и творческой реализации.",эпизод,армия,,,,
4,Переходные моменты в карьере,Увольнения и смена работы,"Увольнения происходили по инициативе респондента или из-за смены руководства. Он не видел перспектив, предпочитал уходить, чем оставаться в некомфортных условиях.","Пришел другой начальник и сказал, что ты мне не нужен. Я говорю, ну не нужен, так не нужен, тогда уйду.","Разочарование, прагматизм","Самоуважение, независимость",Смена руководства и нестабильность в государственных и муниципальных структурах приводят к вынужденной мобильности и формируют прагматичное отношение к работе.,перелом,,,,,
5,Профессиональный поиск,Работа помощником депутата и в логистической компании,"Работа помощником депутата давала ощущение причастности к жизни города и общению с властью, а работа в логистике соответствовала образованию и приносила удовлетворение от профессиональной компетентности.",Я принимал какое-то участие в самом становлении города... Я работал по специальности.,"Удовлетворение, гордость","Польза обществу, профессионализм",Переход к гражданским профессиям после военной службы часто сопровождается поиском социальной значимости и применения профессиональных навыков.,эпизод,"городская дума, логистическая компания",,,,
6,Профессиональная самореализация,Опыт работы фотографом,"Фотография воспринимается как творческая деятельность, но связана с субъективной оценкой клиентов и нестабильным доходом. Респондент также продаёт фотографии на фотобанках.",Работа фотографа это творческая деятельность... До сих пор у меня фотографии мои покупаются.,"Гордость, лёгкая фрустрация","Творчество, независимость, признание",Самозанятость в творческих профессиях сопряжена с рисками нестабильности и необходимостью постоянного подтверждения своей ценности на рынке.,эпизод,,,1.0,,
7,Семейная жизнь и кризис,Развод и повторное воссоединение,"Развод произошёл на фоне конфликта из-за профессии фотографа, но супруги продолжали жить вместе. Воссоединение было обусловлено как личными, так и прагматическими причинами (льготы, статус).","Я говорю, давай разводимся, у меня-то какая жизнь? Мне, наоборот, уже легче будет. Я хоть поснимаю это от своего удовольствия.","Разочарование, прагматизм, облегчение","Свобода, забота, прагматизм","Семейные отношения в зрелом возрасте могут быть гибкими и прагматичными, особенно при наличии совместных материальных и социальных интересов.",узел,,0.0,,,
8,Рождение и воспитание ребёнка,Появление ребёнка и его влияние на семью,"Рождение ребёнка не стало переломным моментом для семьи, обязанности по уходу в основном брала на себя жена. Ребёнок был не совсем запланирован, но стал поводом для заключения брака.","Ну и решили, она беременная, давай поженимся, заведем семью.","Спокойствие, принятие","Семья, ответственность","Брак по беременности — распространённая практика в советское и постсоветское время, когда формирование семьи часто следовало за фактом беременности.",эпизод,,,,True,
9,Кризис и поддержка,Серьёзная болезнь и роль жены,"После травмы и инсульта жена проявила заботу и настойчивость, добившись правильного диагноза и лечения. Этот опыт укрепил семейные отношения.","Она стала за мной указывать и делала все для того, чтобы меня обследовали в военно-медицинской академии.","Благодарность, тревога, облегчение","Забота, поддержка, семья",Кризисные ситуации часто становятся проверкой семейных связей и могут усиливать взаимную поддержку.,перелом,,,,,
10,Зрелость и забота о здоровье,"Второй инсульт, изменение образа жизни","Второй инсульт стал поводом для пересмотра привычек: отказ от курения, контроль за здоровьем, регулярные обследования.","Постоянно контролирую свое здоровье, хожу к врачам, лекарства принимаю, то есть это регулярная диспансеризация.","Осторожность, самоконтроль","Здоровье, ответственность",Серьёзные болезни в зрелом возрасте часто становятся стимулом к изменению образа жизни и формированию новых практик заботы о себе.,перелом,,,,,
11,"Пенсионный возраст, гибкая занятость",Распорядок дня и участие в маркетинговых исследованиях,"Респондент описывает свой типичный день: просыпается рано, проверяет гаджеты, выбирает подработки (тайный покупатель, участие в исследованиях), платит налоги. Работа нерегулярная, но позволяет поддерживать активность и доход.","Просыпаешься утром, смотришь форумы, Хорошая подработка есть. Кроме пенсии, надо что-то еще заниматься.","Спокойствие, удовлетворение","Активность, самостоятельность, финансовая независимость","Гибкая занятость и участие в маркетинговых исследованиях становятся важной частью жизни пенсионеров, позволяя им оставаться вовлечёнными в экономическую и социальную жизнь.",эпизод,,,1.0,,
1,"Пенсионный возраст, текущий момент",Распорядок дня и семейная рутина,"Респондент описывает свой типичный день: утренние прогулки с собакой, совместное приготовление завтрака с женой, просмотр новостей и передач, занятия спортом (бассейн, фитнес-зал), обед, отдых в своих комнатах, вечерние прогулки с собакой, общение с сыном, ужин и вечерние занятия (компьютерные игры).","Посмотрел, а потом мы выходим и с собакой начинаем гулять с утра. Жена в это время готовит завтрак. Или мы наоборот.","спокойствие, удовлетворенность","семейность, стабильность, совместное времяпрепровождение","Распорядок дня респондента типичен для пожилых людей, ведущих размеренный образ жизни. Важную роль играют семейные отношения, совместные бытовые практики и поддержание физической активности.",эпизод,"семья, досуговые учреждения (бассейн, фитнес-зал)",0.0,0.0,,
2,"Пенсионный возраст, текущий момент",Отношения с сыном,"Сын респондента недавно вернулся из Москвы и купил квартиру рядом с родителями. Отношения с сыном и женой респондента бывают напряженными, но временами улучшаются.","Сын рядом живет, у него своя квартира. Иногда приходит сын.","нейтрально, с оттенком легкой тревоги","семейные связи, независимость детей","Ситуация отражает типичную для российских семей модель: взрослые дети живут отдельно, но рядом, поддерживая контакт с родителями. Отношения между поколениями могут быть сложными.",узел,"семья, рынок недвижимости",0.0,1.0,,
3,"Пенсионный возраст, текущий момент",Досуг и хобби,"Вечерами респондент играет в компьютерные игры (World of Tanks), жена занимается своими делами. Иногда посещают театр, дачу, занимаются садоводством и строительством на участке.","Я постоянно играю в этот компьютер, в этот World of Tanks, это, знаете, это странённая игра такая.","увлеченность, легкая самоирония","развлечения, саморазвитие, досуг",Использование компьютерных игр в пожилом возрасте — пример адаптации к современным формам досуга. Дача и театр остаются традиционными культурными практиками.,эпизод,"досуг, культура, дача",,0.0,,
4,"Пенсионный возраст, текущий момент",Социальные связи и поддержка,"Респондент поддерживает отношения с родственниками (брат, двоюродная сестра), иногда встречается со старыми друзьями, с которыми учился 40 лет назад. Общение происходит реже, но сохраняется.","Друзьями, которыми я заканчивал училище, с старыми друзьями 40 лет назад, мы поддерживаем отношения, встречаемся и переписываемся.","ностальгия, удовлетворение","дружба, семейные узы, традиции","Сеть социальных связей респондента типична для пожилых людей: акцент на родственниках и старых друзьях, редкие, но значимые встречи.",эпизод,"семья, дружеские сети",,0.0,,
5,"Пенсионный возраст, текущий момент",Культурные предпочтения,"Респондент и его жена иногда посещают театр (Мариинский, балет, опера), но в целом предпочитают домашние формы досуга. Жена любит смотреть телевизор, респондент — нет.","Вот мы где-то ну раза 3-4 в год ходим, которые вот в городе этот Мариинский, там вот.","нейтрально, легкая ирония","культура, индивидуальные предпочтения","Культурные практики респондента сочетают традиционные (театр) и современные (телевидение, интернет) формы досуга.",эпизод,культурные учреждения,,0.0,,
6,"Пенсионный возраст, текущий момент",Отношение к природе и экологии,"Респондент любит бывать на даче, фотографировать природу, выращивать овощи. Экологические проблемы его не волнуют, хотя в районе есть жалобы на запахи.","Конечно, я же сейчас для себя фотографирую пейзажи езжу. наблюдаю, что там в природе творится.","спокойствие, безразличие к экологическим проблемам","природа, личный комфорт","Для респондента природа — источник удовольствия и хобби, а не объект экологической тревоги.",декларация,"дача, локальное сообщество",,0.0,,
7,"Пенсионный возраст, текущий момент",Семейные традиции и праздники,"В семье отмечают Новый год, Пасху, дни рождения в узком кругу. Для респондента важен профессиональный праздник — День органов военной связи.","Новый год, Томас. Традиция. Пасху вот встретить надо. Постоянно ездим.","спокойствие, легкая гордость","традиции, семейность, профессиональная идентичность",Семейные и профессиональные праздники — важная часть идентичности и поддержания социальных связей.,декларация,"семья, профессиональное сообщество",,0.0,,
8,"Пенсионный возраст, текущий момент",Отпуск и отдых,"Респондент предпочитает проводить отпуск на даче или в санатории, жена — ездить за границу. Отдых часто проходит раздельно. Для респондента важны грибы, ягоды, общение и лечение.","Мне, наоборот, на дачу ездить, и еще вот я беру иногда санаторий, еду на 21 день. В сентябре. По раздельности проводим.","спокойствие, принятие различий","самостоятельность, здоровье, природа",Раздельный отдых супругов отражает индивидуализацию досуговых практик в пожилом возрасте.,эпизод,"дача, санаторий, туристический рынок",,1.0,,
9,"Пенсионный возраст, текущий момент",Забота о пожилых родителях,"Респондент и его брат помогают пожилым родителям, страдающим деменцией. Ранее респондент активно помогал, теперь больше заботится брат и сиделка. Отношения с родителями осложнены болезнью.","До определенного времени, до осени прошлого года я активно помогал. Каждый день почти приезжал там. Привозил продукты, все это убирал.","боль, разочарование, принятие","семейный долг, забота, ответственность","Ситуация ухода за пожилыми родителями типична для российского общества, где семья остается главным институтом поддержки старших поколений.",узел,"семья, здравоохранение, социальные службы",,0.0,,
10,"Пенсионный возраст, текущий момент",Финансовые отношения в семье,"После развода с женой финансы ведутся раздельно: каждый тратит свои деньги на свои нужды. За уход за родителями отвечает в основном брат, обладающий большими средствами.","Такого не было, так не всегда было. Да, вот до развода у нас было все вместе, а после развода стали отдельно.","нейтрально, принятие","самостоятельность, справедливость","Раздельное ведение бюджета после развода — распространенная практика среди пожилых пар, сохранивших совместное проживание.",перелом,"семья, экономика домохозяйства",,0.0,,
11,"Пенсионный возраст, текущий момент",Социальная поддержка и доверие,"В случае необходимости респондент рассчитывает на помощь брата, жены и друзей, хотя пока не было поводов обращаться за поддержкой.","Ну брату жене... Ну, брату, скорее всего.","уверенность, спокойствие","доверие, семейные связи, дружба",Семья и старые друзья остаются основными источниками поддержки для пожилых людей.,декларация,"семья, дружеские сети",,0.0,,
12,"Пенсионный возраст, текущий момент",Домашнее животное как часть семьи,"В семье живет такса, к которой относятся как к полноправному члену семьи. Решение о покупке собаки принималось спонтанно, но животное стало важной частью жизни.","Ну, конечно, да. Это полноправный, да. Вы больше даже о нем заботитесь, чем о себе.","привязанность, теплота","забота, эмоциональная поддержка","Домашние животные играют важную роль в эмоциональной жизни пожилых людей, компенсируя недостаток других форм близости.",эпизод,"семья, рынок домашних животных",,1.0,,
13,"Пенсионный возраст, текущий момент",Близость и поддержка в семье,"Жена — самый близкий человек для респондента, несмотря на то, что в финансовых вопросах он скорее обратится к брату. Чувство одиночества отсутствует благодаря наличию близких.","В любом случае, жена – самый близкий человек.","уверенность, благодарность","любовь, поддержка, семейность","Для респондента эмоциональная поддержка важнее материальной, что типично для пожилых людей с устойчивыми семейными отношениями.",декларация,семья,,0.0,,
14,"Пенсионный возраст, текущий момент",Здоровье и образ жизни,"Респондент следит за здоровьем: занимается спортом, проходит диспансеризацию, посещает санаторий, контролирует вес. Признает наличие избыточного веса, старается соблюдать диету, употребляет алкоголь в умеренных количествах.","Она не здоровая, но она такая, человек, который в возрасте уже постоянно нужно следить за собой, за здоровьем. Вот это я как бы занимаюсь.","самокритика, принятие","здоровье, самодисциплина","Забота о здоровье становится центральной темой в жизни пожилых людей, особенно при наличии хронических заболеваний и изменении образа жизни.",декларация,"здравоохранение, фитнес-индустрия, санаторий",,1.0,,
1,"Настоящее время, пенсионный возраст",Отношение к здоровью и медицине,"Респондент регулярно обращается в государственную поликлинику, доверяет традиционной медицине, выполняет рекомендации по вакцинации и диспансеризации. При необходимости пользуется платными услугами, если в государственной поликлинике есть очереди. ДМС нет, только ОМС.","Я обращаюсь к государству, к поликлинике. Обследование платное, допустим, делается.","спокойствие, уверенность","ответственность за здоровье, доверие государственным институтам","Респондент демонстрирует высокий уровень институционального доверия к системе здравоохранения, предпочитает государственные услуги, но готов доплачивать за скорость и качество. Отсутствие ДМС типично для пенсионеров, основной упор на ОМС.",эпизод,"государственная поликлиника, ОМС",,частично (платные обследования при необходимости),,
2,"Настоящее время, пенсионный возраст",Мотивация заботы о здоровье,Главная мотивация следить за здоровьем — избежать сахарного диабета. Респондент осознаёт риски и действует на опережение.,"Мотивация, чтобы... чтобы не было сахарного диабета.","рациональность, тревожность","предусмотрительность, забота о будущем","Забота о здоровье мотивирована не только текущим самочувствием, но и страхом перед хроническими заболеваниями, что характерно для старших возрастных групп.",декларация,,,,,
3,"Настоящее время, пенсионный возраст",Психологическое благополучие и отношение к психологам,"Респондент не испытывает тревоги или панических атак, не обращался к психологам и не доверяет им, считая их услуги бесполезными и дорогими.","Да потому что они лепечат ерунду, а потом деньги берут за это.","скепсис, недоверие","самостоятельность, рациональность","Скептическое отношение к психологической помощи типично для старшего поколения, особенно мужчин, и связано с культурными установками на самостоятельное преодоление трудностей.",декларация,,,,,
4,"Настоящее время, пенсионный возраст",Забота о будущем и старости,"Респондент уверен, что в старости о нём позаботится жена, а жена, в свою очередь, копит деньги на дом престарелых. Внуков нет, и это не вызывает беспокойства.","Я чувствую, что я уверен, что меня никто не бросит в старости.","уверенность, спокойствие","семейная поддержка, независимость","Вопросы ухода в старости решаются внутри семьи, но есть и готовность к институциональным решениям (дом престарелых). Отсутствие внуков не воспринимается как проблема.",узел,,жена копит на дом престарелых,,,
5,"Настоящее время, пенсионный возраст",Финансовое положение и источники дохода,"Основные источники дохода — военная пенсия, сдача квартиры в аренду, подработка тайным покупателем и продажа фотографий. Подработки не являются основными, но помогают поддерживать уровень жизни.","Да, основная, да. ... А, да, у меня аренда квартиры у меня есть маленькая. ... Только налоги не заявляйте.","ирония, спокойствие","финансовая самостоятельность, предприимчивость","Респондент демонстрирует типичную для пенсионеров стратегию диверсификации доходов: пенсия, сдача недвижимости, мелкие подработки. Отношение к налогам и неформальной занятости — характерная черта для части населения.",эпизод,,,"аренда жилья, неформальные подработки",,
6,"Настоящее время, пенсионный возраст",Расходы и потребительское поведение,"Основные расходы — питание, коммунальные услуги, автомобиль, фитнес, немного — медицина. Экономит на продуктах, предпочитает магазины эконом-сегмента, заказывает готовую еду по скидкам, пользуется кэшбэками.","Ну, да, допустим, какие-то лишние продукты мы не покупаем в основном.","рациональность, прагматизм","экономность, рациональность","Пенсионеры часто демонстрируют рациональное потребление, выбирают эконом-сегмент, активно используют скидки и кэшбэки, что говорит о высокой адаптивности к рыночным условиям.",эпизод,,,"эконом-сегмент, онлайн-заказы, кэшбэки",,
7,"Настоящее время, пенсионный возраст",Покупки и продажи в интернете,"Респондент активно использует онлайн-сервисы для покупок товаров первой необходимости, аксессуаров для машины, косметики, товаров для дачи. На Авито больше продаёт, чем покупает.","На Авито мы как-то продаем больше, наверное.","удовлетворение, практичность","удобство, рациональность","Онлайн-торговля становится привычной даже для старших возрастных групп, что свидетельствует о цифровой адаптации. Продажи на Авито — способ избавиться от ненужных вещей и получить дополнительный доход.",эпизод,,,"онлайн-торговля, маркетплейсы, Авито",,
8,"Настоящее время, пенсионный возраст",Отношение к кредитам и крупным покупкам,"Респондент не пользуется кредитами, все крупные покупки (квартира, машина) совершались за наличные. Недавно купил новую машину, продав старую.","Нет, опыта не было.","уверенность, осторожность","финансовая независимость, осторожность","Отказ от кредитов характерен для старшего поколения, которое предпочитает жить по средствам и избегать долговых обязательств.",декларация,,,,,
9,"Настоящее время, пенсионный возраст",Сбережения и имущество,"Респондент имеет сбережения на 'чёрный день', хранит их в банке. В собственности — квартира, дача, машина, сдаваемая квартира.","Вы, я так поняла, откладываете, да, деньги на черный день у вас, да, на запас?","уверенность, спокойствие","предусмотрительность, стабильность",Наличие сбережений и недвижимости — индикатор финансовой устойчивости. Пенсионеры часто придерживаются стратегии накопления и минимизации рисков.,эпизод,,,"банковские вклады, недвижимость",,
10,"Настоящее время, пенсионный возраст",Образование и поддержка детей,"Сын учился на бюджете, респондент оказывал поддержку через знакомых, но за учёбу не платил. Сам респондент также получал бесплатное образование.","В принципе, он сам поступил, но поддержка нужна была.","поддержка, удовлетворение","образование, поддержка семьи",Семейные связи и неформальные ресурсы играют важную роль в образовательных траекториях. Бесплатное образование воспринимается как норма.,эпизод,"государственный ВУЗ, бюджетное место",,,,
11,"Настоящее время, пенсионный возраст",Семейный бюджет и гендерные роли,"В семье раздельный бюджет, каждый распоряжается своими деньгами. Респондент считает, что роль кормильца — индивидуальный выбор, зависит от возможностей.","Если мужчина может себе позволить, то пускай, если не может, то вместе.","нейтральность, прагматизм","равноправие, индивидуализм","Гибкость в вопросах семейного бюджета и гендерных ролей отражает современные тенденции, когда традиционные установки уступают место индивидуальным договорённостям.",декларация,,,,,
12,Переход на пенсию,Переезд и адаптация после выхода на пенсию,"После выхода на пенсию респондент переехал, жена не работала сразу, но материальной зависимости не было.","Здесь не работал, но там ушел на пенсию, я сюда приехал уже. Пенсионер был.","спокойствие, уверенность","независимость, поддержка семьи",Переезд после выхода на пенсию — типичная стратегия для улучшения условий жизни. Взаимная независимость супругов подчеркивает современные семейные отношения.,эпизод,,,,,
13,Период военной службы и выхода на пенсию,Работа и финансовая стабильность,"Во время службы респондент не испытывал давления по поводу заработка, была стабильная зарплата. После увольнения возникла необходимость искать работу.","То есть у меня была стабильная зарплата, когда я служил в армии.","уверенность, спокойствие","стабильность, ответственность","Государственная служба обеспечивает стабильность, но переход на пенсию требует адаптации и поиска новых источников дохода.",узел,"армия, военная пенсия",,,,
14,"Настоящее время, пенсионный возраст",Отношение к деньгам и счастью,"Деньги воспринимаются как гарантия хорошей жизни, но не как абсолютная ценность. Сумма, делающая счастливым, не определена, но 'пару миллионов не помешало бы'.","Деньги нужны, это как бы является гарантией хорошей жизни, так вот, наверное.","ирония, реализм","материальное благополучие, умеренность","Деньги рассматриваются как инструмент, а не цель. Для респондента важна финансовая подушка, но счастье не сводится к материальному.",декларация,,,,,
1,Зрелый возраст,Жилищные вопросы и финансовые цели,"Респондент купил большую квартиру и рассматривает возможность жить в ней или использовать по-другому. Также у него есть мечта — приобрести дом за городом, для чего требуется значительная сумма.","Энтри, а может быть живу бы там?... Ну, или как там, дом за городом.","Спокойствие, легкая мечтательность","Стабильность, комфорт, семейное благополучие","Жилищный вопрос остается ключевым для респондента, что типично для зрелого поколения. Финансовые цели связаны с улучшением условий жизни.",эпизод,,False,True,,
2,Зрелый возраст,Взаимодействие с государственными органами и судебная система,"Респондент столкнулся с мошенничеством при покупке досок для дачи и попытался решить вопрос через суд, но процесс оказался затянутым и неэффективным.","Я попался в суд, и несколько раз суд меня отфутболивал... В общем, мне не нравится сейчас ситуация такая сложилась, что я не могу через путь этот вопрос решить.","Разочарование, усталость","Справедливость, честность, защита прав",Опыт неэффективного взаимодействия с судебной системой формирует недоверие к государственным институтам и ощущение беспомощности.,эпизод,"Суд, коммерческая организация",,True,,
3,Молодость — ранняя зрелость,Служба в армии и образование,"После окончания школы респондент поступил в училище, что автоматически засчитывалось как начало службы в армии.","Вот поступил в училище, с этого дня считается принят. Представь, вы принял все.","Нейтрально, буднично","Долг, порядок",Поступление в училище и служба в армии воспринимаются как естественный этап взросления и социализации.,узел,"Армия, училище",,,,
4,Зрелый возраст,Социальные льготы и взаимодействие с МФЦ,"Респондент получает незначительные социальные льготы (например, скидка на квартиру), опыт оформления документов через МФЦ оценивает как положительный.","Было, но все там нормально, они как бы уложились в... Не было такого какого-то.","Безразличие, удовлетворение","Практичность, минимальные ожидания","Ожидания от государства минимальны, положительный опыт с МФЦ воспринимается как исключение.",эпизод,"МФЦ, органы соцзащиты",,,,
5,Зрелый возраст,Получение земельного участка как участнику боевых действий,"Респондент подал заявление на получение земельного участка как участник боевых действий, но реального результата нет — очередь огромная, участки не выделяются.","Они все говорят, мы сейчас скоро выделим, выделим, а фактически, если меня не будет, то и участка не будет.","Скепсис, разочарование","Справедливость, признание заслуг","Система формально признает заслуги, но на практике не выполняет обязательства, что усиливает недоверие к государству.",эпизод,"МФЦ, органы власти",True,,,
6,Зрелый возраст,Оценка работы государственных органов и политических институтов,"Респондент считает, что законодательные органы не самостоятельны, а решения принимаются только правительством и президентом. Госдума и Совет Федерации воспринимаются как бесполезные структуры.","Да потому что если правительство и президент приняли решение, то законодательные органы... будут выполнять его волю.","Цинизм, недоверие","Эффективность, честность","Скептическое отношение к институтам представительной демократии, вера в вертикаль власти.",декларация,"Госдума, Совет Федерации, Президент",,,,
7,Зрелый возраст,Интерес к политике и источники информации,"Респондент интересуется новостями, обсуждает их с женой и друзьями, доверяет отдельным блогерам и военным каналам, не доверяет телевидению.","Ну, я вот в лагерях вот это, подаляку у меня ж, На этих военных вагонах. На них у меня есть.","Умеренный интерес, критичность","Информированность, независимость мнения","Формируется альтернативная медиасреда, доверие к неофициальным источникам информации.",эпизод,,,False,,
8,Зрелый возраст,Отношение к оппозиции и политическим партиям,"Респондент считает, что оппозиция нужна, но современные партии не выполняют эту функцию, а лишь присосались к власти.","Это все нахлебники, просто подсосавшиеся к власти. Это даже не оппозиция, скорее всего.","Разочарование, скепсис","Честность, подлинность","Недоверие к партийной системе, ощущение отсутствия реальной оппозиции.",декларация,,,,,
9,Зрелый возраст,Внешнеполитические взгляды,"Респондент считает, что Россия входит в тройку мировых лидеров по совокупности показателей, хотя признает изменения в расстановке сил.","Если все совместно, экономическое, военное, дипломатические подходы, то третье место. Китай, Америка и мы.","Гордость, уверенность","Патриотизм, статус страны","Сохраняется вера в значимость России на мировой арене, несмотря на внутренние проблемы.",декларация,,,,,
10,Зрелый возраст,Оценка внутренней политики и миграционной ситуации,"Респондент негативно оценивает миграционную политику, считает, что приезжие из южных республик создают проблемы.",Люди с южных республик заполонили все. нужно развивать как бы наше российское.,"Раздражение, тревога","Идентичность, безопасность",Отражает распространенные ксенофобские настроения и тревогу по поводу изменений в социальной структуре.,декларация,,,,,
11,Зрелый возраст,Отношение к запретительным законам,"Респондент отмечает, что большинство новых законов носят запретительный характер, что ему не нравится.",Больше законы по запретам. Это мне не нравится. Все запрещают.,Недовольство,"Свобода, открытость","Восприятие государства как ограничивающего свободы, а не создающего новые возможности.",декларация,,,,,
12,Зрелый возраст,Участие в выборах,"Респондент ходит на выборы по инерции, не испытывая особой мотивации.","Инерция, наверное. Надо ходить.","Безразличие, привычка",Гражданский долг (формальный),"Участие в выборах воспринимается как ритуал, а не как инструмент влияния.",эпизод,,,,,
13,Зрелый возраст,Отношение к государственным монополиям,"Респондент считает, что государственные монополии неэффективны, выступает за конкуренцию.","Нет, это неэффективно. Это надо как-то стараться разбивать или создавать конкуренцию какую-то.","Критика, рациональность","Конкуренция, справедливость","Присутствует рыночное мышление, недоверие к крупным государственным структурам.",декларация,,,,,
